iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
1,10.8585,0.123338,55.3484,8.22276e-08,12.7784,4.15541e-08,92.9155,1.19053,0.298158,2.94052e-08,0.526446,6.47226e-08
2,10.8343,0.109961,55.3484,4.81941e-08,12.7784,2.86128e-08,97.2943,1.03468,0.298158,2.15549e-08,0.526446,5.91091e-08
3,10.8689,0.101123,55.3484,4.74741e-08,12.7784,2.73981e-08,96.1967,0.971486,0.298158,1.71753e-08,0.526446,5.47171e-08
4,10.8786,0.0964196,55.3484,5.89712e-08,12.7784,3.32598e-08,93.3565,0.921279,0.298158,1.67446e-08,0.526446,5.33224e-08
5,10.8973,0.0924278,55.3484,6.24436e-08,12.7784,2.83241e-08,93.6129,0.907215,0.298158,1.52985e-08,0.526446,5.40213e-08
6,10.917,0.0897851,55.3484,4.71018e-08,12.7784,3.34789e-08,88.0401,0.894272,0.298158,1.99911e-08,0.526446,5.37629e-08
7,10.9301,0.088331,55.3484,3.82967e-08,12.7784,3.81815e-08,85.9277,0.887911,0.298158,1.76768e-08,0.526446,5.45383e-08
8,10.9419,0.0881749,55.3484,4.43826e-08,12.7784,3.72216e-08,84.903,0.875531,0.298158,1.88322e-08,0.526446,5.44685e-08
9,10.9656,0.0885439,55.3484,4.47641e-08,12.7784,2.55407e-08,83.1826,0.877706,0.298158,2.04948e-08,0.526446,5.45641e-08
10,10.9567,0.0888506,55.3484,4.71555e-08,12.7784,3.14009e-08,83.5002,0.874435,0.298158,1.79961e-08,0.526446,5.44935e-08
11,10.9257,0.090239,55.3484,5.95376e-08,12.7784,3.1667e-08,85.8959,0.874965,0.298158,1.90888e-08,0.526446,5.37805e-08
12,10.9108,0.0910349,55.3484,5.58806e-08,12.7784,2.94841e-08,86.8769,0.882172,0.298158,1.67514e-08,0.526446,5.39804e-08
13,10.8938,0.0924338,55.3484,6.23891e-08,12.7784,3.05703e-08,88.9695,0.885828,0.298158,1.65403e-08,0.526446,5.49018e-08
14,10.9101,0.0925357,55.3484,5.4172e-08,12.7784,3.15706e-08,88.5537,0.87714,0.298158,1.6309e-08,0.526446,5.48705e-08
15,10.9044,0.0926623,55.3484,6.79972e-08,12.7784,3.41304e-08,88.6853,0.874395,0.298158,1.16637e-08,0.526446,5.50742e-08
16,10.9124,0.0933065,55.3484,5.47629e-08,12.7784,3.33762e-08,88.6507,0.871847,0.298158,1.34865e-08,0.526446,5.52705e-08
17,10.9218,0.0934125,55.3484,7.10178e-08,12.7784,2.91167e-08,88.2891,0.866397,0.298158,1.5947e-08,0.526446,5.49638e-08
18,10.9275,0.0924919,55.3484,6.47509e-08,12.7784,3.25399e-08,87.459,0.870067,0.298158,1.55945e-08,0.526446,5.451e-08
19,10.938,0.0916759,55.3484,5.52861e-08,12.7784,3.55282e-08,86.9561,0.8676,0.298158,1.79515e-08,0.526446,5.42594e-08
20,10.958,0.091251,55.3484,5.97972e-08,12.7784,3.93708e-08,85.5751,0.869348,0.298158,1.82757e-08,0.526446,5.45943e-08
21,10.9667,0.0905641,55.3484,6.16447e-08,12.7784,4.43545e-08,84.8102,0.872812,0.298158,1.78543e-08,0.526446,5.44699e-08
22,10.9673,0.0899867,55.3484,6.51872e-08,12.7784,4.42536e-08,84.488,0.873261,0.298158,1.70045e-08,0.526446,5.42701e-08
23,10.9599,0.0905757,55.3484,5.84459e-08,12.7784,3.97225e-08,84.8445,0.87554,0.298158,1.58419e-08,0.526446,5.37997e-08
24,10.9486,0.0906797,55.3484,5.225e-08,12.7784,3.56462e-08,85.8961,0.875762,0.298158,1.60737e-08,0.526446,5.36968e-08
25,10.9543,0.0900163,55.3484,6.68154e-08,12.7784,3.27943e-08,85.1337,0.874291,0.298158,1.54792e-08,0.526446,5.37936e-08
26,10.9566,0.0898573,55.3484,5.94678e-08,12.7784,3.39935e-08,85.014,0.87262,0.298158,1.78685e-08,0.526446,5.3481e-08
27,10.9574,0.0900159,55.3484,5.73051e-08,12.7784,3.40116e-08,84.6872,0.873429,0.298158,1.65361e-08,0.526446,5.36276e-08
28,10.9573,0.0908022,55.3484,5.64333e-08,12.7784,3.44697e-08,84.9839,0.868741,0.298158,1.80083e-08,0.526446,5.39543e-08
29,10.9587,0.0910059,55.3484,6.50603e-08,12.7784,3.57865e-08,85.2481,0.865555,0.298158,1.5867e-08,0.526446,5.4193e-08
30,10.9492,0.0912651,55.3484,6.38645e-08,12.7784,4.51417e-08,86.3442,0.865967,0.298158,1.51899e-08,0.526446,5.39376e-08
31,10.9468,0.0919284,55.3484,6.47745e-08,12.7784,3.59148e-08,87.4761,0.868641,0.298158,1.88044e-08,0.526446,5.4353e-08
32,10.9481,0.0920178,55.3484,7.36687e-08,12.7784,3.91704e-08,87.6686,0.867287,0.298158,1.87678e-08,0.526446,5.46108e-08
33,10.9473,0.0916915,55.3484,6.96667e-08,12.7784,3.7239e-08,87.8994,0.866665,0.298158,1.9446e-08,0.526446,5.41451e-08
34,10.9509,0.0914932,55.3484,7.00529e-08,12.7784,4.48596e-08,87.7945,0.864511,0.298158,2.2577e-08,0.526446,5.42511e-08
35,10.9548,0.0915232,55.3484,6.63096e-08,12.7784,4.39297e-08,87.6278,0.863598,0.298158,1.99041e-08,0.526446,5.43335e-08
36,10.956,0.0912671,55.3484,8.2177e-08,12.7784,4.81386e-08,87.5658,0.859173,0.298158,2.24599e-08,0.526446,5.4271e-08
37,10.9549,0.0916058,55.3484,7.67854e-08,12.7784,4.34047e-08,87.9457,0.86022,0.298158,2.11615e-08,0.526446,5.39131e-08
38,10.9496,0.0916162,55.3484,7.42322e-08,12.7784,4.14583e-08,88.5169,0.859038,0.298158,2.10158e-08,0.526446,5.38859e-08
39,10.9479,0.0913347,55.3484,8.46172e-08,12.7784,3.93673e-08,89.1786,0.860556,0.298158,2.56361e-08,0.526446,5.39755e-08
40,10.9458,0.0912078,55.3484,8.82109e-08,12.7784,3.84078e-08,89.5247,0.858466,0.298158,2.29346e-08,0.526446,5.408e-08
41,10.9411,0.0909544,55.3484,7.92886e-08,12.7784,3.89737e-08,89.9743,0.855341,0.298158,2.46333e-08,0.526446,5.4032e-08
42,10.9427,0.0906839,55.3484,7.40586e-08,12.7784,4.45322e-08,90.0045,0.858344,0.298158,2.27109e-08,0.526446,5.42681e-08
43,10.9422,0.0910837,55.3484,8.07742e-08,12.7784,4.57129e-08,90.1024,0.859783,0.298158,2.41394e-08,0.526446,5.43757e-08
44,10.9359,0.0912685,55.3484,9.06896e-08,12.7784,3.6572e-08,90.1831,0.860864,0.298158,2.24155e-08,0.526446,5.42968e-08
45,10.9349,0.0915603,55.3484,8.20126e-08,12.7784,4.17763e-08,90.2856,0.861548,0.298158,2.32613e-08,0.526446,5.4466e-08
46,10.9382,0.0918097,55.3484,9.23248e-08,12.7784,4.88883e-08,90.3856,0.86384,0.298158,2.37044e-08,0.526446,5.44714e-08
47,10.9323,0.0919211,55.3484,1.00646e-07,12.7784,5.0313e-08,90.5715,0.866751,0.298158,2.43105e-08,0.526446,5.44235e-08
48,10.9322,0.091856,55.3484,9.03021e-08,12.7784,4.52583e-08,90.2507,0.866304,0.298158,2.47144e-08,0.526446,5.4185e-08
49,10.9345,0.0915233,55.3484,9.57646e-08,12.7784,4.68133e-08,89.748,0.864409,0.298158,2.39036e-08,0.526446,5.40629e-08
50,10.9331,0.0913191,55.3484,9.32267e-08,12.7784,4.59621e-08,89.9348,0.864808,0.298158,2.37221e-08,0.526446,5.41204e-08
51,10.9288,0.0916703,55.3484,8.91393e-08,12.7784,5.04064e-08,90.0551,0.865988,0.298158,2.43921e-08,0.526446,5.3855e-08
52,10.9295,0.0915422,55.3484,9.22542e-08,12.7784,4.77937e-08,89.8738,0.866199,0.298158,2.60958e-08,0.526446,5.37307e-08
53,10.9329,0.0911531,55.3484,9.18236e-08,12.7784,4.46392e-08,89.5524,0.862517,0.298158,2.94605e-08,0.526446,5.34878e-08
54,10.9319,0.0907777,55.3484,8.82484e-08,12.7784,4.08692e-08,89.4392,0.861677,0.298158,2.85032e-08,0.526446,5.32494e-08
55,10.9317,0.0904935,55.3484,7.72339e-08,12.7784,4.5258e-08,89.5246,0.860772,0.298158,2.82682e-08,0.526446,5.35491e-08
56,10.9321,0.090422,55.3484,7.90636e-08,12.7784,4.71763e-08,89.8504,0.862245,0.298158,2.80481e-08,0.526446,5.35747e-08
57,10.9321,0.0904316,55.3484,8.10017e-08,12.7784,4.85265e-08,89.8154,0.8629,0.298158,2.50113e-08,0.526446,5.3748e-08
58,10.9333,0.0905135,55.3484,7.42345e-08,12.7784,4.90285e-08,89.8533,0.861595,0.298158,2.51724e-08,0.526446,5.38205e-08
59,10.9338,0.0904938,55.3484,7.89028e-08,12.7784,4.80541e-08,89.9786,0.860066,0.298158,2.31173e-08,0.526446,5.40455e-08
60,10.9307,0.0905404,55.3484,9.09256e-08,12.7784,4.65519e-08,90.1102,0.860929,0.298158,2.19337e-08,0.526446,5.39514e-08
61,10.9301,0.0903889,55.3484,9.1513e-08,12.7784,4.4024e-08,90.1409,0.860242,0.298158,2.06471e-08,0.526446,5.39822e-08
62,10.9278,0.0907674,55.3484,8.8822e-08,12.7784,4.43083e-08,90.3895,0.860938,0.298158,2.13471e-08,0.526446,5.37832e-08
63,10.9264,0.0909523,55.3484,9.02965e-08,12.7784,4.61054e-08,90.6372,0.861197,0.298158,2.38088e-08,0.526446,5.32934e-08
64,10.9229,0.0914663,55.3484,9.32274e-08,12.7784,4.64524e-08,91.0515,0.862563,0.298158,2.51231e-08,0.526446,5.30848e-08
65,10.9209,0.0917482,55.3484,9.46968e-08,12.7784,5.04817e-08,90.9713,0.863667,0.298158,2.68039e-08,0.526446,5.316e-08
66,10.9196,0.0917876,55.3484,1.0434e-07,12.7784,4.76591e-08,91.4364,0.864469,0.298158,2.4666e-08,0.526446,5.30038e-08
67,10.9194,0.0915508,55.3484,1.01135e-07,12.7784,4.77511e-08,91.4963,0.862519,0.298158,2.4378e-08,0.526446,5.30396e-08
68,10.9193,0.0914984,55.3484,1.01825e-07,12.7784,4.92111e-08,91.6471,0.862279,0.298158,2.54974e-08,0.526446,5.29614e-08
69,10.917,0.0920268,55.3484,1.01825e-07,12.7784,5.0016e-08,92.2661,0.863811,0.298158,2.53744e-08,0.526446,5.31448e-08
70,10.9189,0.0922978,55.3484,1.10882e-07,12.7784,4.7164e-08,92.3986,0.863997,0.298158,2.6327e-08,0.526446,5.31062e-08
71,10.9224,0.0921911,55.3484,1.17887e-07,12.7784,5.01596e-08,92.3486,0.863733,0.298158,2.73584e-08,0.526446,5.311e-08
72,10.9233,0.0921458,55.3484,1.09055e-07,12.7784,4.77026e-08,92.3109,0.862779,0.298158,2.32627e-08,0.526446,5.30926e-08
73,10.9235,0.0920685,55.3484,9.98933e-08,12.7784,5.27755e-08,92.1487,0.861019,0.298158,2.11437e-08,0.526446,5.29277e-08
74,10.9234,0.0921669,55.3484,9.78209e-08,12.7784,5.30455e-08,92.2512,0.860373,0.298158,2.61977e-08,0.526446,5.27977e-08
75,10.9236,0.0921012,55.3484,1.05099e-07,12.7784,4.98424e-08,92.252,0.861409,0.298158,2.53342e-08,0.526446,5.28254e-08
76,10.9251,0.0919014,55.3484,9.93451e-08,12.7784,5.56945e-08,92.2753,0.86057,0.298158,2.46915e-08,0.526446,5.28692e-08
77,10.923,0.0916501,55.3484,1.0616e-07,12.7784,5.43739e-08,92.0578,0.860021,0.298158,2.32944e-08,0.526446,5.28272e-08
78,10.9218,0.0920395,55.3484,1.03571e-07,12.7784,5.49338e-08,92.247,0.861051,0.298158,2.35493e-08,0.526446,5.28165e-08
79,10.9208,0.0924489,55.3484,1.06838e-07,12.7784,5.39644e-08,92.4566,0.860988,0.298158,2.62949e-08,0.526446,5.26261e-08
80,10.9199,0.092188,55.3484,1.08169e-07,12.7784,5.11932e-08,92.5596,0.860121,0.298158,2.73825e-08,0.526446,5.25817e-08
81,10.9199,0.0919849,55.3484,1.04367e-07,12.7784,5.45316e-08,92.7048,0.859706,0.298158,2.89483e-08,0.526446,5.25401e-08
82,10.9184,0.0922646,55.3484,1.06008e-07,12.7784,5.51944e-08,92.9617,0.862066,0.298158,2.91805e-08,0.526446,5.25413e-08
83,10.9143,0.0923789,55.3484,9.65201e-08,12.7784,5.57274e-08,92.9559,0.861868,0.298158,2.77127e-08,0.526446,5.231e-08
84,10.9169,0.0922118,55.3484,9.9615e-08,12.7784,6.06566e-08,92.7905,0.861272,0.298158,2.81862e-08,0.526446,5.20751e-08
85,10.917,0.0921017,55.3484,1.05208e-07,12.7784,6.24974e-08,92.6658,0.860795,0.298158,2.6868e-08,0.526446,5.1994e-08
86,10.9163,0.0923049,55.3484,1.04762e-07,12.7784,6.25366e-08,92.8177,0.86128,0.298158,2.81118e-08,0.526446,5.18784e-08
87,10.9153,0.0923363,55.3484,1.07978e-07,12.7784,6.02089e-08,92.9499,0.860555,0.298158,2.99931e-08,0.526446,5.23308e-08
88,10.9141,0.0925231,55.3484,1.12942e-07,12.7784,6.01522e-08,93.3332,0.861004,0.298158,2.87665e-08,0.526446,5.23987e-08
89,10.9113,0.0929719,55.3484,1.0674e-07,12.7784,5.5598e-08,93.7013,0.861561,0.298158,2.94364e-08,0.526446,5.22932e-08
90,10.91,0.0932628,55.3484,1.07053e-07,12.7784,5.73311e-08,93.7216,0.861832,0.298158,3.0596e-08,0.526446,5.23721e-08
91,10.9122,0.0932265,55.3484,1.05133e-07,12.7784,5.42502e-08,93.4726,0.861103,0.298158,3.03949e-08,0.526446,5.23812e-08
92,10.9145,0.092934,55.3484,9.99329e-08,12.7784,5.07435e-08,93.0685,0.860718,0.298158,2.96183e-08,0.526446,5.23441e-08
93,10.9163,0.0928694,55.3484,1.01385e-07,12.7784,5.23585e-08,92.9258,0.860526,0.298158,3.00717e-08,0.526446,5.24646e-08
94,10.9157,0.0927978,55.3484,1.07933e-07,12.7784,5.49456e-08,92.8902,0.859793,0.298158,3.04236e-08,0.526446,5.26105e-08
95,10.9155,0.0928475,55.3484,1.13436e-07,12.7784,5.44077e-08,92.7665,0.859347,0.298158,2.90535e-08,0.526446,5.26834e-08
