trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
97.5,1.84273,2.143,52,2.17777,2.22751,-0.389961,1.82794,2.10601,-0.175891,2.17361,2.2171,0.677083,1.84273,2.143,97.5,2.68837,2.67613,52,2.62506,2.57639,-0.389961,2.68965,2.67932,-0.175891,2.6246,2.57526,0.677083,2.68837,2.67613,97.5,3.55382,3.70183,52,3.60727,3.66047,-0.389961,3.55038,3.69322,-0.175891,3.60457,3.65373,0.677083,3.55382,3.70183,97.5,3.65497,3.82823,52,3.716,3.77962,-0.389961,3.65093,3.81812,-0.175891,3.71282,3.77168,0.677083,3.65497,3.82823,All
98.5172,1.95422,2.14726,52.3232,2.20711,2.23103,-0.382795,1.9064,2.11058,-0.171046,2.19699,2.22061,0.684147,1.95422,2.14726,98.5172,2.72144,2.67419,52.3232,2.68916,2.57676,-0.382795,2.71255,2.67751,-0.171046,2.67507,2.57562,0.684147,2.72144,2.67419,98.5172,3.61509,3.70179,52.3232,3.65838,3.66175,-0.382795,3.59322,3.69337,-0.171046,3.64493,3.6551,0.684147,3.61509,3.70179,98.5172,3.72677,3.82819,52.3232,3.77694,3.78112,-0.382795,3.70113,3.81829,-0.171046,3.76094,3.77328,0.684147,3.72677,3.82819,All
99.5343,2.06571,2.15152,52.6465,2.23645,2.23456,-0.375629,1.98487,2.11515,-0.166202,2.22037,2.22413,0.691211,2.06571,2.15152,99.5343,2.75451,2.67226,52.6465,2.75326,2.57712,-0.375629,2.73545,2.67571,-0.166202,2.72553,2.57599,0.691211,2.75451,2.67226,99.5343,3.67637,3.70176,52.6465,3.7095,3.66304,-0.375629,3.63606,3.69351,-0.166202,3.68529,3.65646,0.691211,3.67637,3.70176,99.5343,3.79856,3.82815,52.6465,3.83788,3.78263,-0.375629,3.75132,3.81845,-0.166202,3.80905,3.77488,0.691211,3.79856,3.82815,All
100.552,2.1772,2.15578,52.9697,2.26579,2.23809,-0.368463,2.06334,2.11972,-0.161358,2.24375,2.22764,0.698274,2.1772,2.15578,100.552,2.78758,2.67032,52.9697,2.81736,2.57749,-0.368463,2.75836,2.6739,-0.161358,2.776,2.57636,0.698274,2.78758,2.67032,100.552,3.73765,3.70173,52.9697,3.76061,3.66432,-0.368463,3.6789,3.69365,-0.161358,3.72565,3.65782,0.698274,3.73765,3.70173,100.552,3.87035,3.82811,52.9697,3.89882,3.78413,-0.368463,3.80152,3.81862,-0.161358,3.85716,3.77648,0.698274,3.87035,3.82811,All
101.569,2.1996,2.16004,53.2929,2.29264,2.24161,-0.361297,2.14181,2.12429,-0.156514,2.26702,2.23115,0.705338,2.1996,2.16004,101.569,2.79153,2.66839,53.2929,2.79877,2.57786,-0.361297,2.78126,2.67209,-0.156514,2.82156,2.57672,0.705338,2.79153,2.66839,101.569,3.74252,3.7017,53.2929,3.76611,3.6656,-0.361297,3.72175,3.69379,-0.156514,3.76332,3.65919,0.705338,3.74252,3.7017,101.569,3.87604,3.82807,53.2929,3.90525,3.78563,-0.361297,3.85171,3.81878,-0.156514,3.90207,3.77808,0.705338,3.87604,3.82807,All
102.586,2.20677,2.1643,53.6162,2.31923,2.24514,-0.354131,2.18444,2.12886,-0.15167,2.2888,2.23466,0.712402,2.20677,2.1643,102.586,2.7905,2.66645,53.6162,2.77161,2.57822,-0.354131,2.79241,2.67029,-0.15167,2.79961,2.57709,0.712402,2.7905,2.66645,102.586,3.73774,3.70167,53.6162,3.76689,3.66689,-0.354131,3.74175,3.69394,-0.15167,3.76408,3.66055,0.712402,3.73774,3.70167,102.586,3.87042,3.82803,53.6162,3.90605,3.78714,-0.354131,3.87514,3.81895,-0.15167,3.90286,3.77968,0.712402,3.87042,3.82803,All
103.603,2.21394,2.16856,53.9394,2.34583,2.24867,-0.346966,2.19028,2.13343,-0.146826,2.31058,2.23818,0.719465,2.21394,2.16856,103.603,2.78947,2.66452,53.9394,2.74446,2.57859,-0.346966,2.7915,2.66848,-0.146826,2.77767,2.57746,0.719465,2.78947,2.66452,103.603,3.73297,3.70164,53.9394,3.76767,3.66817,-0.346966,3.73831,3.69408,-0.146826,3.76484,3.66191,0.719465,3.73297,3.70164,103.603,3.8648,3.82799,53.9394,3.90685,3.78864,-0.346966,3.87109,3.81911,-0.146826,3.90366,3.78128,0.719465,3.8648,3.82799,All
104.62,2.22111,2.17282,54.2626,2.37242,2.25219,-0.3398,2.19612,2.138,-0.141981,2.33236,2.24169,0.726529,2.22111,2.17282,104.62,2.78844,2.66258,54.2626,2.7173,2.57896,-0.3398,2.79059,2.66667,-0.141981,2.75572,2.57783,0.726529,2.78844,2.66258,104.62,3.7282,3.70161,54.2626,3.76846,3.66945,-0.3398,3.73487,3.69422,-0.141981,3.76561,3.66328,0.726529,3.7282,3.70161,104.62,3.85918,3.82795,54.2626,3.90764,3.79014,-0.3398,3.86704,3.81927,-0.141981,3.90446,3.78288,0.726529,3.85918,3.82795,All
105.637,2.22828,2.17708,54.5859,2.39901,2.25572,-0.332634,2.20197,2.14257,-0.137137,2.35414,2.2452,0.733593,2.22828,2.17708,105.637,2.78741,2.66065,54.5859,2.69015,2.57933,-0.332634,2.78968,2.66486,-0.137137,2.73378,2.57819,0.733593,2.78741,2.66065,105.637,3.72342,3.70158,54.5859,3.76924,3.67073,-0.332634,3.73143,3.69436,-0.137137,3.76637,3.66464,0.733593,3.72342,3.70158,105.637,3.85356,3.82791,54.5859,3.90844,3.79164,-0.332634,3.86299,3.81944,-0.137137,3.90526,3.78448,0.733593,3.85356,3.82791,All
106.655,2.23545,2.18134,54.9091,2.4256,2.25925,-0.325468,2.20781,2.14714,-0.132293,2.37593,2.24871,0.740657,2.23545,2.18134,106.655,2.78638,2.65871,54.9091,2.663,2.57969,-0.325468,2.78877,2.66306,-0.132293,2.71183,2.57856,0.740657,2.78638,2.65871,106.655,3.71865,3.70155,54.9091,3.77002,3.67202,-0.325468,3.72799,3.69451,-0.132293,3.76713,3.66601,0.740657,3.71865,3.70155,106.655,3.84794,3.82788,54.9091,3.90923,3.79315,-0.325468,3.85894,3.8196,-0.132293,3.90605,3.78608,0.740657,3.84794,3.82788,All
