trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
97.5,1.17016,1.45229,52,1.48507,1.53714,-0.389961,1.15569,1.41609,0.677083,1.17016,1.45229,97.5,1.94015,1.84511,52,1.67098,1.74599,-0.389961,1.94222,1.85028,0.677083,1.94015,1.84511,97.5,2.86054,3.03284,52,2.9772,2.99844,-0.389961,2.85631,3.02226,0.677083,2.86054,3.03284,97.5,2.97745,3.14705,52,3.09193,3.11347,-0.389961,2.9733,3.13668,0.677083,2.97745,3.14705,All
98.5172,1.27362,1.45649,52.3232,1.51656,1.54057,-0.382795,1.22853,1.42059,0.684147,1.27362,1.45649,98.5172,1.93499,1.84406,52.3232,1.78609,1.74763,-0.382795,1.93849,1.84923,0.684147,1.93499,1.84406,98.5172,2.93796,3.03272,52.3232,3.02511,2.99938,-0.382795,2.91043,3.02236,0.684147,2.93796,3.03272,98.5172,3.05386,3.14693,52.3232,3.13963,3.11437,-0.382795,3.02671,3.13677,0.684147,3.05386,3.14693,All
99.5343,1.37708,1.46068,52.6465,1.54805,1.54399,-0.375629,1.30138,1.42509,0.691211,1.37708,1.46068,99.5343,1.92982,1.84301,52.6465,1.90119,1.74927,-0.375629,1.93476,1.84818,0.691211,1.92982,1.84301,99.5343,3.01538,3.03261,52.6465,3.07303,3.00032,-0.375629,2.96455,3.02247,0.691211,3.01538,3.03261,99.5343,3.13027,3.14681,52.6465,3.18734,3.11528,-0.375629,3.08013,3.13687,0.691211,3.13027,3.14681,All
100.552,1.48053,1.46488,52.9697,1.57954,1.54742,-0.368463,1.37423,1.42959,0.698274,1.48053,1.46488,100.552,1.92466,1.84195,52.9697,2.01629,1.75091,-0.368463,1.93103,1.84713,0.698274,1.92466,1.84195,100.552,3.0928,3.0325,52.9697,3.12095,3.00126,-0.368463,3.01867,3.02258,0.698274,3.0928,3.0325,100.552,3.20668,3.14669,52.9697,3.23504,3.11618,-0.368463,3.13354,3.13697,0.698274,3.20668,3.14669,All
101.569,1.50206,1.46908,53.2929,1.60566,1.55085,-0.361297,1.44708,1.43409,0.705338,1.50206,1.46908,101.569,1.94034,1.8409,53.2929,1.99452,1.75255,-0.361297,1.9273,1.84608,0.705338,1.94034,1.8409,101.569,3.09064,3.03239,53.2929,3.12418,3.0022,-0.361297,3.07279,3.02269,0.705338,3.09064,3.03239,101.569,3.20459,3.14657,53.2929,3.23798,3.11708,-0.361297,3.18696,3.13706,0.705338,3.20459,3.14657,All
102.586,1.50958,1.47328,53.6162,1.63121,1.55427,-0.354131,1.48699,1.43858,0.712402,1.50958,1.47328,102.586,1.95958,1.83985,53.6162,1.9586,1.75418,-0.354131,1.93233,1.84503,0.712402,1.95958,1.83985,102.586,3.07488,3.03227,53.6162,3.12278,3.00314,-0.354131,3.09453,3.02279,0.712402,3.07488,3.03227,102.586,3.18907,3.14645,53.6162,3.23628,3.11798,-0.354131,3.20843,3.13716,0.712402,3.18907,3.14645,All
103.603,1.5171,1.47748,53.9394,1.65677,1.5577,-0.346966,1.49307,1.44308,0.719465,1.5171,1.47748,103.603,1.97881,1.83879,53.9394,1.92267,1.75582,-0.346966,1.94634,1.84398,0.719465,1.97881,1.83879,103.603,3.05911,3.03216,53.9394,3.12139,3.00408,-0.346966,3.08303,3.0229,0.719465,3.05911,3.03216,103.603,3.17355,3.14633,53.9394,3.23458,3.11889,-0.346966,3.1971,3.13726,0.719465,3.17355,3.14633,All
104.62,1.52462,1.48168,54.2626,1.68233,1.56113,-0.3398,1.49916,1.44758,0.726529,1.52462,1.48168,104.62,1.99805,1.83774,54.2626,1.88674,1.75746,-0.3398,1.96036,1.84293,0.726529,1.99805,1.83774,104.62,3.04335,3.03205,54.2626,3.11999,3.00502,-0.3398,3.07152,3.02301,0.726529,3.04335,3.03205,104.62,3.15803,3.14621,54.2626,3.23289,3.11979,-0.3398,3.18578,3.13736,0.726529,3.15803,3.14621,All
105.637,1.53214,1.48588,54.5859,1.70788,1.56455,-0.332634,1.50525,1.45208,0.733593,1.53214,1.48588,105.637,2.01729,1.83669,54.5859,1.85081,1.7591,-0.332634,1.97438,1.84187,0.733593,2.01729,1.83669,105.637,3.02758,3.03194,54.5859,3.11859,3.00596,-0.332634,3.06002,3.02312,0.733593,3.02758,3.03194,105.637,3.14252,3.14609,54.5859,3.23119,3.12069,-0.332634,3.17446,3.13745,0.733593,3.14252,3.14609,All
106.655,1.53966,1.49008,54.9091,1.73344,1.56798,-0.325468,1.51134,1.45658,0.740657,1.53966,1.49008,106.655,2.03652,1.83563,54.9091,1.81489,1.76074,-0.325468,1.9884,1.84082,0.740657,2.03652,1.83563,106.655,3.01182,3.03182,54.9091,3.11719,3.0069,-0.325468,3.04852,3.02323,0.740657,3.01182,3.03182,106.655,3.127,3.14597,54.9091,3.22949,3.1216,-0.325468,3.16313,3.13755,0.740657,3.127,3.14597,All
