pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.86658,0.0104167,-3.97045,0.000208333,-2.73764,0.0104167,All
-1.53805,0.0208333,-3.91597,0.000416667,-1.54122,0.0208333,All
-1.52896,0.03125,-3.89412,0.000625,-1.51002,0.03125,All
-1.47133,0.0416667,-3.87143,0.000833333,-1.47172,0.0416667,All
-1.42092,0.0520833,-3.86744,0.00104167,-1.43053,0.0520833,All
-1.33274,0.0625,-3.86463,0.00125,-1.29114,0.0625,All
-1.15324,0.0729167,-3.86219,0.00145833,-1.16916,0.0729167,All
-1.12047,0.0833333,-3.85176,0.00166667,-1.13916,0.0833333,All
-1.10366,0.09375,-3.82964,0.001875,-1.13244,0.09375,All
-1.0795,0.104167,-3.82075,0.00208333,-1.09493,0.104167,All
-1.0792,0.114583,-3.81058,0.00229167,-1.0864,0.114583,All
-1.06297,0.125,-3.804,0.0025,-1.06955,0.125,All
-1.05683,0.135417,-3.80145,0.00270833,-1.06008,0.135417,All
-0.944323,0.145833,-3.78015,0.00291667,-1.00918,0.145833,All
-0.895664,0.15625,-3.74345,0.003125,-0.921356,0.15625,All
-0.888508,0.166667,-3.74323,0.00333333,-0.897209,0.166667,All
-0.787299,0.177083,-3.73999,0.00354167,-0.807286,0.177083,All
-0.771176,0.1875,-3.73404,0.00375,-0.792978,0.1875,All
-0.767182,0.197917,-3.73297,0.00395833,-0.775142,0.197917,All
-0.758091,0.208333,-3.72308,0.00416667,-0.765145,0.208333,All
-0.747655,0.21875,-3.71709,0.004375,-0.758144,0.21875,All
-0.747388,0.229167,-3.70561,0.00458333,-0.750522,0.229167,All
-0.733478,0.239583,-3.68232,0.00479167,-0.746479,0.239583,All
-0.732408,0.25,-3.67925,0.005,-0.740052,0.25,All
-0.729191,0.260417,-3.67376,0.00520833,-0.720093,0.260417,All
-0.696734,0.270833,-3.65774,0.00541667,-0.693548,0.270833,All
-0.680137,0.28125,-3.65437,0.005625,-0.688607,0.28125,All
-0.659204,0.291667,-3.65051,0.00583333,-0.665555,0.291667,All
-0.620278,0.302083,-3.64937,0.00604167,-0.656924,0.302083,All
-0.616904,0.3125,-3.64122,0.00625,-0.656233,0.3125,All
-0.607906,0.322917,-3.63946,0.00645833,-0.631363,0.322917,All
-0.597143,0.333333,-3.63644,0.00666667,-0.630978,0.333333,All
-0.593674,0.34375,-3.63088,0.006875,-0.598972,0.34375,All
-0.574545,0.354167,-3.61787,0.00708333,-0.58726,0.354167,All
-0.567929,0.364583,-3.61613,0.00729167,-0.551876,0.364583,All
