pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.62557,0.0237719,-3.92323,0.00671258,-2.49216,0.0233382,All
-2.14356,0,-3.82879,0.0223753,-2.00119,0,All
-1.66155,0.0950875,-3.73435,0.0201377,-1.51022,0.116691,All
-1.17953,0.213947,-3.63991,0.0313254,-1.01925,0.303397,All
-0.69752,0.618068,-3.54547,0.0246128,-0.528283,0.700146,All
-0.215508,0.356578,-3.45103,0.00223753,-0.0373137,0.373411,All
0.266505,0.522981,-3.35659,0.00447505,0.453655,0.350073,All
0.748517,0.190175,-3.26215,0,0.944624,0.186706,All
1.23053,0.166403,-3.16771,0,1.43559,0.0933528,All
1.71254,0.0950875,-3.07328,0.0179002,1.92656,0.0933528,All
,,-2.97884,0.0246128,,,All
,,-2.8844,0.0626508,,,All
,,-2.78996,0.080551,,,All
,,-2.69552,0.080551,,,All
,,-2.60108,0.0313254,,,All
,,-2.50664,0.0268503,,,All
,,-2.4122,0.0111876,,,All
,,-2.31776,0.00223753,,,All
,,-2.22333,0.00895011,,,All
,,-2.12889,0.0223753,,,All
,,-2.03445,0.0738384,,,All
,,-1.94001,0.0939761,,,All
,,-1.84557,0.0939761,,,All
,,-1.75113,0.0290879,,,All
,,-1.65669,0.00895011,,,All
,,-1.56225,0,,,All
,,-1.46782,0.00447505,,,All
,,-1.37338,0.00671258,,,All
,,-1.27894,0.0223753,,,All
,,-1.1845,0.080551,,,All
,,-1.09006,0.134252,,,All
,,-0.995621,0.239415,,,All
,,-0.901182,0.369192,,,All
,,-0.806743,0.396042,,,All
,,-0.712304,0.384855,,,All
,,-0.617865,0.360242,,,All
,,-0.523427,0.474356,,,All
,,-0.428988,0.592945,,,All
,,-0.334549,0.592945,,,All
,,-0.24011,0.63322,,,All
,,-0.145671,0.664546,,,All
,,-0.0512322,0.604132,,,All
,,0.0432067,0.438555,,,All
,,0.137646,0.346817,,,All
,,0.232084,0.344579,,,All
,,0.326523,0.39828,,,All
,,0.420962,0.411705,,,All
,,0.515401,0.351292,,,All
,,0.60984,0.358004,,,All
,,0.704279,0.319966,,,All
,,0.798718,0.20809,,,All
,,0.893156,0.154389,,,All
,,0.987595,0.114114,,,All
,,1.08203,0.080551,,,All
,,1.17647,0.0537007,,,All
,,1.27091,0.0895011,,,All
,,1.36535,0.102926,,,All
,,1.45979,0.17229,,,All
,,1.55423,0.127539,,,All
,,1.64867,0.0872636,,,All
,,1.74311,0.0626508,,,All
,,1.83755,0.0358004,,,All
,,1.93198,0.0156627,,,All
,,2.02642,0.00895011,,,All
,,2.12086,0.00447505,,,All
,,2.2153,0.0111876,,,All
,,2.30974,0.0268503,,,All
,,2.40418,0.0335629,,,All
,,2.49862,0.0290879,,,All
,,2.59306,0.0111876,,,All
