parameter,value,se_lin,rse_lin
Cl_pop,5.26831544968781,0.297998882661101,5.65643582862449
beta_Cl_logtCLCRMLMIN,0.621875473250023,0.24379850948417,39.2037505853124
V1_pop,20.325696081761,1.67758747860064,8.25353026952911
Q_pop,6.26790764474174,1.23208640114455,19.6570605531842
V2_pop,22.7921370495359,2.85465889417466,12.5247531109979
omega_Cl,0.208501804485861,0.0400297661996816,19.198762475169
omega_V1,0.280917006734407,0.0625108550088238,22.2524281229882
omega_Q,0.643821205361794,0.154460658272304,23.9912349866615
omega_V2,0.2773903207926,0.134343871419128,48.4313479415074
corr_V2_V1,0.998852244984037,0.313124482339095,31.3484285500203
a1,0.303281053199205,0.0222398697189641,7.33308905530483
a2,0.063106136345229,0.00637234778893103,10.0978259135853
