trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
97.5,1.14403,1.4064,52,1.49049,1.52532,-0.389961,1.12941,1.36984,97.5,1.69552,1.58261,52,1.78755,1.68222,-0.389961,1.69575,1.58319,97.5,2.97526,3.16044,52,2.99619,3.05452,-0.389961,2.97319,3.15526,97.5,3.36941,3.75252,52,2.94148,3.31038,-0.389961,3.36816,3.74939,All
98.5172,1.24759,1.41098,52.3232,1.51563,1.5282,-0.382795,1.20236,1.37468,98.5172,1.67583,1.58259,52.3232,1.82341,1.67899,-0.382795,1.682,1.58316,98.5172,3.05188,3.15951,52.3232,3.05133,3.05655,-0.382795,3.02664,3.15452,98.5172,3.45556,3.74916,52.3232,3.08666,3.31966,-0.382795,3.42805,3.74643,All
99.5343,1.35116,1.41555,52.6465,1.54077,1.53109,-0.375629,1.27532,1.37953,99.5343,1.65615,1.58257,52.6465,1.85926,1.67576,-0.375629,1.66825,1.58313,99.5343,3.1285,3.15858,52.6465,3.10646,3.05859,-0.375629,3.08009,3.15379,99.5343,3.5417,3.7458,52.6465,3.23183,3.32893,-0.375629,3.48794,3.74346,All
100.552,1.45472,1.42012,52.9697,1.56591,1.53397,-0.368463,1.34827,1.38437,100.552,1.63646,1.58255,52.9697,1.89512,1.67253,-0.368463,1.65451,1.5831,100.552,3.20511,3.15764,52.9697,3.1616,3.06062,-0.368463,3.13354,3.15305,100.552,3.62784,3.74244,52.9697,3.37701,3.3382,-0.368463,3.54783,3.7405,All
101.569,1.47349,1.4247,53.2929,1.58884,1.53685,-0.361297,1.42123,1.38921,101.569,1.62642,1.58253,53.2929,1.85108,1.66931,-0.361297,1.64076,1.58307,101.569,3.21471,3.15671,53.2929,3.17225,3.06265,-0.361297,3.18699,3.15231,101.569,3.66326,3.73909,53.2929,3.44866,3.34747,-0.361297,3.60771,3.73754,All
102.586,1.47777,1.42927,53.6162,1.61155,1.53973,-0.354131,1.46003,1.39406,102.586,1.61803,1.5825,53.6162,1.79877,1.66608,-0.354131,1.63075,1.58304,102.586,3.21284,3.15578,53.6162,3.1783,3.06469,-0.354131,3.21338,3.15157,102.586,3.69,3.73573,53.6162,3.51269,3.35675,-0.354131,3.64764,3.73457,All
103.603,1.48206,1.43385,53.9394,1.63427,1.54261,-0.346966,1.46377,1.3989,103.603,1.60964,1.58248,53.9394,1.74647,1.66285,-0.346966,1.62458,1.58301,103.603,3.21098,3.15484,53.9394,3.18435,3.06672,-0.346966,3.21199,3.15083,103.603,3.71674,3.73237,53.9394,3.57673,3.36602,-0.346966,3.66709,3.73161,All
104.62,1.48634,1.43842,54.2626,1.65698,1.54549,-0.3398,1.46751,1.40374,104.62,1.60125,1.58246,54.2626,1.69416,1.65962,-0.3398,1.61841,1.58298,104.62,3.20912,3.15391,54.2626,3.1904,3.06875,-0.3398,3.2106,3.15009,104.62,3.74349,3.72901,54.2626,3.64077,3.37529,-0.3398,3.68653,3.72864,All
105.637,1.49062,1.44299,54.5859,1.67969,1.54837,-0.332634,1.47125,1.40859,105.637,1.59286,1.58244,54.5859,1.64185,1.65639,-0.332634,1.61224,1.58295,105.637,3.20725,3.15298,54.5859,3.19645,3.07079,-0.332634,3.20921,3.14936,105.637,3.77023,3.72566,54.5859,3.70481,3.38457,-0.332634,3.70598,3.72568,All
106.655,1.4949,1.44757,54.9091,1.7024,1.55125,-0.325468,1.47499,1.41343,106.655,1.58447,1.58242,54.9091,1.58955,1.65317,-0.325468,1.60607,1.58292,106.655,3.20539,3.15205,54.9091,3.2025,3.07282,-0.325468,3.20782,3.14862,106.655,3.79697,3.7223,54.9091,3.76885,3.39384,-0.325468,3.72542,3.72272,All
107.672,1.49919,1.45214,55.2323,1.67808,1.55414,-0.318302,1.47873,1.41827,107.672,1.57608,1.5824,55.2323,1.55824,1.64994,-0.318302,1.59991,1.58289,107.672,3.20353,3.15111,55.2323,3.16348,3.07485,-0.318302,3.20643,3.14788,107.672,3.82372,3.71894,55.2323,3.71052,3.40311,-0.318302,3.74486,3.71975,All
108.689,1.50863,1.45671,55.5556,1.63537,1.55702,-0.311136,1.48246,1.42312,108.689,1.55551,1.58238,55.5556,1.53516,1.64671,-0.311136,1.59374,1.58286,108.689,3.20118,3.15018,55.5556,3.10682,3.07689,-0.311136,3.20505,3.14714,108.689,3.86152,3.71558,55.5556,3.60431,3.41238,-0.311136,3.76431,3.71679,All
109.706,1.51957,1.46129,55.8788,1.59265,1.5599,-0.30397,1.4862,1.42796,109.706,1.53142,1.58236,55.8788,1.51208,1.64348,-0.30397,1.58757,1.58283,109.706,3.1987,3.14925,55.8788,3.05016,3.07892,-0.30397,3.20366,3.1464,109.706,3.90253,3.71223,55.8788,3.4981,3.42166,-0.30397,3.78375,3.71382,All
110.723,1.53051,1.46586,56.202,1.54994,1.56278,-0.296804,1.48994,1.4328,110.723,1.50733,1.58233,56.202,1.489,1.64026,-0.296804,1.5814,1.58279,110.723,3.19621,3.14831,56.202,2.9935,3.08095,-0.296804,3.20227,3.14566,110.723,3.94353,3.70887,56.202,3.39189,3.43093,-0.296804,3.8032,3.71086,All
111.74,1.54145,1.47043,56.5253,1.50722,1.56566,-0.289638,1.49368,1.43765,111.74,1.48324,1.58231,56.5253,1.46592,1.63703,-0.289638,1.57523,1.58276,111.74,3.19372,3.14738,56.5253,2.93684,3.08299,-0.289638,3.20088,3.14493,111.74,3.98453,3.70551,56.5253,3.28568,3.4402,-0.289638,3.82264,3.7079,All
112.758,1.55239,1.47501,56.8485,1.46451,1.56854,-0.282472,1.50213,1.44249,112.758,1.45915,1.58229,56.8485,1.44283,1.6338,-0.282472,1.55781,1.58273,112.758,3.19124,3.14645,56.8485,2.88018,3.08502,-0.282472,3.19897,3.14419,112.758,4.02554,3.70215,56.8485,3.17947,3.44947,-0.282472,3.85348,3.70493,All
113.775,1.56333,1.47958,57.1717,1.45879,1.57142,-0.275306,1.51137,1.44733,113.775,1.43505,1.58227,57.1717,1.43489,1.63057,-0.275306,1.5385,1.5827,113.775,3.18875,3.14552,57.1717,2.87188,3.08705,-0.275306,3.19699,3.14345,113.775,4.06654,3.6988,57.1717,3.18175,3.45875,-0.275306,3.88622,3.70197,All
114.792,1.57427,1.48415,57.4949,1.48573,1.5743,-0.268141,1.5206,1.45218,114.792,1.41096,1.58225,57.4949,1.4403,1.62734,-0.268141,1.51919,1.58267,114.792,3.18626,3.14458,57.4949,2.90625,3.08909,-0.268141,3.195,3.14271,114.792,4.10754,3.69544,57.4949,3.27974,3.46802,-0.268141,3.91897,3.69901,All
115.809,1.58521,1.48873,57.8182,1.51266,1.57719,-0.260975,1.52984,1.45702,115.809,1.38687,1.58223,57.8182,1.44572,1.62412,-0.260975,1.49988,1.58264,115.809,3.18378,3.14365,57.8182,2.94062,3.09112,-0.260975,3.19301,3.14197,115.809,4.14855,3.69208,57.8182,3.37774,3.47729,-0.260975,3.95172,3.69604,All
116.826,1.59615,1.4933,58.1414,1.53959,1.58007,-0.253809,1.53908,1.46187,116.826,1.36278,1.58221,58.1414,1.45113,1.62089,-0.253809,1.48056,1.58261,116.826,3.18129,3.14272,58.1414,2.97499,3.09315,-0.253809,3.19102,3.14123,116.826,4.18955,3.68872,58.1414,3.47573,3.48657,-0.253809,3.98447,3.69308,All
117.843,1.60709,1.49788,58.4646,1.56652,1.58295,-0.246643,1.54832,1.46671,117.843,1.33868,1.58219,58.4646,1.45654,1.61766,-0.246643,1.46125,1.58258,117.843,3.1788,3.14179,58.4646,3.00936,3.09519,-0.246643,3.18903,3.1405,117.843,4.23056,3.68536,58.4646,3.57373,3.49584,-0.246643,4.01722,3.69011,All
118.861,1.61803,1.50245,58.7879,1.59345,1.58583,-0.239477,1.55755,1.47155,118.861,1.31459,1.58216,58.7879,1.46196,1.61443,-0.239477,1.44194,1.58255,118.861,3.17632,3.14085,58.7879,3.04373,3.09722,-0.239477,3.18704,3.13976,118.861,4.27156,3.68201,58.7879,3.67172,3.50511,-0.239477,4.04997,3.68715,All
