Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
0.0930975,0,9.32933,0,1.94144,0,All
0.110051,0.00714286,13.1085,0.00714286,2.241,0.00714286,All
0.156693,0.0142857,13.5482,0.0142857,2.56969,0.0142857,All
0.173464,0.0214286,13.7046,0.0214286,2.77396,0.0214286,All
0.204971,0.0285714,13.8445,0.0285714,2.83556,0.0285714,All
0.211232,0.0357143,14.2431,0.0357143,2.88877,0.0357143,All
0.216036,0.0428571,14.5061,0.0428571,3.0641,0.0428571,All
0.240861,0.05,14.5916,0.05,3.11982,0.05,All
0.281751,0.0571429,14.6964,0.0571429,3.13022,0.0571429,All
0.292345,0.0642857,14.7004,0.0642857,3.16307,0.0642857,All
0.325072,0.0714286,15.4048,0.0714286,3.18542,0.0714286,All
0.326923,0.0785714,15.6353,0.0785714,3.21982,0.0785714,All
0.334023,0.0857143,17.0476,0.0857143,3.64236,0.0857143,All
0.34298,0.0928571,18.1618,0.0928571,3.66973,0.0928571,All
0.343567,0.1,18.5776,0.1,3.77496,0.1,All
0.35258,0.107143,18.6129,0.107143,3.81741,0.107143,All
0.359339,0.114286,18.6641,0.114286,3.84519,0.114286,All
0.364007,0.121429,19.0271,0.121429,3.92892,0.121429,All
0.36942,0.128571,19.1633,0.128571,4.04454,0.128571,All
0.374961,0.135714,19.3588,0.135714,4.22917,0.135714,All
0.375481,0.142857,19.4201,0.142857,4.25009,0.142857,All
0.378601,0.15,19.4577,0.15,4.30059,0.15,All
0.379066,0.157143,19.519,0.157143,4.36315,0.157143,All
0.402711,0.164286,19.5292,0.164286,4.41374,0.164286,All
0.434321,0.171429,19.7222,0.171429,4.42453,0.171429,All
0.43798,0.178571,19.8119,0.178571,4.47424,0.178571,All
0.438812,0.185714,19.8623,0.185714,4.48252,0.185714,All
0.455239,0.192857,19.8667,0.192857,4.5104,0.192857,All
0.462432,0.2,20.0945,0.2,4.60722,0.2,All
0.465291,0.207143,20.3358,0.207143,4.61948,0.207143,All
0.470578,0.214286,20.4714,0.214286,4.66138,0.214286,All
0.471765,0.221429,20.4799,0.221429,4.75693,0.221429,All
0.484965,0.228571,20.5062,0.228571,4.77513,0.228571,All
0.491308,0.235714,20.5262,0.235714,4.81077,0.235714,All
0.492297,0.242857,20.7573,0.242857,4.90089,0.242857,All
0.498996,0.25,21.0488,0.25,4.94796,0.25,All
0.504088,0.257143,21.236,0.257143,4.95522,0.257143,All
0.521115,0.264286,21.3436,0.264286,4.98467,0.264286,All
0.53185,0.271429,21.4264,0.271429,5.05841,0.271429,All
0.547122,0.278571,21.4861,0.278571,5.10986,0.278571,All
0.631847,0.285714,21.4876,0.285714,5.12995,0.285714,All
0.635845,0.292857,21.6394,0.292857,5.2071,0.292857,All
0.635888,0.3,21.7784,0.3,5.21483,0.3,All
0.640527,0.307143,21.8335,0.307143,5.2434,0.307143,All
0.668263,0.314286,21.9214,0.314286,5.26121,0.314286,All
0.685727,0.321429,22.0801,0.321429,5.44025,0.321429,All
0.689299,0.328571,22.1914,0.328571,5.44828,0.328571,All
0.772159,0.335714,22.211,0.335714,5.52542,0.335714,All
0.805838,0.342857,22.3,0.342857,5.53564,0.342857,All
0.84799,0.35,22.3091,0.35,5.67019,0.35,All
0.917207,0.357143,22.3392,0.357143,5.78439,0.357143,All
0.942807,0.364286,22.4977,0.364286,5.82064,0.364286,All
0.943113,0.371429,22.534,0.371429,5.82162,0.371429,All
0.996663,0.378571,22.7184,0.378571,5.85847,0.378571,All
1.01003,0.385714,22.7602,0.385714,6.02869,0.385714,All
