Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
0.256586,0.607281,14.266,0.0334257,2.70767,0.0746169,All
0.549656,0.607281,16.581,0.00668514,3.64101,0.0746169,All
0.842727,0.158421,18.896,0.0501385,4.57435,0.157525,All
1.1358,0.158421,21.2111,0.0768791,5.50768,0.132652,All
1.42887,0.211228,23.5261,0.106962,6.44102,0.232142,All
1.72194,0.211228,25.8411,0.0969345,7.37436,0.182397,All
2.01501,0.36965,28.1561,0.046796,8.3077,0.174106,All
2.30808,0.184825,30.4711,0.0167128,9.24104,0.0746169,All
2.60115,0.264035,32.7861,0.0167128,10.1744,0.0414539,All
2.89422,0.554474,35.1011,0.00668514,11.1077,0,All
3.18729,0.184825,37.4162,0.00668514,12.0411,0,All
3.48036,0.184825,39.7312,0.00334257,12.9744,0.0165815,All
