standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-4,0,-4,0,-4,0,All
-2.01155,0.00714286,-2.60821,0.00714286,-2.83474,0.00714286,All
-2.00001,0.0142857,-2.40004,0.0142857,-2.53867,0.0142857,All
-1.98753,0.0214286,-2.14954,0.0214286,-2.39178,0.0214286,All
-1.94496,0.0285714,-2.13909,0.0285714,-2.34253,0.0285714,All
-1.78081,0.0357143,-2.00541,0.0357143,-2.11114,0.0357143,All
-1.72191,0.0428571,-1.96477,0.0428571,-2.02742,0.0428571,All
-1.63147,0.05,-1.81596,0.05,-1.91195,0.05,All
-1.62565,0.0571429,-1.73877,0.0571429,-1.90068,0.0571429,All
-1.58886,0.0642857,-1.61202,0.0642857,-1.86012,0.0642857,All
-1.56167,0.0714286,-1.47078,0.0714286,-1.73807,0.0714286,All
-1.49707,0.0785714,-1.23567,0.0785714,-1.71509,0.0785714,All
-1.46959,0.0857143,-1.16854,0.0857143,-1.52909,0.0857143,All
-1.4691,0.0928571,-1.09773,0.0928571,-1.44817,0.0928571,All
-1.3616,0.1,-0.98905,0.1,-1.30673,0.1,All
-1.33403,0.107143,-0.988045,0.107143,-1.28901,0.107143,All
-1.32393,0.114286,-0.979222,0.114286,-1.21555,0.114286,All
-1.27113,0.121429,-0.974627,0.121429,-1.20333,0.121429,All
-1.26624,0.128571,-0.935303,0.128571,-1.19577,0.128571,All
-1.24525,0.135714,-0.92605,0.135714,-1.05723,0.135714,All
-1.22109,0.142857,-0.871325,0.142857,-1.03475,0.142857,All
-1.14047,0.15,-0.861756,0.15,-1.03468,0.15,All
-0.922474,0.157143,-0.805151,0.157143,-1.03393,0.157143,All
-0.910021,0.164286,-0.803335,0.164286,-0.977428,0.164286,All
-0.904886,0.171429,-0.753383,0.171429,-0.953105,0.171429,All
-0.878572,0.178571,-0.696108,0.178571,-0.930161,0.178571,All
-0.831186,0.185714,-0.693848,0.185714,-0.817288,0.185714,All
-0.796385,0.192857,-0.67701,0.192857,-0.796891,0.192857,All
-0.779973,0.2,-0.6686,0.2,-0.794362,0.2,All
-0.779309,0.207143,-0.668587,0.207143,-0.78986,0.207143,All
-0.762493,0.214286,-0.644445,0.214286,-0.787449,0.214286,All
-0.756267,0.221429,-0.590359,0.221429,-0.78234,0.221429,All
-0.729255,0.228571,-0.588391,0.228571,-0.763665,0.228571,All
-0.702268,0.235714,-0.579182,0.235714,-0.758543,0.235714,All
-0.697625,0.242857,-0.578009,0.242857,-0.733413,0.242857,All
-0.677959,0.25,-0.562846,0.25,-0.713538,0.25,All
-0.64744,0.257143,-0.452027,0.257143,-0.6945,0.257143,All
-0.647003,0.264286,-0.376057,0.264286,-0.643761,0.264286,All
-0.563971,0.271429,-0.363433,0.271429,-0.588298,0.271429,All
-0.509721,0.278571,-0.35896,0.278571,-0.570189,0.278571,All
-0.500816,0.285714,-0.314962,0.285714,-0.565873,0.285714,All
-0.49458,0.292857,-0.289261,0.292857,-0.519133,0.292857,All
-0.467967,0.3,-0.280449,0.3,-0.472122,0.3,All
-0.380236,0.307143,-0.279191,0.307143,-0.41466,0.307143,All
-0.379518,0.314286,-0.258112,0.314286,-0.382426,0.314286,All
-0.359113,0.321429,-0.257337,0.321429,-0.345366,0.321429,All
-0.356629,0.328571,-0.212013,0.328571,-0.344255,0.328571,All
-0.328886,0.335714,-0.165031,0.335714,-0.266118,0.335714,All
-0.328616,0.342857,-0.15986,0.342857,-0.224456,0.342857,All
-0.323561,0.35,-0.149548,0.35,-0.192189,0.35,All
-0.295743,0.357143,-0.129018,0.357143,-0.119106,0.357143,All
-0.275265,0.364286,-0.122981,0.364286,-0.11276,0.364286,All
-0.270903,0.371429,-0.0976661,0.371429,-0.0583316,0.371429,All
-0.236136,0.378571,-0.0944592,0.378571,0.0131526,0.378571,All
-0.230715,0.385714,-0.0925987,0.385714,0.0246872,0.385714,All
-0.219443,0.392857,-0.0924973,0.392857,0.0622771,0.392857,All
-0.205013,0.4,-0.0876542,0.4,0.0673931,0.4,All
-0.204602,0.407143,-0.0678222,0.407143,0.0704707,0.407143,All
-0.19199,0.414286,-0.0614934,0.414286,0.130294,0.414286,All
-0.185152,0.421429,-0.0267831,0.421429,0.140528,0.421429,All
-0.181082,0.428571,-0.00565038,0.428571,0.15638,0.428571,All
-0.175731,0.435714,-0.00419356,0.435714,0.168955,0.435714,All
-0.161118,0.442857,0.0242237,0.442857,0.179995,0.442857,All
-0.143258,0.45,0.0655398,0.45,0.196407,0.45,All
-0.142967,0.457143,0.0725539,0.457143,0.205543,0.457143,All
-0.119586,0.464286,0.0850325,0.464286,0.222729,0.464286,All
-0.114242,0.471429,0.100546,0.471429,0.230594,0.471429,All
-0.112785,0.478571,0.130073,0.478571,0.236888,0.478571,All
-0.0430613,0.485714,0.135475,0.485714,0.242406,0.485714,All
-0.0393322,0.492857,0.146489,0.492857,0.247927,0.492857,All
-0.0239378,0.5,0.155322,0.5,0.271497,0.5,All
-0.0215679,0.507143,0.157472,0.507143,0.2851,0.507143,All
