standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,split
-1.84801,0.141951,-2.38876,0.0352606,-2.61304,0.0523551,All
-1.52094,0.189268,-1.94985,0.105782,-2.16964,0.0523551,All
-1.19386,0.165609,-1.51094,0.0352606,-1.72624,0.10471,All
-0.866789,0.260243,-1.07203,0.193933,-1.28284,0.10471,All
-0.539714,0.283902,-0.633122,0.264454,-0.839442,0.331582,All
-0.212639,0.544145,-0.194213,0.458387,-0.396041,0.20942,All
0.114436,0.591462,0.244697,0.669951,0.0473597,0.349034,All
0.441511,0.30756,0.683606,0.440757,0.49076,0.610809,All
0.768586,0.236585,1.12252,0.105782,0.934161,0.401389,All
1.09566,0.118292,1.56143,0.105782,1.37756,0.122162,All
1.42274,0.212926,2.00033,0.0352606,1.82096,0.0523551,All
1.74981,0.260243,2.43924,0.0176303,2.26436,0.0523551,All
