parameter,value,se_sa,rse_sa
Cl_pop,2.47671489537344,2.41461246902491,97.4925484372651
V1_pop,23.6935131030317,1.66012555781581,7.00666697503541
Q_pop,6.20286910856742,2.86515589619327,46.1908166373511
V2_pop,356.421724267514,435.533339476575,122.196069942606
omega_Cl,0.289832184096522,0.226875322697379,78.2781675556859
omega_V1,0.246426997263333,0.0530886261381841,21.5433482239177
omega_Q,0.198459395149503,0.128645093513102,64.8218712025155
omega_V2,0.588277404535941,0.150134408341154,25.5210224264157
corr_V2_V1,0.116102406571899,0.952406111214062,820.315563936447
a1,0.300059925545615,0.023427397714712,7.80757299466521
a2,0.0795435029519013,0.00966840394667214,12.1548631728206
