Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-1.46076,-0.0661392,0.0239009,-0.529107,-0.255385,-0.340981,-0.527888,0.384439,0.0997992,-0.529107,-0.599342,-0.437948,-0.527888,-0.35564,-0.309523,-1.46076,-0.0710042,-0.111194
-1.43222,-0.0577107,0.0234994,-0.519442,-0.234335,-0.334776,-0.51859,0.388953,0.0984791,-0.519442,-0.595573,-0.429608,-0.51859,-0.346616,-0.303986,-1.43222,-0.0598637,-0.10893
-1.40369,-0.0492822,0.0230979,-0.509778,-0.213284,-0.32857,-0.509292,0.393466,0.097159,-0.509778,-0.591805,-0.421267,-0.509292,-0.337593,-0.298449,-1.40369,-0.0487233,-0.106666
-1.37516,-0.0408538,0.0226964,-0.500113,-0.200227,-0.322365,-0.499995,0.39798,0.0958389,-0.500113,-0.576731,-0.412926,-0.499995,-0.328569,-0.292912,-1.37516,-0.0375828,-0.104402
-1.34663,-0.0324253,0.0222949,-0.490448,-0.189285,-0.31616,-0.490697,0.393266,0.0945188,-0.490448,-0.558666,-0.404585,-0.490697,-0.319627,-0.287375,-1.34663,-0.0264423,-0.102138
-1.3181,-0.0239968,0.0218934,-0.480784,-0.181731,-0.309955,-0.4814,0.368308,0.0931987,-0.480784,-0.536142,-0.396244,-0.4814,-0.310845,-0.281837,-1.3181,-0.0153019,-0.0998747
-1.28956,-0.0155684,0.0214919,-0.471119,-0.180083,-0.30375,-0.472102,0.33258,0.0918786,-0.471119,-0.505853,-0.387903,-0.472102,-0.302117,-0.2763,-1.28956,-0.00416142,-0.097611
-1.26103,-0.00713991,0.0210903,-0.461455,-0.178435,-0.297544,-0.462804,0.296852,0.0905585,-0.461455,-0.475564,-0.379562,-0.462804,-0.29339,-0.270763,-1.26103,0.00697904,-0.0953472
-1.2325,-0.00260514,0.0206888,-0.45179,-0.180774,-0.291339,-0.453507,0.252658,0.0892384,-0.45179,-0.440665,-0.371221,-0.453507,-0.284674,-0.265226,-1.2325,0.00510394,-0.0930835
-1.20397,-0.000387884,0.0202873,-0.442126,-0.186098,-0.285134,-0.444209,0.203124,0.0879183,-0.442126,-0.402314,-0.362881,-0.444209,-0.275953,-0.259689,-1.20397,-0.00451802,-0.0908197
