standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.49346,0.0353503,-2.77137,0.0309046,-2.61436,0.0216776,-2.75963,0.0384129,All
-2.32583,0.0972134,-2.57962,0.054083,-2.40934,0.00722587,-2.5668,0.0384129,All
-2.15819,0.203264,-2.38787,0.0154523,-2.20431,0.0144517,-2.37396,0.0307303,All
-1.99056,0.0795382,-2.19612,0.108166,-1.99929,0.0722587,-2.18112,0.107556,All
-1.82292,0.0353503,-2.00437,0.123618,-1.79426,0.115614,-1.98829,0.115239,All
-1.65529,0,-1.81262,0.108166,-1.58924,0.130066,-1.79545,0.122921,All
-1.48766,0.0883758,-1.62087,0.123618,-1.38421,0.216776,-1.60261,0.0998735,All
-1.32002,0.150239,-1.42912,0.10044,-1.17919,0.267357,-1.40978,0.107556,All
-1.15239,0.503742,-1.23737,0.0927138,-0.974164,0.202324,-1.21694,0.115239,All
-0.984753,0.132564,-1.04562,0.154523,-0.76914,0.252905,-1.02411,0.161334,All
-0.817119,0,-0.853875,0.224058,-0.564115,0.238454,-0.831269,0.192064,All
-0.649485,0,-0.662126,0.224058,-0.35909,0.375745,-0.638432,0.276573,All
-0.48185,0.0707006,-0.470377,0.316772,-0.154066,0.426326,-0.445596,0.291938,All
-0.314216,0.203264,-0.278628,0.285867,0.0509591,0.397423,-0.252759,0.299621,All
-0.146582,0.777707,-0.0868789,0.332224,0.255984,0.4191,-0.0599226,0.353399,All
0.0210525,0.989809,0.10487,0.455843,0.461008,0.426326,0.132914,0.47632,All
0.188687,0.715844,0.296619,0.525378,0.666033,0.33239,0.32575,0.576193,All
0.356321,0.388854,0.488368,0.695353,0.871058,0.260131,0.518587,0.629971,All
0.523955,0.25629,0.680117,0.448117,1.07608,0.252905,0.711423,0.453272,All
0.69159,0.282803,0.871866,0.394034,1.28111,0.166195,0.90426,0.330351,All
0.859224,0.185589,1.06362,0.270415,1.48613,0.115614,1.0971,0.230477,All
1.02686,0.123726,1.25536,0.123618,1.69116,0.12284,1.28993,0.153652,All
1.19449,0.0441879,1.44711,0.0695353,1.89618,0.0794846,1.48277,0.0460955,All
1.36213,0.247452,1.63886,0.0154523,2.10121,0.0505811,1.67561,0.0153652,All
1.52976,0.344666,1.83061,0.0231784,2.30623,0.0216776,1.86844,0.0307303,All
1.6974,0.159076,2.02236,0.0463569,2.51126,0.0289035,2.06128,0.0460955,All
1.86503,0.0707006,2.21411,0.0463569,2.71628,0.0433552,2.25412,0.0384129,All
