simulations, -2LL
1000,596.753
2000,596.004
3000,595.605
4000,595.637
5000,595.621
6000,595.697
7000,595.759
8000,595.734
9000,595.196
10000,595.23
11000,595.274
12000,595.22
13000,595.303
14000,595.351
15000,595.385
16000,595.459
17000,595.541
18000,595.604
19000,595.658
20000,595.633
21000,595.622
22000,595.675
23000,595.691
24000,595.694
25000,595.69
26000,595.717
27000,595.747
28000,595.727
29000,595.739
30000,595.739
