Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression,Q_vs_V1_abscissa,Q_vs_V1_spline,Q_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q_abscissa,V1_vs_Q_spline,V1_vs_Q_regression
-1.44825,0.193544,0.0247985,-0.558887,-0.326713,-0.34727,-0.571892,-0.118739,0.0687298,-0.558887,-0.257451,-0.293763,-0.571892,-0.386664,-0.380067,-1.44825,0.131595,-0.0676942
-1.41519,0.161887,0.024113,-0.546537,-0.304321,-0.339879,-0.562686,0.00595798,0.067014,-0.546537,-0.29943,-0.288228,-0.562686,-0.385475,-0.373674,-1.41519,0.118325,-0.0657816
-1.38212,0.130231,0.0234275,-0.534187,-0.2847,-0.332488,-0.55348,0.130654,0.0652982,-0.534187,-0.334396,-0.282693,-0.55348,-0.384285,-0.367282,-1.38212,0.105054,-0.063869
-1.34906,0.098575,0.022742,-0.521837,-0.269344,-0.325097,-0.544274,0.255351,0.0635824,-0.521837,-0.358541,-0.277158,-0.544274,-0.383095,-0.36089,-1.34906,0.0917837,-0.0619565
-1.316,0.0669188,0.0220566,-0.509487,-0.25736,-0.317706,-0.535068,0.367521,0.0618665,-0.509487,-0.37409,-0.271623,-0.535068,-0.381474,-0.354497,-1.316,0.0785132,-0.0600439
-1.28294,0.0352626,0.0213711,-0.497137,-0.249748,-0.310315,-0.525862,0.416916,0.0601507,-0.497137,-0.378408,-0.266088,-0.525862,-0.377622,-0.348105,-1.28294,0.0652427,-0.0581313
-1.24987,0.00360644,0.0206856,-0.484787,-0.243862,-0.302924,-0.516656,0.456838,0.0584349,-0.484787,-0.378275,-0.260553,-0.516656,-0.37341,-0.341712,-1.24987,0.0519722,-0.0562187
-1.21681,-0.0280498,0.0200001,-0.472437,-0.238622,-0.295533,-0.50745,0.471798,0.0567191,-0.472437,-0.376457,-0.255017,-0.50745,-0.368183,-0.33532,-1.21681,0.0387018,-0.0543061
-1.18375,-0.0597059,0.0193146,-0.460087,-0.237199,-0.288142,-0.498244,0.476153,0.0550032,-0.460087,-0.364649,-0.249482,-0.498244,-0.362526,-0.328928,-1.18375,0.0254313,-0.0523935
-1.15069,-0.0558569,0.0186291,-0.447737,-0.237868,-0.280751,-0.489038,0.437405,0.0532874,-0.447737,-0.347256,-0.243947,-0.489038,-0.354776,-0.322535,-1.15069,0.0123293,-0.0504809
