parameter,value
Cl_pop,10.5438479673813
beta_Cl_logtCLCRMLMIN,0.660232391466006
beta_Cl_logtWTKG,0.796732079055574
V1_pop,43.7599351907562
beta_V1_logtHCM,0.775173703819374
Q_pop,20.9138576557123
beta_Q_ANTU_2,-0.758745776918909
beta_Q_logtAGEA,1.57609292704061
beta_Q_logtCLCRMLMIN,1.74941926611583
beta_Q_logtSCRMGDL,0.57936636824984
V2_pop,52.7722553325585
omega_Cl,0.178637502101818
omega_V1,0.254865508598425
omega_Q,0.0157890015196246
omega_V2,0.186365923252337
corr_V2_V1,0.998808532703541
a1,0.307482176611277
a2,0.0591874576623163
