simulations, -2LL
1000,596.95
2000,596.95
3000,597.342
4000,597.321
5000,597.33
6000,597.33
7000,597.495
8000,597.514
9000,597.105
10000,597.021
11000,597.036
12000,597.095
13000,597.181
14000,597.112
15000,597.158
16000,597.224
17000,597.259
18000,597.327
19000,597.372
20000,597.36
21000,597.353
22000,597.419
23000,597.446
24000,597.455
25000,597.45
26000,596.9
27000,596.934
28000,596.911
29000,596.929
30000,596.869
