iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,5.39834,0.0301543,20.8039,0.132575,6.9724,0.382732,23.4925,0.257143,0.268,1.18883e-07
2,5.39397,0.0267253,20.7563,0.111581,6.87983,0.327242,23.4211,0.22304,0.268,1.05849e-07
3,5.40106,0.0274256,20.8831,0.108698,6.87632,0.326255,23.3726,0.207463,0.268,1.02035e-07
4,5.40023,0.0259435,20.9566,0.107495,6.88062,0.314486,23.5018,0.203819,0.268,1.00109e-07
5,5.40393,0.0260966,20.9992,0.108714,6.82388,0.313126,23.7677,0.202699,0.268,9.8565e-08
6,5.40615,0.0258788,21.0339,0.108485,6.79072,0.313319,23.8902,0.201569,0.268,9.7845e-08
7,5.40591,0.0262247,21.0202,0.109244,6.7987,0.323934,23.9206,0.20288,0.268,9.85258e-08
8,5.40385,0.0265248,21.0232,0.108984,6.83512,0.322813,23.9525,0.202707,0.268,9.78209e-08
9,5.40063,0.0260956,21.0839,0.109742,6.79277,0.328048,23.9548,0.206721,0.268,9.71187e-08
10,5.3986,0.0263375,21.1377,0.109421,6.733,0.328915,23.9612,0.20718,0.268,9.72118e-08
11,5.40111,0.0265603,21.2082,0.110258,6.71708,0.326761,24.1191,0.20912,0.268,9.70058e-08
12,5.40112,0.0267419,21.2665,0.110741,6.68897,0.327591,24.2314,0.211606,0.268,9.71483e-08
13,5.39924,0.0267124,21.3072,0.109967,6.63542,0.326821,24.3402,0.211728,0.268,9.80713e-08
14,5.40046,0.0265995,21.3483,0.109251,6.59005,0.326113,24.4353,0.208949,0.268,9.76016e-08
15,5.40268,0.0264996,21.3673,0.108077,6.57145,0.324324,24.4774,0.206748,0.268,9.90695e-08
16,5.4027,0.0264754,21.3677,0.107458,6.57547,0.324579,24.4975,0.206415,0.268,9.92212e-08
17,5.40018,0.0265733,21.38,0.107301,6.54893,0.324943,24.4959,0.205505,0.268,9.97684e-08
18,5.39697,0.0266491,21.3918,0.107171,6.51355,0.324012,24.4853,0.204794,0.268,9.99213e-08
