pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.54253,0.0196262,-3.81902,0.00331283,-1.91723,0.022836,All
-0.958704,0.412151,-3.49444,0,-1.41546,0.0685079,All
-0.374876,0.72617,-3.16986,0.00331283,-0.913695,0.365375,All
0.208952,0.314019,-2.84529,0,-0.411928,0.753586,All
0.79278,0.15701,-2.52071,0.0132513,0.0898397,0.365375,All
1.37661,0.137384,-2.19613,0.019877,0.591607,0.251195,All
1.96044,0.0588787,-1.87156,0.0364411,1.09337,0.182688,All
2.54426,0.0196262,-1.54698,0.0629438,1.59514,0.0685079,All
3.12809,0.0196262,-1.2224,0.1292,2.09691,0.0913438,All
3.71192,0.0196262,-0.897825,0.291529,2.59868,0.022836,All
,,-0.573247,0.39754,,,All
,,-0.24867,0.500237,,,All
,,0.0759068,0.510176,,,All
,,0.400484,0.467109,,,All
,,0.725061,0.334596,,,All
,,1.04964,0.195457,,,All
,,1.37422,0.0960721,,,All
,,1.69879,0.0364411,,,All
,,2.02337,0.0265026,,,All
,,2.34795,0.0132513,,,All
,,2.67252,0.00993849,,,All
,,2.9971,0,,,All
,,3.32168,0,,,All
,,3.64625,0,,,All
,,3.97083,0,,,All
,,4.29541,0,,,All
,,4.61999,0.00331283,,,All
,,4.94456,0.00662566,,,All
,,5.26914,0.00993849,,,All
,,5.59372,0.00993849,,,All
,,5.91829,0.00331283,,,All
