iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,2026.72,1,7.77311,10.5064,2.88311,11.3759,1.5,1.5,1.5,1.5,0,3,3
2,2003.2,1,4.1774,16.3988,4.09359,17.5513,1.46202,1.63375,1.67798,1.46202,0,2.92404,2.92404
3,1991.63,1,4.3829,22.9835,5.17087,26.9971,1.425,1.59238,1.71244,1.48265,0,2.85,2.85
4,1969.92,1,2.95351,32.9985,8.17936,44.9821,1.38892,1.55206,1.66908,1.44511,0,2.77784,2.77784
5,1966.85,1,2.99679,53.7147,7.2167,47.8305,1.35375,1.53057,1.62682,1.40852,0,2.7075,2.7075
6,1965.18,1,2.94196,55.823,5.73585,55.8774,1.31947,1.78775,1.59662,1.37285,0,2.63894,2.63894
7,1946.64,1,2.56871,67.4509,5.72879,71.2776,1.28606,1.74248,1.55619,1.33809,0,2.57212,2.57212
8,1929.48,1,2.40762,79.5489,5.63584,71.6386,1.2535,1.69836,1.51678,1.30597,0,2.507,2.507
9,1936.8,1,2.58155,73.5092,4.4758,68.9969,1.22176,1.68191,1.70017,1.27957,0,2.44352,2.44352
10,1922.79,1,2.20946,62.2805,4.60179,84.0546,1.19082,1.63932,1.85884,1.24717,0,2.38165,2.38165
11,1908.42,1,2.80746,84.372,3.68687,98.6404,1.16067,1.59782,1.81177,1.31043,0,2.32134,2.32134
12,1894.21,1,2.52099,70.6825,3.78938,101.655,1.13128,1.55736,1.7659,1.27725,0,2.26257,2.26257
13,1891.37,1,2.67167,52.9548,6.78733,162.601,1.10264,1.51792,1.91358,1.39143,0,2.20528,2.20528
14,1880.06,1,2.4841,73.3862,5.25632,178.114,1.07472,1.47949,2.08266,1.35619,0,2.14944,2.14944
15,1870.86,1,2.43131,56.2173,6.38088,189.697,1.04751,1.44203,2.182,1.32185,0,2.09501,2.09501
16,1865.07,1,2.33726,52.4547,10.5422,139.851,1.02098,1.40552,2.12675,1.28838,0,2.04197,2.04197
17,1837.38,1,2.55316,41.4776,7.8048,171.571,0.995131,1.36993,2.0729,1.25576,0,1.99026,1.99026
18,1839.03,1,2.71176,38.7454,10.0613,147.26,0.969933,1.40694,2.02041,1.43053,0,1.93987,1.93987
19,1819.06,1,3.09183,33.3493,11.7551,127.964,0.945374,1.37131,1.96925,1.39431,0,1.89075,1.89075
20,1808.84,1,3.26569,35.0149,12.3718,114.501,0.921437,1.33659,1.91939,1.41217,0,1.84287,1.84287
21,1810.5,1,3.65644,31.3587,17.8199,98.758,0.898105,1.30275,2.03633,1.37641,0,1.79621,1.79621
22,1783.16,1,3.56102,28.937,20.0819,100.598,0.875365,1.26976,1.98476,1.34156,0,1.75073,1.75073
23,1781.1,1,3.44308,26.9279,18.5875,118.403,0.8532,1.23761,1.95139,1.30759,0,1.7064,1.7064
24,1771.71,1,3.2878,31.7638,19.4568,146.768,0.831597,1.20627,1.92739,1.32492,0,1.66319,1.66319
25,1747.39,1,4.02082,22.3984,18.8872,133.318,0.81054,1.17573,1.87859,1.29137,0,1.62108,1.62108
26,1730.76,1,3.82324,26.6652,16.8345,123.712,0.790017,1.14596,1.83102,1.25868,0,1.58003,1.58003
27,1733.73,1,4.37204,25.5064,18.4916,103.172,0.770013,1.11694,1.93288,1.2268,0,1.54003,1.54003
28,1716.13,1,4.46653,36.582,12.0328,88.6097,0.750516,1.13286,1.88394,1.19574,0,1.50103,1.50103
29,1710.68,1,4.67349,30.7771,11.6915,76.9925,0.731512,1.10418,1.94799,1.16546,0,1.46302,1.46302
30,1692.52,1,4.60045,26.4604,9.9603,93.863,0.71299,1.07622,1.89867,1.13595,0,1.42598,1.42598
31,1700.96,1,4.2511,26.2242,6.02354,82.0537,0.694937,1.04897,1.85059,1.2519,0,1.38987,1.38987
32,1674.73,1,4.69149,24.9894,7.8734,69.537,0.677341,1.02241,1.80374,1.22779,0,1.35468,1.35468
33,1671.1,1,4.48168,25.285,9.54375,63.864,0.66019,0.996518,2.03551,1.1967,0,1.32038,1.32038
34,1649.05,1,4.52769,31.1101,8.71603,67.3154,0.643474,0.971286,1.98397,1.1664,0,1.28695,1.28695
35,1639.42,1,4.72021,26.0452,9.66444,73.0545,0.627181,0.946692,1.93374,1.13687,0,1.25436,1.25436
36,1640.21,1,4.79762,27.6377,15.7245,70.143,0.6113,0.955471,2.04248,1.10808,0,1.2226,1.2226
37,1628.06,1,4.66731,35.0513,15.7152,62.2645,0.595821,0.931278,2.03881,1.13089,0,1.19164,1.19164
38,1623.92,1,4.72064,36.1443,15.0036,52.5346,0.580735,0.931654,1.98718,1.1213,0,1.16147,1.16147
39,1601.83,1,4.88183,31.7921,12.0892,48.5693,0.56603,0.908064,1.93687,1.20532,0,1.13206,1.13206
