iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1518.33,1,7.8892,3.05437,10.2532,21.6974,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1495.46,1,4.49145,6.12477,22.5142,41.0456,0.974679,0.974679,0.149362,0.998761,1.46202,1.47307,1.46202,1.16962
3,1491.89,1,4.4553,5.14563,22.8336,41.8788,0.95,0.95,0.339378,0.998761,1.425,1.57097,1.425,1.14
4,1481.74,1,4.3219,7.31847,22.0295,40.9856,0.925945,0.925945,0.624385,0.998761,1.38892,1.53119,1.38892,1.11113
5,1473.38,1,3.87649,5.90615,27.6511,48.7657,0.9025,0.9025,0.517231,0.998761,1.35375,1.49242,1.35375,1.083
6,1463.18,1,3.82475,5.93518,37.7426,62.5614,0.879648,0.879648,0.607319,0.998761,1.31947,1.50343,1.31947,1.05558
7,1459.42,1,3.8314,7.20868,39.9688,65.3776,0.857375,0.857375,0.988838,0.998761,1.28606,1.46536,1.28606,1.02885
8,1433.13,1,4.40959,8.45802,33.6103,56.0185,0.835666,0.835666,0.583215,0.998761,1.2535,1.42826,1.2535,1.0028
9,1419.59,1,4.79595,7.65345,38.0297,61.7493,0.814506,0.814506,0.56392,0.998761,1.22176,1.39209,1.22176,0.977407
10,1394.44,1,4.95302,7.69741,34.87,57.7326,0.793882,0.793882,0.627468,0.998761,1.19082,1.35684,1.19082,0.952659
11,1394.44,1,4.73615,7.08098,37.6179,61.0304,0.773781,0.773781,0.643646,0.998761,1.16067,1.32249,1.16067,0.928537
12,1376.05,1,4.76871,6.25895,32.6354,54.298,0.754188,0.754188,0.505038,0.998761,1.13128,1.289,1.13128,0.905026
13,1367.69,1,4.9463,9.76562,29.4313,50.0093,0.735092,0.735092,0.577018,0.998761,1.10264,1.25636,1.10264,0.88211
14,1358.66,1,4.85685,7.90365,26.6917,45.8124,0.716479,0.716479,0.450884,0.998761,1.07472,1.33136,1.07472,0.859775
15,1352.83,1,4.84505,8.30342,29.0044,49.0587,0.698337,0.698337,0.724352,0.998761,1.04751,1.39521,1.04751,0.838005
16,1344.01,1,5.02059,8.21939,26.8052,46.0437,0.680655,0.680655,0.845025,0.998761,1.02098,1.40402,1.02098,0.816786
17,1319.8,1,5.09265,10.3617,25.6711,44.8918,0.66342,0.66342,0.483947,0.998761,0.995131,1.36847,0.995131,0.796105
18,1314.46,1,5.12847,11.3544,27.7835,47.7357,0.646622,0.646622,0.439747,0.998761,0.969933,1.33382,0.969933,0.775947
19,1296.42,1,4.80669,12.2331,25.862,44.6816,0.630249,0.630249,0.765442,0.998761,0.945374,1.32624,0.945374,0.756299
20,1281.28,1,5.15866,10.5857,24.5134,42.772,0.614291,0.614291,0.861184,0.998761,0.921437,1.29266,0.921437,0.737149
21,1277.46,1,5.32066,12.7331,22.3316,40.2182,0.598737,0.598737,0.526201,0.998761,0.898105,1.25993,0.898105,0.718484
