iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,2019.7,1,2.59104,5.76621,31.5191,34.1276,3,3,0,1.5,1.5,1.5,1.5
2,1998.73,1,2.61979,7.54891,27.1329,44.3817,2.92404,2.92404,0,1.46202,1.56844,1.50597,1.46202
3,1987.49,1,3.43883,8.67021,30.1669,65.0606,2.85,2.85,0,1.425,1.52872,1.46783,1.50815
4,1970.81,1,2.69598,11.3426,41.675,96.8114,2.77784,2.77784,0,1.38892,1.49002,1.46763,1.46997
5,1962.3,1,2.76695,12.1393,62.7146,96.6012,2.7075,2.7075,0,1.35375,1.45229,1.44372,1.43275
6,1958.71,1,2.61845,10.1311,54.3273,105.552,2.63894,2.63894,0,1.31947,1.44319,1.48245,1.39647
7,1937.94,1,2.50792,9.60768,66.9217,128.869,2.57212,2.57212,0,1.28606,1.40665,1.44491,1.36111
8,1927.59,1,2.33466,10.9088,73.8676,119.017,2.507,2.507,0,1.2535,1.43947,1.40832,1.41234
9,1930.84,1,2.2636,8.44443,78.5297,119.49,2.44352,2.44352,0,1.22176,1.71833,1.37266,1.37658
10,1918.84,1,1.80089,9.13288,65.6744,161.125,2.38165,2.38165,0,1.20145,1.67482,1.33791,1.34173
11,1909.01,1,2.13333,6.42018,87.8243,177.33,2.32134,2.32134,0,1.17103,1.63241,1.30403,1.41836
12,1888.42,1,2.21599,5.82817,86.1133,165.127,2.26257,2.26257,0,1.14138,1.59108,1.27101,1.38245
13,1882.47,1,2.67959,8.95454,63.54,248.188,2.20528,2.20528,0,1.11248,1.6373,1.23883,1.42415
14,1874.76,1,2.31102,7.34033,72.243,266.456,2.14944,2.14944,0,1.08431,1.78273,1.20746,1.38809
15,1853.15,1,2.07714,6.98718,58.4754,269.122,2.09501,2.09501,0,1.05685,1.73759,1.17689,1.35294
16,1851.19,1,2.23517,11.0158,55.5831,212.778,2.04197,2.04197,0,1.03009,1.69359,1.14709,1.31869
17,1830.2,1,2.22381,7.55387,44.9645,244.484,1.99026,1.99026,0,1.00401,1.65071,1.11804,1.2853
18,1829.39,1,2.28158,7.18048,42.1058,239.356,1.93987,1.93987,0,0.978587,1.61122,1.11071,1.34917
19,1804.02,1,2.71116,7.43547,43.0639,234.339,1.89075,1.89075,0,0.953809,1.57043,1.08259,1.31501
20,1790.54,1,2.60331,6.45044,43.0106,207.351,1.84287,1.84287,0,0.929658,1.53066,1.05518,1.28171
21,1788.8,1,2.89051,9.12578,48.4861,186.287,1.79621,1.79621,0,0.906118,1.49191,1.02846,1.24926
22,1763.8,1,2.64771,9.10443,47.8499,208.265,1.75073,1.75073,0,0.883175,1.45413,1.00242,1.21763
23,1770.85,1,2.49459,8.92171,41.6019,261.078,1.7064,1.7064,0,0.860812,1.44697,1.05842,1.1868
24,1749.72,1,2.52241,7.43556,44.1944,335.757,1.66319,1.66319,0,0.839016,1.41033,1.03162,1.15675
25,1740.69,1,3.0126,5.79221,39.4786,309.934,1.62108,1.62108,0,0.817772,1.37462,1.0055,1.12746
26,1723.02,1,3.33837,5.48375,38.9643,333.992,1.58003,1.58003,0,0.797065,1.35551,0.980038,1.09891
27,1719.89,1,3.47686,4.01443,40.4069,330.481,1.54003,1.54003,0,0.776883,1.50377,0.955223,1.07108
28,1700.32,1,3.72922,2.88897,50.1556,266.398,1.50103,1.50103,0,0.757212,1.4657,0.931036,1.04396
29,1696.31,1,3.7939,2.73091,42.4087,211.818,1.46302,1.46302,0,0.738039,1.42858,0.907461,1.08418
30,1681.57,1,4.04524,2.52652,38.817,269.311,1.42598,1.42598,0,0.719351,1.39241,0.904462,1.05673
31,1673.32,1,3.57984,1.61709,41.7654,250.135,1.38987,1.38987,0,0.701137,1.35715,0.881561,1.02998
32,1655.39,1,3.77369,2.04433,41.7898,217.971,1.35468,1.35468,0,0.683384,1.32279,0.859239,1.0039
33,1644.93,1,3.92341,2.42031,38.5526,194.226,1.32038,1.32038,0,0.66608,1.35837,0.837482,0.978477
34,1636.06,1,3.91745,2.767,43.2667,184.351,1.28695,1.28695,0,0.649215,1.37505,0.816277,0.953701
35,1617.77,1,4.03424,3.60569,38.9086,220.781,1.25436,1.25436,0,0.632776,1.34024,0.795608,0.929553
36,1616.74,1,3.67764,5.61523,33.7617,211.707,1.2226,1.2226,0,0.616754,1.44159,0.775463,0.906016
37,1613.07,1,3.83859,5.05035,37.4285,168.102,1.19164,1.19164,0,0.601137,1.48991,0.755828,0.883075
38,1601.1,1,3.7628,4.97336,39.5239,141.31,1.16147,1.16147,0,0.585916,1.45219,0.797681,0.88313
39,1576.48,1,4.0937,4.73462,37.7858,127.114,1.13206,1.13206,0,0.57108,1.41542,0.777484,0.860769
40,1568.73,1,4.2409,6.00511,35.9404,145.304,1.1034,1.1034,0,0.55662,1.44623,0.757797,0.838974
41,1560.52,1,4.09043,7.60107,37.3925,145.097,1.07546,1.07546,0,0.542526,1.45683,0.738609,0.817731
42,1541.56,1,4.19128,5.90472,32.7136,143.332,1.04823,1.04823,0,0.528789,1.41994,0.719907,0.810055
43,1530.3,1,4.44069,4.62444,30.5348,117.844,1.02168,1.02168,0,0.5154,1.39726,0.701679,0.789544
44,1513.02,1,4.33979,5.27926,27.6878,131.094,0.995815,0.995815,0,0.50235,1.36188,0.683912,0.769553
45,1511.14,1,4.41351,4.96943,26.463,111.204,0.970601,0.970601,0,0.48963,1.45727,0.666595,0.753748
46,1509.96,1,4.27473,3.68925,29.6865,112.399,0.946024,0.946024,0,0.477232,1.44891,0.649716,0.740063
47,1486.51,1,4.35974,5.41817,29.0491,121.966,0.922071,0.922071,0,0.465149,1.41223,0.633265,0.721324
48,1477.44,1,4.24733,5.00698,28.4863,137.302,0.898723,0.898723,0,0.453371,1.62874,0.617231,0.70306
49,1475.87,1,4.12857,4.28549,29.6113,154.034,0.875967,0.875967,0,0.441891,1.5875,0.601602,0.685258
50,1453,1,4.14007,3.71784,28.1836,151.498,0.853787,0.853787,0,0.430702,1.6583,0.586369,0.667907
51,1440.08,1,4.55166,2.39146,30.7005,134.56,0.832169,0.832169,0,0.419797,1.61631,0.571522,0.650995
52,1430.27,1,4.32089,3.45084,28.6635,122.258,0.811098,0.811098,0,0.409167,1.57538,0.557051,0.634512
53,1431.93,1,4.28477,3.13284,26.7339,127.994,0.79056,0.79056,0,0.398807,1.53549,0.542946,0.618446
54,1434.03,1,4.19352,2.31219,28.5441,121.197,0.770543,0.770543,0,0.388709,1.53129,0.540195,0.728253
55,1412.31,1,4.40597,2.85383,28.9437,125.363,0.751032,0.751032,0,0.378866,1.49252,0.526517,0.709813
56,1400.24,1,4.36859,2.16514,28.8257,112.333,0.732016,0.732016,0,0.369273,1.45472,0.513186,0.713203
57,1383.25,1,4.54649,2.0321,29.2268,99.1465,0.713481,0.713481,0,0.359923,1.41789,0.500191,0.703149
58,1371.61,1,4.30029,1.74286,26.979,98.2203,0.695415,0.695415,0,0.35081,1.38199,0.487526,0.781251
59,1360.26,1,4.19022,2.19404,28.7229,104.302,0.677807,0.677807,0,0.341927,1.347,0.475182,0.761469
60,1351.88,1,4.60196,2.52788,28.6943,92.0996,0.660644,0.660644,0,0.333269,1.31289,0.46315,0.742188
61,1339.37,1,4.65831,2.89222,29.9658,98.584,0.643916,0.643916,0,0.324831,1.27965,0.451423,0.736555
62,1328.91,1,4.73123,3.99292,28.6894,97.3744,0.627612,0.627612,0,0.316606,1.24724,0.439992,0.717905
63,1314.34,1,4.78198,3.36846,27.2316,91.4577,0.61172,0.61172,0,0.308589,1.21566,0.428852,0.699727
64,1304.14,1,4.81905,3.60102,27.5443,83.9408,0.596231,0.596231,0,0.300775,1.18488,0.417993,0.68757
65,1289.01,1,4.79541,3.67617,28.2305,89.9914,0.581134,0.581134,0,0.29316,1.15488,0.407409,0.670161
66,1274.62,1,4.69741,4.61157,27.0116,94.1653,0.56642,0.56642,0,0.285737,1.12564,0.397093,0.653192
67,1259.68,1,4.57599,4.55051,26.8694,105.137,0.552078,0.552078,0,0.278502,1.09714,0.387039,0.636653
68,1249.64,1,4.81489,4.06378,28.1039,93.5012,0.538099,0.538099,0,0.27145,1.06936,0.377239,0.620532
69,1252.03,1,4.67431,4.6577,26.9879,107.423,0.524474,0.524474,0,0.264577,1.04228,0.367687,0.60482
70,1247.95,1,4.60222,4.57557,28.3069,122.498,0.511194,0.511194,0,0.257877,1.01589,0.358377,0.601965
71,1230.43,1,4.65237,3.92729,28.2487,127.294,0.49825,0.49825,0,0.251348,1.02236,0.349302,0.586723
72,1214.66,1,4.67723,3.18231,29.3398,111.353,0.485634,0.485634,0,0.244983,0.996477,0.340458,0.571867
73,1216.02,1,4.49184,3.3414,28.8358,110.272,0.473338,0.473338,0,0.23878,0.971245,0.331837,0.557387
74,1200.99,1,4.56943,3.5674,26.9231,108.019,0.461352,0.461352,0,0.254977,0.946653,0.323435,0.543889
75,1191.29,1,4.59728,3.6652,25.5965,113.122,0.449671,0.449671,0,0.248521,0.965873,0.315245,0.540886
76,1174.39,1,4.63929,3.92623,26.7068,108.24,0.438285,0.438285,0,0.242228,0.941417,0.307263,0.52719
77,1175.3,1,4.52092,3.20578,27.1362,105.221,0.427187,0.427187,0,0.240389,0.931769,0.299483,0.513841
78,1155.49,1,4.62257,3.01858,27.8133,101.77,0.416371,0.416371,-0.225082,0.234302,0.908177,0.2919,0.500831
79,1146.14,1,4.61193,3.56407,27.071,115.407,0.405828,0.405828,-0.0094127,0.244014,0.885181,0.284509,0.488149
80,1136.86,1,4.55016,3.39816,26.4853,117.779,0.395552,0.395552,0.191454,0.237835,0.862768,0.277305,0.475789
81,1132.62,1,4.52177,3.95073,25.6662,123.511,0.385536,0.385536,0.130717,0.237164,0.840922,0.270283,0.463742
82,1123.48,1,4.61714,3.38305,26.4486,113.484,0.375774,0.375774,0.0764887,0.231159,0.880789,0.26344,0.452
83,1120.31,1,4.43475,3.19434,25.7777,114.579,0.36626,0.36626,0.06624,0.250334,0.858487,0.256769,0.516349
84,1108.53,1,4.59737,3.73939,25.7593,116.474,0.356986,0.356986,0.139851,0.244063,0.83675,0.250268,0.533178
85,1094.96,1,4.65671,4.25634,26.9208,122.691,0.347947,0.347947,0.275197,0.237883,0.815563,0.243931,0.519678
86,1078.05,1,4.5215,3.73155,26.3758,114.071,0.339136,0.339136,-0.00222886,0.239588,0.794912,0.237754,0.506519
87,1081.5,1,4.48746,3.53619,26.8124,115.081,0.330549,0.330549,-0.0764362,0.233521,0.774785,0.231734,0.572415
88,1070.52,1,4.48858,3.56474,27.3149,116.625,0.32218,0.32218,0.0844416,0.227608,0.755167,0.228124,0.557921
89,1073.54,1,4.42819,4.01169,27.1354,123.261,0.314022,0.314022,0.0526083,0.221845,0.736045,0.242376,0.543794
90,1056.06,1,4.49124,3.7603,26.7454,113.026,0.306071,0.306071,0.178061,0.216228,0.717408,0.236238,0.580661
91,1051.33,1,4.49967,4.11631,26.1901,112.033,0.298321,0.298321,0.440585,0.213868,0.699243,0.230257,0.610991
92,1039.88,1,4.6165,4.15286,26.385,114.559,0.290767,0.290767,0.440642,0.208453,0.681538,0.224427,0.59552
93,1048.73,1,4.51496,4.13003,26.4809,104.493,0.283405,0.283405,0.393189,0.213355,0.664281,0.218744,0.580441
94,1032.39,1,4.58516,4.16049,25.3024,95.8831,0.276229,0.276229,0.141043,0.207953,0.647461,0.213205,0.612312
95,1027.28,1,4.56763,3.85334,25.0867,100.397,0.269234,0.269234,0.169868,0.221396,0.631067,0.207807,0.596808
96,1006.76,1,4.56834,4.49117,25.4482,97.5996,0.262417,0.262417,0.270602,0.21579,0.615088,0.202545,0.581696
97,1013.86,1,4.57227,4.39503,25.4021,99.1876,0.255773,0.255773,0.343299,0.220766,0.599514,0.20242,0.595698
98,1014.68,1,4.54456,4.40338,25.3097,106.124,0.249296,0.249296,0.384607,0.228889,0.620928,0.205726,0.580615
99,1003.71,1,4.65257,4.83356,25.2313,96.6787,0.242984,0.242984,0.331915,0.223094,0.605206,0.200993,0.634706
100,994.405,1,4.6136,4.51371,24.6975,96.9619,0.236832,0.236832,0.38194,0.222277,0.589882,0.2027,0.618635
101,1004.98,1,4.56686,4.53742,24.4599,95.0374,0.230835,0.230835,0.328009,0.216648,0.594734,0.199102,0.650478
102,994.737,1,4.53628,4.40219,25.0714,93.7021,0.2002,0.195365,0.176111,0.225608,0.602587,0.203367,0.667112
103,982.237,1,4.60678,4.53944,25.1791,100.339,0.201122,0.18374,0.288827,0.239379,0.563452,0.202828,0.654627
104,977.01,1,4.57783,4.65761,25.0381,103.82,0.203898,0.181054,0.312571,0.208586,0.538918,0.196525,0.682677
105,968.475,1,4.5828,5.10129,25.1281,103.412,0.212105,0.173102,0.238643,0.196109,0.481023,0.183529,0.652146
106,960.935,1,4.57708,5.36569,24.6909,105.596,0.214301,0.165092,0.254023,0.212624,0.431082,0.181369,0.671704
107,956.098,1,4.53836,5.16348,24.7156,103.147,0.219403,0.15794,0.202167,0.201797,0.397114,0.188011,0.710055
108,961.257,1,4.47651,4.54052,24.7677,103.342,0.230412,0.152334,0.226697,0.209047,0.408625,0.183728,0.754704
109,946.327,1,4.49338,4.64376,24.5542,93.8832,0.242428,0.132791,0.145651,0.186901,0.413312,0.190398,0.841585
110,950.028,1,4.51034,4.36157,24.8825,92.2112,0.252805,0.131646,0.0468791,0.203282,0.358645,0.19271,0.792814
111,937.01,1,4.49219,4.28619,24.4802,92.1979,0.26223,0.120775,0.273138,0.200121,0.323792,0.203673,0.773523
112,926.283,1,4.47332,4.11998,24.4026,86.6818,0.277409,0.105749,0.362492,0.218393,0.309406,0.20699,0.868338
113,916.608,1,4.50795,4.12614,24.6051,79.3938,0.280036,0.0971622,0.392408,0.214768,0.326804,0.226977,0.916129
114,915.391,1,4.45974,4.26086,24.1642,81.5401,0.287321,0.092497,0.455598,0.231779,0.343715,0.228579,0.931702
115,910.284,1,4.47823,4.51851,23.8253,84.1843,0.293815,0.0887232,0.477006,0.224464,0.333215,0.24275,0.900253
116,905.701,1,4.44769,4.59975,23.5742,80.2601,0.289258,0.0876756,0.504216,0.230464,0.330684,0.238366,0.938888
117,903.487,1,4.43732,4.40701,24.0748,85.9013,0.297291,0.084361,0.491773,0.229538,0.307392,0.255155,0.937122
118,896.569,1,4.4695,4.38233,23.7552,82.1026,0.28858,0.0839406,0.471623,0.227681,0.321197,0.252116,0.895564
119,897.663,1,4.47497,4.52303,23.6291,79.9018,0.292739,0.0811327,0.437727,0.22644,0.345886,0.250764,0.981462
120,895.005,1,4.43064,4.546,23.6356,77.9725,0.295929,0.0797832,0.488731,0.231317,0.326541,0.253685,0.982022
121,893.68,1,4.41891,4.7871,22.9332,82.4189,0.295082,0.0798696,0.506233,0.224996,0.335893,0.250299,0.971644
122,888.539,1,4.43709,4.89768,23.0579,80.0828,0.299331,0.0761607,0.525972,0.231021,0.343399,0.250741,0.979445
123,887.229,1,4.4787,4.82444,23.1812,81.675,0.29421,0.0781812,0.492099,0.225923,0.332789,0.257554,0.882386
124,884.356,1,4.54438,4.79142,23.3742,75.5304,0.296276,0.0760804,0.511661,0.224978,0.342986,0.260459,0.89312
125,882.505,1,4.56778,4.72979,23.1156,75.3077,0.303507,0.0723936,0.593543,0.227752,0.364187,0.285363,0.902994
126,878.222,1,4.53235,4.69496,23.2052,78.1364,0.30505,0.0714364,0.558573,0.23271,0.356605,0.252737,0.897839
127,876.17,1,4.50292,4.85286,23.127,79.3878,0.301655,0.0705679,0.602155,0.246135,0.374419,0.258179,0.897304
128,873.443,1,4.49535,4.78876,23.1387,82.5112,0.303963,0.0699654,0.628229,0.244459,0.357915,0.264731,0.86365
129,875.716,1,4.51212,4.78211,23.2292,81.0178,0.294877,0.0733421,0.619969,0.232198,0.359498,0.26413,0.86968
130,883,1,4.47165,4.87247,22.9443,83.2667,0.297679,0.0742975,0.500405,0.232438,0.36367,0.26456,0.864412
131,876.27,1,4.43784,4.85364,23.0997,86.9204,0.301826,0.0712069,0.571074,0.227892,0.364153,0.264636,0.888498
132,880.966,1,4.43592,4.70451,23.0523,85.9522,0.299519,0.0729663,0.498224,0.234174,0.364743,0.259568,0.878622
133,881.486,1,4.39249,4.59367,23.3889,89.6983,0.300747,0.0734973,0.436785,0.243804,0.34765,0.253233,0.824449
134,880.164,1,4.42876,4.62215,23.2334,89.8439,0.30378,0.0719838,0.374473,0.233904,0.363339,0.250805,0.827191
135,884.928,1,4.45816,4.84522,23.4964,87.8806,0.29774,0.0747901,0.352684,0.232455,0.394215,0.239138,0.834472
136,883.533,1,4.4301,4.98665,22.9749,83.4389,0.301907,0.071208,0.403851,0.231625,0.419191,0.261968,0.89049
137,882.256,1,4.43457,4.77694,22.8463,81.71,0.304548,0.0693405,0.40014,0.233399,0.429277,0.270093,0.902321
138,880.809,1,4.45566,4.75163,22.8065,74.0081,0.301856,0.0685575,0.414829,0.229718,0.481852,0.251419,0.964138
139,885.213,1,4.45474,4.79404,22.158,74.5231,0.303701,0.0685895,0.43806,0.232338,0.506005,0.268147,0.963887
140,893.891,1,4.4706,4.78429,22.6419,72.4852,0.303173,0.0708495,0.438371,0.239798,0.487525,0.288443,0.995609
141,882.187,1,4.50391,4.92851,22.671,73.8839,0.304037,0.0671328,0.455528,0.239019,0.449674,0.292752,1.00644
142,884.419,1,4.4106,4.7902,22.5825,73.9476,0.305074,0.0679725,0.441487,0.252638,0.42146,0.286429,1.00087
143,888.205,1,4.44069,4.80218,22.9464,74.364,0.301954,0.0704425,0.460731,0.252891,0.390965,0.295146,1.01699
144,881.261,1,4.47948,4.83774,22.6368,69.7407,0.305611,0.0680841,0.468274,0.251076,0.379027,0.281003,1.01164
145,872.655,1,4.57566,5.16653,22.2331,69.2956,0.305372,0.0651118,0.45029,0.24812,0.402849,0.277958,0.967523
146,873.034,1,4.59762,5.14032,22.3707,66.2577,0.303747,0.0654563,0.462057,0.247097,0.398333,0.28725,0.970681
147,872.755,1,4.56066,5.08186,22.5191,67.5691,0.301971,0.0660127,0.473065,0.243768,0.421428,0.279201,0.936748
148,876.096,1,4.59051,5.09894,22.4461,64.8855,0.307646,0.0645924,0.402847,0.246746,0.44857,0.283739,0.948047
149,875.587,1,4.5659,5.12705,22.0651,64.1294,0.308158,0.0650029,0.445091,0.247651,0.411843,0.285833,0.970338
150,873.983,1,4.56033,5.15969,22.1246,62.2989,0.310267,0.0636708,0.464735,0.254807,0.425024,0.280878,0.976809
151,878.202,1,4.63689,5.01367,22.5395,61.8244,0.305162,0.0667883,0.379962,0.259213,0.394574,0.277881,0.939375
152,876.077,1,4.61271,5.0797,22.4237,59.0132,0.301272,0.0669444,0.391147,0.262994,0.380545,0.272151,0.981313
153,872.098,1,4.63696,5.23038,21.9148,54.6271,0.304367,0.0647591,0.414361,0.258326,0.408964,0.260034,0.999099
154,879.811,1,4.71849,5.00237,21.7215,52.3562,0.30167,0.0669465,0.407688,0.259104,0.434428,0.288339,0.939669
155,883.218,1,4.72091,5.20059,22.0792,53.5036,0.3032,0.0669384,0.363453,0.258361,0.465959,0.292422,0.927091
156,883.535,1,4.74383,5.43166,21.8756,48.784,0.304168,0.0647645,0.354685,0.259937,0.468799,0.330942,1.00061
