pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.50434,0.024282,-3.77645,0.00449028,-2.13394,0.0251205,All
-2.03245,0,-3.68233,0.0179611,-1.67781,0.050241,All
-1.56056,0.0485639,-3.58822,0.0291868,-1.22167,0.226085,All
-1.08868,0.267101,-3.4941,0.0336771,-0.76554,0.552651,All
-0.616789,0.631331,-3.39998,0.0112257,-0.309405,0.50241,All
-0.144903,0.412793,-3.30586,0.00898055,0.146729,0.427049,All
0.326984,0.509921,-3.21174,0.00673541,0.602864,0.301446,All
0.798871,0.218538,-3.11762,0.0112257,1.059,0.150723,All
1.27076,0.12141,-3.0235,0.0246965,1.51513,0.125603,All
1.74264,0.0971278,-2.92938,0.049393,1.97127,0.050241,All
,,-2.83527,0.0965409,,,All
,,-2.74115,0.0516382,,,All
,,-2.64703,0.0830701,,,All
,,-2.55291,0.0179611,,,All
,,-2.45879,0.00224514,,,All
,,-2.36467,0,,,All
,,-2.27055,0,,,All
,,-2.17643,0.0224514,,,All
,,-2.08232,0.049393,,,All
,,-1.9882,0.065109,,,All
,,-1.89408,0.0628639,,,All
,,-1.79996,0.0538833,,,All
,,-1.70584,0.0426576,,,All
,,-1.61172,0.0246965,,,All
,,-1.5176,0.0134708,,,All
,,-1.42348,0.00224514,,,All
,,-1.32937,0.00224514,,,All
,,-1.23525,0.00898055,,,All
,,-1.14113,0.0628639,,,All
,,-1.04701,0.116747,,,All
,,-0.952891,0.269417,,,All
,,-0.858773,0.31881,,,All
,,-0.764654,0.408615,,,All
,,-0.670535,0.381674,,,All
,,-0.576416,0.408615,,,All
,,-0.482298,0.440047,,,All
,,-0.388179,0.48944,,,All
,,-0.29406,0.581491,,,All
,,-0.199942,0.644355,,,All
,,-0.105823,0.588226,,,All
,,-0.0117041,0.635374,,,All
,,0.0824146,0.498421,,,All
,,0.176533,0.482705,,,All
,,0.270652,0.381674,,,All
,,0.364771,0.426576,,,All
,,0.458889,0.354732,,,All
,,0.553008,0.33228,,,All
,,0.647127,0.258191,,,All
,,0.741246,0.262681,,,All
,,0.835364,0.264926,,,All
,,0.929483,0.184101,,,All
,,1.0236,0.136953,,,All
,,1.11772,0.065109,,,All
,,1.21184,0.0673541,,,All
,,1.30596,0.0785798,,,All
,,1.40008,0.0606187,,,All
,,1.4942,0.123483,,,All
,,1.58831,0.123483,,,All
,,1.68243,0.134708,,,All
,,1.77655,0.110012,,,All
,,1.87067,0.0830701,,,All
,,1.96479,0.0538833,,,All
,,2.05891,0.0314319,,,All
,,2.15303,0.00673541,,,All
,,2.24714,0.0134708,,,All
,,2.34126,0.0314319,,,All
,,2.43538,0.0202062,,,All
,,2.5295,0.0336771,,,All
,,2.62362,0.00673541,,,All
,,2.71774,0.00673541,,,All
