parameter,value
Cl_pop,10.5676582780301
beta_Cl_logtCLCRMLMIN,0.662358419778119
beta_Cl_logtWTKG,0.774578619471162
V1_pop,43.7083645043131
Q_pop,18.636700065649
beta_Q_ANTU_2,-0.641363759448671
beta_Q_logtAGEA,1.43009798303893
beta_Q_logtCLCRMLMIN,1.11534898223201
V2_pop,52.2613033549221
beta_V2_logtAGEA,0.113028648637337
omega_Cl,0.178596547586671
omega_V1,0.256831528189383
omega_Q,0.030023859143024
omega_V2,0.164442344048153
corr_V2_V1,0.998859360208646
a1,0.306599468953737
a2,0.0599707068865782
