iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1563.99,1,10.2275,43.2233,11.1604,60.344,1,1,1,1,1,1
2,1545.64,1,5.33074,30.4783,12.7581,57.8024,0.974679,0.974679,1.06126,0.974679,0.974679,0.974679
3,1518.31,1,4.83053,25.1293,13.9058,69.5854,0.95,0.95,1.03439,0.95,0.95,0.95
4,1513.11,1,4.29591,27.6428,14.8583,89.2034,0.925945,0.925945,1.0082,0.97952,0.925945,0.925945
5,1503.39,1,4.97441,30.453,12.9803,82.9649,0.9025,0.9025,1.01628,0.954718,0.9025,0.9025
6,1490.33,1,4.76675,32.2217,10.0602,82.8424,0.879648,0.879648,0.990545,0.930544,0.879648,0.879648
7,1485.86,1,4.34343,35.3715,9.93006,92.8122,0.857375,0.857375,0.991767,0.906982,0.857375,0.857375
8,1467.56,1,4.21678,33.7807,9.15959,80.6931,0.835666,0.835666,0.966654,0.997484,0.835666,0.835666
9,1463.15,1,4.17276,29.2291,7.66468,85.8699,0.814506,0.814506,0.942968,1.13659,0.814506,0.814506
10,1449.53,1,4.1293,29.4077,7.45223,97.2189,0.793882,0.793882,0.934826,1.10782,0.793882,0.793882
11,1429.82,1,4.65342,28.9079,6.37384,80.9192,0.773781,0.773781,0.911155,1.07977,0.773781,0.773781
12,1420.62,1,4.24564,30.6479,5.99568,88.9354,0.754188,0.754188,0.888084,1.05242,0.754188,0.754188
13,1416.41,1,4.10853,27.2404,6.89417,108.097,0.735092,0.735092,0.865598,1.21646,0.735092,0.735092
14,1406.83,1,3.91541,29.7622,6.41277,111.996,0.716479,0.716479,0.84368,1.1944,0.716479,0.716479
15,1395.01,1,4.16345,27.5171,6.53921,112.078,0.698337,0.698337,0.833132,1.16415,0.698337,0.698337
16,1388.63,1,4.24085,30.7144,7.61607,104.428,0.680655,0.680655,0.812037,1.13468,0.680655,0.680655
17,1370.58,1,4.38351,26.5274,6.92859,113.633,0.66342,0.66342,0.826123,1.10595,0.66342,0.66342
18,1365.93,1,4.3214,23.9727,7.91365,87.9483,0.646622,0.646622,0.805205,1.19978,0.646622,0.646622
19,1344.89,1,4.39539,24.5468,7.97551,87.4349,0.630249,0.630249,0.784816,1.1694,0.630249,0.630249
20,1339.06,1,4.56632,26.1937,7.65575,79.1243,0.614291,0.614291,0.764944,1.13979,0.614291,0.614291
21,1330.01,1,4.77926,26.6536,9.13531,73.7597,0.598737,0.598737,0.745576,1.11093,0.598737,0.598737
22,1306.43,1,4.72794,24.4178,7.84237,79.0845,0.583577,0.583577,0.726697,1.0828,0.583577,0.583577
23,1303.13,1,4.88159,22.843,7.89362,64.8306,0.5688,0.5688,0.708297,1.05539,0.5688,0.5688
24,1295,1,4.59997,26.0652,8.10643,89.4236,0.554398,0.554398,0.690362,1.07155,0.554398,0.554398
25,1280.72,1,4.69356,25.5499,7.62266,82.9872,0.54036,0.54036,0.672882,1.04442,0.54036,0.54036
26,1270.24,1,4.66947,25.5354,7.56389,84.4994,0.526678,0.526678,0.655844,1.03181,0.526678,0.526678
27,1264.03,1,4.50379,26.1275,7.2559,98.4128,0.513342,0.513342,0.676498,1.00568,0.513342,0.513342
28,1245.25,1,4.70773,26.9745,6.16841,79.4912,0.500344,0.500344,0.659369,1.03523,0.500344,0.500344
29,1241.99,1,4.87635,25.7088,5.8496,69.938,0.487675,0.487675,0.642673,1.00902,0.487675,0.487675
30,1217.88,1,4.82011,26.7203,5.52638,72.9874,0.475327,0.475327,0.6264,0.983467,0.475327,0.475327
31,1217.06,1,4.78245,24.9359,5.12179,64.5833,0.463291,0.463291,0.610539,0.958565,0.463291,0.463291
32,1196.75,1,4.7519,25.9764,4.97581,63.9824,0.45156,0.45156,0.59508,0.934294,0.45156,0.45156
33,1204.4,1,4.88874,26.1524,4.71042,68.1815,0.440127,0.440127,0.61662,0.910637,0.440127,0.440127
34,1180.88,1,4.71765,27.7024,4.78343,75.7491,0.428982,0.428982,0.61851,0.925857,0.428982,0.428982
35,1175.25,1,4.87124,27.3708,4.9038,73.3662,0.41812,0.41812,0.61011,0.923333,0.41812,0.41812
36,1176.59,1,4.91686,27.2212,5.74953,70.8284,0.407533,0.407533,0.669214,0.899954,0.407533,0.407533
37,1168.04,1,4.78953,26.6246,5.0919,74.5273,0.397214,0.397214,0.68937,1.01481,0.397214,0.397214
38,1162.26,1,4.8035,27.5055,5.37577,70.077,0.387157,0.387157,0.671915,1.13547,0.387157,0.387157
39,1144.49,1,4.72444,26.9937,5.01761,73.3227,0.377354,0.377354,0.654901,1.10672,0.377354,0.377354
40,1141.25,1,4.64249,27.1982,4.52353,72.075,0.367799,0.367799,0.638319,1.0787,0.367799,0.367799
41,1139.14,1,5.06314,27.4403,4.77133,58.5419,0.358486,0.358486,0.768826,1.07469,0.358486,0.358486
42,1126.34,1,4.99005,26.9312,5.00415,57.8378,0.349409,0.349409,0.749359,1.04748,0.349409,0.349409
43,1110.23,1,5.10853,26.8024,4.37411,54.71,0.340562,0.340562,0.730385,1.02096,0.340562,0.340562
44,1108.81,1,5.06201,26.3298,5.07186,56.0394,0.331938,0.331938,0.711891,0.995105,0.331938,0.331938
45,1105.5,1,4.92671,25.2799,4.84643,51.2915,0.323534,0.323534,0.693866,1.00267,0.323534,0.323534
46,1097.63,1,5.05797,26.1064,4.2891,52.1598,0.315341,0.315341,0.727194,0.97728,0.315341,0.315341
47,1089.7,1,4.94695,25.2484,4.2313,52.4058,0.307357,0.307357,0.708781,0.953074,0.307357,0.307357
48,1067.2,1,4.99162,26.1529,4.26263,54.544,0.299574,0.299574,0.690835,0.928941,0.299574,0.299574
49,1053.39,1,4.8867,26.2068,4.66382,62.5272,0.291989,0.291989,0.673342,0.90542,0.291989,0.291989
50,1045.36,1,4.87353,25.901,4.38555,64.6803,0.284596,0.284596,0.656293,0.882494,0.284596,0.284596
51,1040.29,1,4.86799,26.2178,4.30458,62.1003,0.27739,0.27739,0.639675,0.932081,0.27739,0.27739
52,1038.3,1,4.88385,26.7254,4.29115,65.6492,0.270366,0.270366,0.623478,0.927731,0.270366,0.270366
53,1030.55,1,4.76568,25.4997,4.22914,65.68,0.264606,0.26352,0.607692,0.90424,0.26352,0.26352
54,1024.89,1,4.81574,25.7672,4.19763,65.1971,0.257906,0.256848,0.592304,0.922006,0.256848,0.256848
55,1013.79,1,4.8536,25.7705,4.55305,65.2768,0.265216,0.250344,0.577307,0.936161,0.250344,0.250344
56,1019.42,1,4.89806,25.9176,4.278,63.5521,0.273389,0.244005,0.562689,0.912457,0.244005,0.244005
57,1012.37,1,4.94957,25.1538,4.28521,59.6858,0.274346,0.237827,0.548442,0.889353,0.237827,0.237827
58,1003.38,1,4.85401,24.629,3.96903,57.1893,0.267399,0.231805,0.534555,0.866834,0.231805,0.231805
59,996.324,1,4.84394,25.1927,3.82435,56.4785,0.260628,0.225936,0.52102,0.851487,0.225936,0.225936
60,984.573,1,4.90606,25.6077,4.05307,51.8882,0.264536,0.220215,0.507827,0.829927,0.220215,0.220215
61,970.563,1,4.97308,26.0859,4.11947,53.2035,0.272593,0.214639,0.494969,0.808913,0.214639,0.214639
62,967.554,1,5.00314,26.374,4.22517,52.3569,0.2736,0.209204,0.482436,0.78843,0.209204,0.209204
63,959.607,1,5.03664,25.6546,3.91942,49.5306,0.266672,0.203907,0.47022,0.807327,0.203907,0.203907
64,954.298,1,5.09702,27.1371,3.95644,53.458,0.25992,0.198744,0.458314,0.786885,0.198744,0.198744
65,962.206,1,5.07477,26.8907,4.03437,54.3122,0.253338,0.193711,0.446709,0.853893,0.19416,0.193711
66,948.655,1,5.04528,26.1529,4.22968,58.0839,0.246924,0.188807,0.435398,0.841646,0.194927,0.188807
67,948.883,1,5.01175,26.5057,4.22492,61.6162,0.240672,0.184026,0.424374,0.820335,0.192775,0.184026
68,945.398,1,5.03907,26.7555,4.27471,64.3497,0.234578,0.179366,0.413628,0.799564,0.19071,0.179366
69,937.247,1,5.02449,26.0562,4.96965,61.6605,0.230163,0.174825,0.403155,0.794491,0.191169,0.174825
70,943.815,1,4.93211,26.5584,4.73174,64.6415,0.237731,0.170398,0.392947,0.812879,0.193698,0.172151
71,940.727,1,5.04662,26.7174,4.43524,58.6311,0.244444,0.166083,0.382997,0.804419,0.196503,0.167792
72,940.955,1,4.98336,26.7497,4.3311,59.9184,0.26745,0.161878,0.3733,0.784051,0.203022,0.163816
73,934.055,1,4.96752,26.4626,4.26164,60.3783,0.27965,0.157779,0.363847,0.801847,0.20563,0.159668
74,932.926,1,4.97438,26.1286,4.26069,57.3496,0.282328,0.153784,0.354635,0.781543,0.214686,0.155626
75,923.836,1,5.00073,25.6024,4.39939,62.4114,0.275179,0.14989,0.345655,0.761754,0.221458,0.151685
76,918.738,1,4.90849,25.3414,4.2336,60.9484,0.285664,0.146095,0.336903,0.742466,0.232618,0.147844
77,920.751,1,4.85545,25.1194,4.07556,60.0615,0.279315,0.149142,0.328372,0.723667,0.231472,0.144101
78,923.243,1,4.91936,25.5581,4.1201,57.4936,0.272242,0.145365,0.320058,0.723595,0.243397,0.140452
79,913.544,1,4.92651,24.6775,4.1239,57.9703,0.275031,0.143307,0.311954,0.715901,0.250109,0.136896
80,912.596,1,4.87519,24.3893,4.2855,58.6206,0.304976,0.151396,0.304055,0.758315,0.253418,0.133429
81,916.862,1,4.87337,24.3075,4.23386,61.4156,0.306914,0.150712,0.296356,0.739269,0.2523,0.130051
82,916.799,1,4.9432,24.5569,4.00656,57.1466,0.30239,0.1547,0.294778,0.72055,0.255517,0.126758
83,918.707,1,4.89319,24.6938,4.21697,55.8781,0.307509,0.158539,0.287314,0.767367,0.251311,0.123548
84,905.834,1,4.9273,24.94,4.33998,55.2561,0.306641,0.159822,0.280039,0.752105,0.255109,0.12042
85,910.802,1,5.03694,25.4336,4.39173,53.7273,0.298877,0.155775,0.272948,0.733061,0.253399,0.117371
86,903.415,1,4.99218,25.0564,4.17174,51.2592,0.315168,0.151831,0.266037,0.714499,0.248239,0.114461
87,899.283,1,4.98341,24.6615,4.0992,50.4837,0.307188,0.161258,0.259301,0.696408,0.253564,0.111563
88,897.204,1,4.97734,24.7002,3.87894,52.7325,0.29941,0.159277,0.252735,0.70027,0.25927,0.108738
89,898.801,1,4.9481,24.5892,3.96284,52.5986,0.291829,0.155244,0.264542,0.683951,0.272991,0.105985
90,883.76,1,4.91272,24.3064,3.93538,55.3819,0.291512,0.164413,0.257843,0.666633,0.269537,0.103301
91,882.641,1,4.94958,24.127,3.92723,51.8839,0.284513,0.16025,0.251315,0.658186,0.269454,0.100686
92,884.64,1,4.95981,24.0002,3.98406,54.4037,0.289127,0.165286,0.244951,0.64152,0.27909,0.0981361
93,884.467,1,4.85392,24.0197,3.99342,59.667,0.281806,0.185335,0.240678,0.671848,0.279971,0.0956513
94,880.259,1,4.84522,23.7836,3.95438,62.2286,0.274671,0.181182,0.234584,0.667548,0.272882,0.0951566
95,879.635,1,4.86193,23.9135,3.95763,59.9391,0.273559,0.18539,0.245961,0.663291,0.270411,0.0927472
96,877.557,1,4.90306,23.9916,3.99728,58.8209,0.279868,0.180696,0.246053,0.646496,0.281354,0.0903987
97,882.45,1,4.80281,24.0196,3.91586,65.5254,0.277813,0.189765,0.243098,0.661869,0.281054,0.0891444
98,883.467,1,4.851,23.9404,3.99862,62.3979,0.281453,0.198315,0.238755,0.679217,0.280375,0.0889879
99,877.326,1,4.84126,23.8626,4.17647,63.4069,0.284402,0.198748,0.232709,0.700872,0.27877,0.0867346
100,873.676,1,4.87816,23.9978,3.98253,57.1235,0.28482,0.194284,0.226817,0.714183,0.277366,0.0861877
101,873.342,1,4.88623,23.6565,4.05734,57.4719,0.286794,0.189365,0.237817,0.6961,0.283543,0.0844509
