trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
107.672,1.55407,1.49176,55.2323,1.69951,1.56371,-0.318302,1.52289,1.45873,107.672,2.11727,1.83812,55.2323,1.73047,1.72297,-0.318302,2.1129,1.85819,107.672,2.94225,3.01177,55.2323,3.07807,3.00366,-0.318302,2.9756,2.99826,107.672,3.27156,3.19843,55.2323,3.1717,3.20208,-0.318302,3.25025,3.20364,All
108.689,1.56496,1.49587,55.5556,1.65251,1.56724,-0.311136,1.52934,1.46315,108.689,2.04504,1.83592,55.5556,1.7005,1.72472,-0.311136,2.11516,1.85577,108.689,2.95117,3.01205,55.5556,3.02293,3.00451,-0.311136,2.96573,2.99884,108.689,3.26789,3.19829,55.5556,3.1815,3.20168,-0.311136,3.25624,3.2034,All
109.706,1.57669,1.49999,55.8788,1.60552,1.57077,-0.30397,1.53579,1.46757,109.706,1.9509,1.83373,55.8788,1.67053,1.72647,-0.30397,2.11742,1.85335,109.706,2.96661,3.01233,55.8788,2.96778,3.00537,-0.30397,2.95587,2.99941,109.706,3.26077,3.19815,55.8788,3.19129,3.20128,-0.30397,3.26224,3.20315,All
110.723,1.58842,1.5041,56.202,1.55853,1.5743,-0.296804,1.54224,1.47199,110.723,1.85675,1.83154,56.202,1.64057,1.72822,-0.296804,2.11969,1.85094,110.723,2.98206,3.01261,56.202,2.91264,3.00622,-0.296804,2.946,2.99999,110.723,3.25366,3.19802,56.202,3.20109,3.20088,-0.296804,3.26824,3.2029,All
111.74,1.60014,1.50822,56.5253,1.51154,1.57783,-0.289638,1.54869,1.47641,111.74,1.76261,1.82935,56.5253,1.6106,1.72997,-0.289638,2.12195,1.84852,111.74,2.9975,3.01289,56.5253,2.85749,3.00707,-0.289638,2.93614,3.00057,111.74,3.24654,3.19788,56.5253,3.21089,3.20047,-0.289638,3.27424,3.20265,All
112.758,1.61187,1.51234,56.8485,1.46455,1.58136,-0.282472,1.55804,1.48084,112.758,1.66846,1.82715,56.8485,1.58063,1.73172,-0.282472,2.05745,1.8461,112.758,3.01294,3.01317,56.8485,2.80235,3.00793,-0.282472,2.94544,3.00114,112.758,3.23942,3.19775,56.8485,3.22069,3.20007,-0.282472,3.27017,3.20241,All
113.775,1.6236,1.51645,57.1717,1.45906,1.5849,-0.275306,1.56789,1.48526,113.775,1.57431,1.82496,57.1717,1.55637,1.73347,-0.275306,1.98175,1.84369,113.775,3.02839,3.01345,57.1717,2.79603,3.00878,-0.275306,2.95795,3.00172,113.775,3.23231,3.19761,57.1717,3.22723,3.19967,-0.275306,3.26441,3.20216,All
114.792,1.63533,1.52057,57.4949,1.49018,1.58843,-0.268141,1.57774,1.48968,114.792,1.48017,1.82277,57.4949,1.53713,1.73522,-0.268141,1.90604,1.84127,114.792,3.04383,3.01373,57.4949,2.8328,3.00963,-0.268141,2.97047,3.0023,114.792,3.22519,3.19747,57.4949,3.23088,3.19927,-0.268141,3.25865,3.20191,All
115.809,1.64705,1.52468,57.8182,1.5213,1.59196,-0.260975,1.58759,1.4941,115.809,1.38602,1.82057,57.8182,1.5179,1.73697,-0.260975,1.83034,1.83885,115.809,3.05927,3.01401,57.8182,2.86957,3.01049,-0.260975,2.98299,3.00288,115.809,3.21808,3.19734,57.8182,3.23453,3.19887,-0.260975,3.25289,3.20166,All
116.826,1.65878,1.5288,58.1414,1.55243,1.59549,-0.253809,1.59743,1.49852,116.826,1.29188,1.81838,58.1414,1.49866,1.73872,-0.253809,1.75463,1.83644,116.826,3.07472,3.01428,58.1414,2.90634,3.01134,-0.253809,2.9955,3.00345,116.826,3.21096,3.1972,58.1414,3.23819,3.19847,-0.253809,3.24713,3.20142,All
117.843,1.67051,1.53292,58.4646,1.58355,1.59902,-0.246643,1.60728,1.50294,117.843,1.19773,1.81619,58.4646,1.47943,1.74047,-0.246643,1.67892,1.83402,117.843,3.09016,3.01456,58.4646,2.94311,3.01219,-0.246643,3.00802,3.00403,117.843,3.20384,3.19707,58.4646,3.24184,3.19806,-0.246643,3.24138,3.20117,All
