standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.36184,0.108627,-3.11733,0.0153042,-1.74014,0.201651,-2.07533,0.0658914,All
-2.00566,0.152077,-2.61171,0.0918254,-1.3564,0.241981,-1.60558,0.11531,All
-1.64948,0.0434506,-2.1061,0.0612169,-0.972666,0.161321,-1.13583,0.247093,All
-1.29331,0.130352,-1.60048,0.10713,-0.588929,0.161321,-0.666084,0.34593,All
-0.937127,0.0651759,-1.09486,0.229564,-0.205192,0.282311,-0.196336,0.560077,All
-0.580948,0.304154,-0.589243,0.183651,0.178545,0.584788,0.273412,0.428294,All
-0.22477,0.412781,-0.0836256,0.39791,0.562282,0.463797,0.743161,0.247093,All
0.131409,0.499682,0.421992,0.642778,0.946019,0.302477,1.21291,0.148256,All
0.487588,0.477957,0.92761,0.260172,1.32976,0.201651,1.68266,0.0988371,All
0.843767,0.347605,1.43323,0.0918254,1.71349,0.181486,2.15241,0.0329457,All
1.19995,0.260704,1.93885,0.0153042,2.09723,0.0201651,2.62215,0,All
1.55612,0.238978,2.44446,0.0459127,2.48097,0.0201651,3.0919,0.0164729,All
