standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.53993,0.00714286,-3.37014,0.00714286,-1.93201,0.00714286,-2.3102,0.00714286,All
-2.40834,0.0142857,-2.59678,0.0142857,-1.86729,0.0142857,-2.24652,0.0142857,All
-2.37999,0.0214286,-2.58737,0.0214286,-1.86391,0.0214286,-2.00661,0.0214286,All
-2.35612,0.0285714,-2.57964,0.0285714,-1.86205,0.0285714,-1.87705,0.0285714,All
-2.35499,0.0357143,-2.43455,0.0357143,-1.85413,0.0357143,-1.75548,0.0357143,All
-2.17755,0.0428571,-2.40276,0.0428571,-1.82563,0.0428571,-1.71991,0.0428571,All
-2.09861,0.05,-2.39941,0.05,-1.65106,0.05,-1.64775,0.05,All
-2.05657,0.0571429,-2.30066,0.0571429,-1.64346,0.0571429,-1.62183,0.0571429,All
-2.03411,0.0642857,-2.13038,0.0642857,-1.59046,0.0642857,-1.58307,0.0642857,All
-1.98387,0.0714286,-2.00494,0.0714286,-1.56151,0.0714286,-1.57446,0.0714286,All
-1.9469,0.0785714,-1.91063,0.0785714,-1.51774,0.0785714,-1.44824,0.0785714,All
-1.87825,0.0857143,-1.81724,0.0857143,-1.51264,0.0857143,-1.35886,0.0857143,All
-1.73924,0.0928571,-1.78116,0.0928571,-1.50625,0.0928571,-1.34922,0.0928571,All
-1.53667,0.1,-1.72178,0.1,-1.46951,0.1,-1.29649,0.1,All
-1.38663,0.107143,-1.70609,0.107143,-1.46331,0.107143,-1.21056,0.107143,All
-1.37188,0.114286,-1.61466,0.114286,-1.4396,0.114286,-1.17376,0.114286,All
-1.30706,0.121429,-1.49511,0.121429,-1.35199,0.121429,-1.1347,0.121429,All
-1.27127,0.128571,-1.40321,0.128571,-1.26247,0.128571,-1.13389,0.128571,All
-1.20135,0.135714,-1.30411,0.135714,-1.25578,0.135714,-1.1045,0.135714,All
-1.17024,0.142857,-1.2572,0.142857,-1.24694,0.142857,-1.053,0.142857,All
-0.843041,0.15,-1.23655,0.15,-1.19969,0.15,-1.03432,0.15,All
-0.830619,0.157143,-1.20652,0.157143,-1.17056,0.157143,-1.02246,0.157143,All
-0.762006,0.164286,-1.18279,0.164286,-1.14856,0.164286,-0.966549,0.164286,All
-0.740145,0.171429,-1.17237,0.171429,-1.13178,0.171429,-0.963386,0.171429,All
-0.682126,0.178571,-1.14553,0.178571,-1.10166,0.178571,-0.940163,0.178571,All
-0.648015,0.185714,-1.08675,0.185714,-1.03888,0.185714,-0.904203,0.185714,All
-0.627326,0.192857,-1.08559,0.192857,-1.02761,0.192857,-0.889598,0.192857,All
-0.583918,0.2,-0.991348,0.2,-0.974923,0.2,-0.877891,0.2,All
-0.579777,0.207143,-0.984987,0.207143,-0.946789,0.207143,-0.811426,0.207143,All
-0.546718,0.214286,-0.899523,0.214286,-0.834369,0.214286,-0.792885,0.214286,All
-0.536094,0.221429,-0.879075,0.221429,-0.723623,0.221429,-0.714197,0.221429,All
-0.503897,0.228571,-0.86767,0.228571,-0.698272,0.228571,-0.683186,0.228571,All
-0.501685,0.235714,-0.846213,0.235714,-0.543361,0.235714,-0.67256,0.235714,All
-0.490238,0.242857,-0.755122,0.242857,-0.526333,0.242857,-0.646116,0.242857,All
-0.437107,0.25,-0.750805,0.25,-0.472536,0.25,-0.593655,0.25,All
-0.435314,0.257143,-0.748762,0.257143,-0.454168,0.257143,-0.587531,0.257143,All
-0.412623,0.264286,-0.698572,0.264286,-0.416099,0.264286,-0.556693,0.264286,All
