parameter,value,se_lin,rse_lin
Cl_pop,5.15594158789276,0.351100546358151,6.80963002340076
V1_pop,20.7220499587517,1.70982926687574,8.2512554032021
Q_pop,5.75654236325537,1.08549958714953,18.8567983808891
V2_pop,25.9948299102352,4.05201665037703,15.5877790482545
omega_Cl,0.253193646552652,0.0483710432156513,19.1043669042432
omega_V1,0.286476254156847,0.0619112648440507,21.6113077247073
omega_Q,0.636498463709668,0.145078105307922,22.7931587552264
omega_V2,0.328875567111812,0.166279568406684,50.5600248346062
corr_V2_V1,0.997240536781711,0.287872393001459,28.8668964390957
a1,0.304754055949558,0.0223447808474176,7.33207004507137
a2,0.0622359359567332,0.00623511253751166,10.0185085058355
