iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1430.87,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1422.34,1,5.38853,25.4005,7.16375,31.1574,0.974679,0.974679,1.0232,0.974679,0.998761,0.974679,0.974679
3,1414.01,1,5.17394,27.6006,7.18771,34.233,0.95,0.95,1.08402,0.95,0.998761,0.95,0.95
4,1394.73,1,5.14086,27.7147,7.75577,34.2147,0.925945,0.925945,1.10724,0.925945,0.998761,0.925945,0.925945
5,1383.63,1,4.91448,25.3865,7.15822,31.1429,0.9025,0.9025,1.0792,0.9025,0.998761,0.9025,0.9025
6,1373.7,1,4.98605,23.2174,7.6391,28.6987,0.879648,0.879648,1.10598,0.879648,0.998761,0.879648,0.879648
7,1359.5,1,5.03199,24.1796,8.17762,29.911,0.857375,0.857375,1.07798,0.857375,0.998761,0.857375,0.857375
8,1346.6,1,5.20686,22.8181,8.67277,27.9695,0.835666,0.835666,1.05068,0.835666,0.998761,0.835666,0.835666
9,1341.53,1,5.22707,23.7999,9.10404,29.2146,0.814506,0.814506,1.06892,0.814506,0.998761,0.814506,0.814506
10,1325.6,1,5.16586,23.4629,8.9434,28.7038,0.793882,0.793882,1.04186,0.793882,0.998761,0.793882,0.793882
11,1317.01,1,5.39096,22.5887,8.28872,27.5012,0.773781,0.773781,1.12612,0.773781,0.998761,0.773781,0.773781
12,1309.6,1,5.3206,21.6805,7.80659,26.3973,0.754188,0.754188,1.14273,0.754188,0.998761,0.754188,0.754188
13,1301.93,1,5.31645,22.9323,9.26104,28.0105,0.735092,0.735092,1.11379,0.735092,0.998761,0.735092,0.735092
14,1298.09,1,5.3231,22.5449,8.56848,27.7088,0.716479,0.716479,1.10892,0.716479,0.998761,0.716479,0.716479
15,1277.2,1,5.42235,22.8642,10.148,28.0315,0.698337,0.698337,1.08498,0.698337,0.998761,0.698337,0.698337
16,1269.16,1,5.2928,21.0846,11.3589,26.0054,0.680655,0.680655,1.20854,0.680655,0.998761,0.680655,0.680655
17,1253.81,1,5.46794,21.2627,10.582,26.34,0.66342,0.66342,1.17794,0.66342,0.998761,0.66342,0.66342
18,1253.03,1,5.52828,22.7174,9.9106,28.0696,0.646622,0.646622,1.14811,0.646622,0.998761,0.646622,0.646622
19,1231.16,1,5.3692,21.3035,9.98053,26.1615,0.630249,0.630249,1.11904,0.630249,0.998761,0.630249,0.630249
20,1223.07,1,5.47974,21.0799,9.18571,25.9821,0.614291,0.614291,1.09071,0.614291,0.998761,0.614291,0.614291
21,1218.92,1,5.34606,20.5137,12.1748,25.5325,0.598737,0.598737,1.06369,0.598737,0.998761,0.598737,0.598737
22,1203.99,1,5.41132,20.9915,10.7494,26.2358,0.583577,0.583577,1.03675,0.583577,0.998761,0.583577,0.583577
23,1190.25,1,5.50462,20.8832,8.79925,26.2138,0.5688,0.5688,1.0105,0.5688,0.998761,0.5688,0.5688
24,1172.73,1,5.47263,20.1674,8.44628,25.2172,0.554398,0.554398,0.984914,0.554398,0.998761,0.554398,0.554398
25,1172.35,1,5.57717,19.5837,8.75352,24.4382,0.54036,0.54036,0.969684,0.54036,0.998761,0.54036,0.54036
26,1156.8,1,5.52444,19.7661,8.17587,24.6959,0.526678,0.526678,1.05548,0.526678,0.998761,0.526678,0.526678
27,1149.23,1,5.48798,19.4891,9.42445,24.2501,0.513342,0.513342,1.06938,0.513342,0.998761,0.513342,0.513342
28,1128.53,1,5.42071,19.6311,10.4029,24.2178,0.500344,0.500344,1.0423,0.500344,0.998761,0.500344,0.500344
29,1124.54,1,5.49299,19.3039,10.0911,23.7791,0.487675,0.487675,1.01591,0.487675,0.998761,0.487675,0.487675
30,1106.35,1,5.41197,18.788,8.81111,23.1691,0.475327,0.475327,0.990183,0.475327,0.998761,0.475327,0.475327
