rep,id,eta_Cl,eta_V1,eta_Q2,eta_V2,eta_Q3,eta_V3
1,1,-0.718878418371486,-0.478451801649309,0.0944492719664753,1.73764537419494e-8,-4.54612991467166e-9,-3.78187444559213e-8
2,1,-0.696904081024247,-0.3484206537365,0.224170481241685,-1.19343963486758e-9,-8.65344150716511e-9,-3.54477548577402e-9
3,1,-0.704364200321443,-0.369780792246525,0.370927554133264,-1.22269610497585e-8,6.59009497637607e-8,-2.22415574651312e-8
4,1,-0.689815397276706,-0.445019421142524,0.532035453611367,1.87849174228004e-9,-5.85817515767535e-8,-6.52811379435664e-9
5,1,-0.671015654138445,-0.269332623952874,-0.126929094885029,-1.52689538186687e-8,9.00187954302384e-9,-1.42127914113326e-8
6,1,-0.731928575247315,-0.337996833935494,0.0533951421806738,5.10980260897123e-8,1.90027319056284e-8,-3.01108266761542e-8
7,1,-0.688106761016353,-0.306238352772756,0.0946542488479595,1.53474938806196e-8,2.45997336248584e-8,-4.31801898583187e-9
8,1,-0.761725870528219,-0.384123708360982,0.425381579289253,-1.431788635542e-8,-3.47837075404728e-8,-5.81686608694413e-9
9,1,-0.7225492000573,-0.33270147204213,0.216418994610947,8.08772046471505e-9,2.32476546548657e-8,-8.5758258866317e-8
10,1,-0.691499888097654,-0.484486506500044,0.409372096258588,1.20456275201273e-8,3.19395974759006e-8,5.20868628439562e-8
1,2,0.21249262584234,0.244953910973986,-0.364954402256295,-2.21464975595266e-8,-4.66157610686569e-8,-7.49786445869638e-9
2,2,0.289953008631146,0.126770446067361,0.638384865574832,1.94487175579275e-8,1.26429542574309e-9,1.05394031140664e-8
3,2,0.236298886283372,0.00753852892909058,-0.295762382245741,-2.74024694256569e-8,3.81083739959197e-8,-2.22019252572855e-8
4,2,0.161258657476394,0.155205006808857,-0.53270079364884,-4.26838602315354e-8,-2.11196416461952e-8,-2.81522597168675e-8
5,2,0.192292143287811,-0.0885841431403784,0.886626354775364,3.47330804127397e-8,8.10729848096714e-8,8.59617516247617e-9
6,2,0.322382178471963,0.0855332780782381,-0.854349820979001,7.16819189752065e-9,1.84637145740982e-8,-1.08833319121611e-8
7,2,0.205651397768279,0.238923335708294,-0.34000923760198,7.91067096752067e-9,-1.48973029330388e-8,-3.54665903096981e-8
8,2,0.284282808312152,0.175317646791468,-0.912330426624657,-7.14199226772727e-8,2.34368703598157e-8,-4.59645447743912e-8
9,2,0.32274913959069,0.0477964376820938,-0.634480322240081,1.64169331262608e-8,-1.11388774633945e-8,3.81210398489449e-8
10,2,0.199842626962712,0.133941497549968,0.0994229771594773,1.79657884659746e-8,2.92152286897413e-8,-7.46322990891822e-8
1,3,0.17027736409237,-0.171314711995904,0.918423426802011,2.12247265442418e-8,-8.44947804711897e-9,-5.22910028770503e-8
2,3,0.226244732367138,-0.108079787270375,1.22000053341776,1.88313173033572e-8,6.09040576226988e-8,-5.11729306363023e-8
3,3,0.167855149402982,0.210505589469686,0.190820765360599,2.72621598567326e-8,3.66280828626408e-8,-5.15481775212024e-8
4,3,0.182913248864149,-0.146068295340493,0.693439209212198,9.70290856065644e-9,-3.90484065948338e-8,-1.8948854335547e-8
5,3,0.16253098501348,0.0706196411580645,-0.280824528528011,-5.90852837521877e-9,-1.43246504834067e-8,-1.35950874612957e-8
6,3,0.233400207394525,-0.213981194113296,0.876648506346833,1.57067284286625e-8,1.55050628934301e-9,-4.09099962823373e-10
7,3,0.218641315354394,-0.0784553708705089,0.557606012451372,1.51782599187411e-8,1.96247059774377e-8,2.6393740484743e-8
8,3,0.159528232914963,0.127764543331102,-0.121244848379229,1.33111427567684e-8,-5.0383852907606e-8,9.37833020069207e-9
9,3,0.160491667001784,0.000297204760190753,0.887763595377595,1.07932731665782e-8,6.91217448694347e-9,6.00000651330054e-8
10,3,0.248590259491643,-0.174194222841287,0.729280925224397,-2.3822596975513e-8,4.65782208196055e-9,-1.12488362440118e-7
1,4,-0.0676366351998991,-0.049493723120857,-0.747457249534599,-2.50698185007378e-8,-3.82008248625384e-8,-4.74576775912005e-8
2,4,-0.0287481411360271,-0.0681082234931589,0.163035194500478,-1.09120706244151e-8,5.55507597448312e-8,-1.42948852823196e-8
3,4,0.0168595543047292,-0.139462562903785,-1.40821570935144,3.06552578951428e-9,-8.63736095249268e-8,-5.84801800571644e-10
4,4,0.0823978714844878,-0.0199247073512837,-0.472712637512017,-1.11724050416855e-8,-9.22175187807975e-9,7.73779428286445e-8
5,4,0.00612959154694599,-0.0826373860930147,0.240931563553116,2.69362220202659e-8,-3.51427152336471e-8,-1.64396459663114e-8
6,4,-0.0761789483229205,0.115558323005583,-1.02521757628883,1.26994272826305e-8,-1.75088267376249e-8,-2.55899326097976e-8
7,4,-9.70857426974142e-5,-0.117811185921615,-0.580832460296921,-2.79498050290655e-8,1.8717518452302e-9,-1.71269865329103e-8
8,4,-0.0340864716873596,-0.0811470614471435,-0.439711893262609,1.88802350034985e-8,3.16317332518064e-8,5.55949161836807e-8
9,4,0.0489264518003633,-0.0432772433453176,-0.163824391941129,3.70967294008803e-8,1.1416164927906e-8,6.77643638937468e-9
10,4,0.00729268587237771,-0.157061760436481,-0.465251789187811,5.50238517259998e-9,-3.30732622476212e-9,-1.92388178400967e-8
1,5,-0.105865857049562,0.143859917188118,-0.143925165917056,-2.40204196650363e-9,4.1819094199034e-8,4.39258157651223e-8
2,5,-0.152923632116261,-0.081694247301148,0.643610590286742,2.9235038608463e-8,-3.44223489279064e-11,1.29802128247136e-8
3,5,-0.0666180606280112,-0.424971508904417,1.1642512261852,-3.21552043229148e-8,2.88418999652836e-9,3.15205608310113e-8
