rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
1,1,-0.700871,-0.249616,0.670376,3.93778e-08,3.69005e-08,-6.26597e-08,All,#4682B4,0
2,1,-0.660241,-0.355235,0.737958,-4.61186e-09,4.7374e-08,8.12316e-08,All,#4682B4,0
3,1,-0.715634,-0.419809,0.323466,1.9057e-08,1.42275e-08,-6.37631e-08,All,#4682B4,0
4,1,-0.716331,-0.164936,0.529242,-5.77392e-08,-5.82726e-08,2.90666e-09,All,#4682B4,0
5,1,-0.675804,-0.273297,0.407829,1.12146e-08,-5.78761e-08,-6.02425e-08,All,#4682B4,0
6,1,-0.770634,-0.182252,0.109448,3.90122e-08,2.67406e-08,5.90591e-08,All,#4682B4,0
7,1,-0.752279,-0.291401,0.782073,-4.87269e-08,9.85896e-09,1.39485e-09,All,#4682B4,0
8,1,-0.668178,-0.398746,0.434212,-4.69524e-09,-6.66493e-08,-4.99349e-08,All,#4682B4,0
9,1,-0.738867,-0.28196,0.330723,3.77436e-08,6.79792e-08,1.02724e-07,All,#4682B4,0
10,1,-0.696871,-0.315373,0.237575,-7.47378e-08,5.30883e-08,8.47495e-09,All,#4682B4,0
1,2,0.217422,0.103556,-0.373397,-4.09881e-08,-5.47188e-08,5.73106e-08,All,#4682B4,0
2,2,0.225701,0.0168782,0.134252,3.39201e-08,7.70951e-08,-1.09912e-07,All,#4682B4,0
3,2,0.259827,0.140843,-0.0274056,-3.11961e-08,-3.07139e-08,-1.02026e-08,All,#4682B4,0
4,2,0.27818,-0.0169785,0.353133,-5.74938e-08,-3.29346e-08,-9.77348e-09,All,#4682B4,0
5,2,0.266219,0.171579,0.196089,-1.38792e-08,-1.01259e-07,8.62457e-08,All,#4682B4,0
6,2,0.23417,0.210269,-0.153657,3.41707e-08,5.23563e-08,-7.53111e-08,All,#4682B4,0
7,2,0.264156,0.136857,-0.20436,8.67002e-09,8.98899e-08,-2.01062e-07,All,#4682B4,0
8,2,0.273768,0.0542643,0.0211949,-1.60331e-08,-2.7636e-08,-7.39524e-08,All,#4682B4,0
9,2,0.236729,0.127047,0.0551184,-1.13929e-07,-3.01047e-09,4.19806e-08,All,#4682B4,0
10,2,0.240629,0.133928,-0.297601,-2.07675e-08,-8.35683e-08,-1.93331e-08,All,#4682B4,0
1,3,0.184577,-0.0250099,0.419941,1.44371e-09,-2.3258e-08,3.44105e-08,All,#4682B4,0
2,3,0.240727,0.202289,0.267384,3.27942e-08,1.92774e-08,-1.23794e-07,All,#4682B4,0
3,3,0.164748,-0.0527903,-0.0263076,2.66583e-08,-7.05284e-09,4.12409e-08,All,#4682B4,0
4,3,0.168935,-0.0690015,0.473035,3.44448e-08,-9.58599e-08,-3.59931e-08,All,#4682B4,0
5,3,0.207094,0.0825535,0.0987857,-4.81841e-09,2.59755e-08,-1.88412e-08,All,#4682B4,0
6,3,0.16777,0.151362,-0.111419,1.42156e-08,-3.46308e-08,-7.33224e-08,All,#4682B4,0
7,3,0.196071,0.144984,0.277173,-7.88474e-09,-1.46234e-08,-6.13819e-08,All,#4682B4,0
8,3,0.217154,0.305749,0.0208554,-1.41079e-09,1.89841e-08,5.23203e-08,All,#4682B4,0
9,3,0.224163,0.260458,0.0367955,3.64531e-08,5.24391e-08,8.97806e-08,All,#4682B4,0
10,3,0.231912,0.0963077,0.535197,5.43014e-08,3.05902e-08,4.63539e-08,All,#4682B4,0
1,4,-0.00945592,-0.0697343,-0.494797,8.104e-08,-1.1298e-08,3.61712e-08,All,#4682B4,0
2,4,-0.0637324,-0.0702949,-0.678734,3.38673e-08,-2.61198e-08,3.01918e-08,All,#4682B4,0
3,4,0.00389578,-0.0721799,-0.450171,5.41579e-08,2.85762e-08,1.48799e-07,All,#4682B4,0
4,4,-0.0440319,-0.00169784,-0.798974,-6.45712e-09,-2.407e-08,8.71431e-08,All,#4682B4,0
5,4,-0.0234889,0.0330991,-0.951697,-1.63381e-08,-1.56703e-08,-6.54192e-08,All,#4682B4,0
6,4,-0.0375784,-0.199132,-0.213744,5.5726e-08,4.01693e-08,1.27059e-07,All,#4682B4,0
7,4,0.0545481,-0.0559916,-0.253023,-3.35065e-08,-1.11169e-07,-4.13772e-08,All,#4682B4,0
8,4,-0.0336927,-0.111629,-0.400433,1.36508e-08,4.04154e-08,-4.16931e-08,All,#4682B4,0
9,4,0.00362979,0.0308766,-0.604895,2.14315e-08,5.57893e-08,5.02012e-08,All,#4682B4,0
10,4,0.00384279,-0.00695834,-0.608119,-5.49015e-08,-9.29104e-08,-1.31886e-07,All,#4682B4,0
1,5,-0.122132,-0.0208934,0.405471,8.86995e-08,-6.75837e-08,-4.69052e-08,All,#4682B4,0
2,5,-0.0975829,-0.0341052,0.792006,-8.00931e-09,-7.5026e-08,7.77846e-08,All,#4682B4,0
3,5,-0.0918205,0.00112075,0.47325,-1.82535e-08,1.47895e-08,5.22465e-08,All,#4682B4,0
4,5,-0.0972944,0.105613,0.604271,7.03073e-08,5.09369e-09,-6.88957e-08,All,#4682B4,0
5,5,-0.15975,0.115512,0.0691081,-4.39674e-09,2.25894e-08,-3.7828e-08,All,#4682B4,0
6,5,-0.0832634,0.446436,-0.308344,-1.16829e-08,1.05979e-07,3.34735e-08,All,#4682B4,0
7,5,-0.158277,-0.0639174,0.394631,4.57781e-09,3.12114e-08,-8.19702e-08,All,#4682B4,0
8,5,-0.113894,0.0828871,1.09751,1.66358e-08,-1.55411e-07,5.74383e-08,All,#4682B4,0
9,5,-0.0953751,0.0594462,0.637667,-2.0558e-08,7.29862e-08,5.84355e-08,All,#4682B4,0
10,5,-0.157,0.0395201,-0.163648,-2.60338e-09,1.68535e-08,5.78955e-08,All,#4682B4,0
1,6,0.108456,0.551447,0.512956,4.8107e-08,2.79919e-09,6.58709e-09,All,#4682B4,0
2,6,0.128953,0.410168,1.05952,4.39546e-08,-2.81437e-08,-8.25879e-09,All,#4682B4,0
3,6,0.167043,0.428939,1.19479,-3.20241e-08,3.46766e-08,8.91624e-08,All,#4682B4,0
4,6,0.153776,0.229434,1.32437,1.26124e-08,-4.50667e-09,-3.74658e-08,All,#4682B4,0
5,6,0.141158,0.0583735,1.79254,4.55152e-08,-9.38179e-09,-4.13689e-08,All,#4682B4,0
6,6,0.151778,-0.100265,2.17002,-3.75736e-08,7.90005e-09,1.44513e-07,All,#4682B4,0
