Cl_vs_Q2_abscissa,Cl_vs_Q2_spline,Cl_vs_Q2_regression,Cl_vs_Q3_abscissa,Cl_vs_Q3_spline,Cl_vs_Q3_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_V3_abscissa,Cl_vs_V3_spline,Cl_vs_V3_regression,Q2_vs_Cl_abscissa,Q2_vs_Cl_spline,Q2_vs_Cl_regression,Q2_vs_Q3_abscissa,Q2_vs_Q3_spline,Q2_vs_Q3_regression,Q2_vs_V1_abscissa,Q2_vs_V1_spline,Q2_vs_V1_regression,Q2_vs_V2_abscissa,Q2_vs_V2_spline,Q2_vs_V2_regression,Q2_vs_V3_abscissa,Q2_vs_V3_spline,Q2_vs_V3_regression,Q3_vs_Cl_abscissa,Q3_vs_Cl_spline,Q3_vs_Cl_regression,Q3_vs_Q2_abscissa,Q3_vs_Q2_spline,Q3_vs_Q2_regression,Q3_vs_V1_abscissa,Q3_vs_V1_spline,Q3_vs_V1_regression,Q3_vs_V2_abscissa,Q3_vs_V2_spline,Q3_vs_V2_regression,Q3_vs_V3_abscissa,Q3_vs_V3_spline,Q3_vs_V3_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q2_abscissa,V1_vs_Q2_spline,V1_vs_Q2_regression,V1_vs_Q3_abscissa,V1_vs_Q3_spline,V1_vs_Q3_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_V3_abscissa,V1_vs_V3_spline,V1_vs_V3_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q2_abscissa,V2_vs_Q2_spline,V2_vs_Q2_regression,V2_vs_Q3_abscissa,V2_vs_Q3_spline,V2_vs_Q3_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_V3_abscissa,V2_vs_V3_spline,V2_vs_V3_regression,V3_vs_Cl_abscissa,V3_vs_Cl_spline,V3_vs_Cl_regression,V3_vs_Q2_abscissa,V3_vs_Q2_spline,V3_vs_Q2_regression,V3_vs_Q3_abscissa,V3_vs_Q3_spline,V3_vs_Q3_regression,V3_vs_V1_abscissa,V3_vs_V1_spline,V3_vs_V1_regression,V3_vs_V2_abscissa,V3_vs_V2_spline,V3_vs_V2_regression
-4.30259,0.0842044,-0.0422518,-8.73594e-08,0.0362351,0.0362351,-0.484487,-0.549166,-0.372545,-7.14199e-08,0.0904715,0.0904715,-1.12488e-07,0.0406826,0.0406826,-0.761726,0.136302,-0.13954,-8.73594e-08,0.180938,0.180938,-0.484487,0.566523,0.903676,-7.14199e-08,-0.174866,-0.174866,-1.12488e-07,0.162215,0.162215,-0.761726,-6.49047e-09,3.8958e-09,-4.30259,1.88819e-08,7.23986e-09,-0.484487,2.6326e-09,-3.114e-11,-7.14199e-08,-1.03899e-08,-1.03899e-08,-1.12488e-07,-8.02155e-09,-8.02155e-09,-0.761726,-0.361842,-0.338942,-4.30259,0.242119,0.250998,-8.73594e-08,0.00480082,0.00480082,-7.14199e-08,0.00513502,0.00513502,-1.12488e-07,-0.0210378,-0.0210378,-0.761726,1.04911e-08,8.49455e-09,-4.30259,-1.63251e-08,-1.4876e-09,-8.73594e-08,-1.78467e-09,-1.78467e-09,-0.484487,7.02647e-09,2.96471e-09,-1.12488e-07,-3.51532e-09,-3.51532e-09,-0.761726,-2.84181e-08,7.09043e-09,-4.30259,2.97008e-08,8.86573e-09,-8.73594e-08,-5.51618e-09,-5.51618e-09,-0.484487,9.18138e-09,-1.90489e-09,-7.14199e-08,-1.16858e-08,-1.16858e-08
-4.23528,0.0844587,-0.041684,-8.55449e-08,0.035328,0.035328,-0.47411,-0.525175,-0.364532,-7.00656e-08,0.088684,0.088684,-1.10162e-07,0.0397136,0.0397136,-0.750772,0.132763,-0.13787,-8.55449e-08,0.176544,0.176544,-0.47411,0.597819,0.883377,-7.00656e-08,-0.172083,-0.172083,-1.10162e-07,0.158354,0.158354,-0.750772,-3.53295e-09,3.80224e-09,-4.23528,1.8597e-08,7.08573e-09,-0.47411,4.47298e-11,-8.63991e-11,-7.00656e-08,-1.0245e-08,-1.0245e-08,-1.10162e-07,-7.9085e-09,-7.9085e-09,-0.750772,-0.361017,-0.334175,-4.23528,0.240393,0.24689,-8.55449e-08,0.00448211,0.00448211,-7.00656e-08,0.00485328,0.00485328,-1.10162e-07,-0.0208114,-0.0208114,-0.750772,9.64578e-09,8.3973e-09,-4.23528,-1.53808e-08,-1.43608e-09,-8.55449e-08,-1.70825e-09,-1.70825e-09,-0.47411,5.14831e-09,2.93895e-09,-1.10162e-07,-3.40563e-09,-3.40563e-09,-0.750772,-2.32547e-08,6.98696e-09,-4.23528,2.77717e-08,8.72552e-09,-8.55449e-08,-5.39915e-09,-5.39915e-09,-0.47411,6.25659e-09,-1.86425e-09,-7.00656e-08,-1.14705e-08,-1.14705e-08
-4.16798,0.0847131,-0.0411161,-8.37304e-08,0.034421,0.034421,-0.463734,-0.503436,-0.356518,-6.87113e-08,0.0868964,0.0868964,-1.07836e-07,0.0387445,0.0387445,-0.739817,0.129225,-0.136201,-8.37304e-08,0.172151,0.172151,-0.463734,0.62171,0.863078,-6.87113e-08,-0.169299,-0.169299,-1.07836e-07,0.154494,0.154494,-0.739817,-5.75433e-10,3.70868e-09,-4.16798,1.8312e-08,6.93161e-09,-0.463734,-1.89483e-09,-1.41658e-10,-6.87113e-08,-1.01001e-08,-1.01001e-08,-1.07836e-07,-7.79546e-09,-7.79546e-09,-0.739817,-0.360191,-0.329407,-4.16798,0.238667,0.242783,-8.37304e-08,0.0041634,0.0041634,-6.87113e-08,0.00457155,0.00457155,-1.07836e-07,-0.020585,-0.020585,-0.739817,8.80048e-09,8.30005e-09,-4.16798,-1.44365e-08,-1.38457e-09,-8.37304e-08,-1.63183e-09,-1.63183e-09,-0.463734,3.65441e-09,2.91318e-09,-1.07836e-07,-3.29593e-09,-3.29593e-09,-0.739817,-1.80914e-08,6.88348e-09,-4.16798,2.58427e-08,8.58531e-09,-8.37304e-08,-5.28213e-09,-5.28213e-09,-0.463734,3.81197e-09,-1.82362e-09,-6.87113e-08,-1.12552e-08,-1.12552e-08
-4.10068,0.0849674,-0.0405483,-8.19159e-08,0.0335139,0.0335139,-0.453358,-0.481698,-0.348504,-6.73571e-08,0.0851089,0.0851089,-1.05509e-07,0.0377755,0.0377755,-0.728863,0.123229,-0.134531,-8.19159e-08,0.167758,0.167758,-0.453358,0.645602,0.842779,-6.73571e-08,-0.166515,-0.166515,-1.05509e-07,0.150633,0.150633,-0.728863,2.21589e-09,3.61511e-09,-4.10068,1.80271e-08,6.77748e-09,-0.453358,-3.83438e-09,-1.96917e-10,-6.73571e-08,-9.95519e-09,-9.95519e-09,-1.05509e-07,-7.68241e-09,-7.68241e-09,-0.728863,-0.359024,-0.324639,-4.10068,0.23694,0.238676,-8.19159e-08,0.00384469,0.00384469,-6.73571e-08,0.00428981,0.00428981,-1.05509e-07,-0.0203586,-0.0203586,-0.728863,8.00031e-09,8.2028e-09,-4.10068,-1.34922e-08,-1.33306e-09,-8.19159e-08,-1.55541e-09,-1.55541e-09,-0.453358,2.16051e-09,2.88742e-09,-1.05509e-07,-3.18623e-09,-3.18623e-09,-0.728863,-1.31106e-08,6.78e-09,-4.10068,2.39136e-08,8.4451e-09,-8.19159e-08,-5.1651e-09,-5.1651e-09,-0.453358,1.36735e-09,-1.78298e-09,-6.73571e-08,-1.10399e-08,-1.10399e-08
-4.03338,0.0852218,-0.0399804,-8.01014e-08,0.0326069,0.0326069,-0.442982,-0.460846,-0.34049,-6.60028e-08,0.0833213,0.0833213,-1.03183e-07,0.0368065,0.0368065,-0.717909,0.109497,-0.132862,-8.01014e-08,0.163365,0.163365,-0.442982,0.666464,0.822481,-6.60028e-08,-0.163731,-0.163731,-1.03183e-07,0.146773,0.146773,-0.717909,4.47881e-09,3.52155e-09,-4.03338,1.77421e-08,6.62335e-09,-0.442982,-5.52345e-09,-2.52177e-10,-6.60028e-08,-9.8103e-09,-9.8103e-09,-1.03183e-07,-7.56937e-09,-7.56937e-09,-0.717909,-0.356774,-0.319872,-4.03338,0.235214,0.234568,-8.01014e-08,0.00352598,0.00352598,-6.60028e-08,0.00400808,0.00400808,-1.03183e-07,-0.0201322,-0.0201322,-0.717909,7.34365e-09,8.10555e-09,-4.03338,-1.25479e-08,-1.28155e-09,-8.01014e-08,-1.47899e-09,-1.47899e-09,-0.442982,8.16579e-10,2.86166e-09,-1.03183e-07,-3.07654e-09,-3.07654e-09,-0.717909,-8.71269e-09,6.67652e-09,-4.03338,2.19846e-08,8.30489e-09,-8.01014e-08,-5.04807e-09,-5.04807e-09,-0.442982,-8.85142e-10,-1.74234e-09,-6.60028e-08,-1.08246e-08,-1.08246e-08
-3.96607,0.0854761,-0.0394126,-7.82868e-08,0.0316999,0.0316999,-0.432606,-0.443627,-0.332476,-6.46485e-08,0.0815338,0.0815338,-1.00857e-07,0.0358374,0.0358374,-0.706954,0.0911419,-0.131192,-7.82868e-08,0.158972,0.158972,-0.432606,0.674929,0.802182,-6.46485e-08,-0.160947,-0.160947,-1.00857e-07,0.142912,0.142912,-0.706954,6.40826e-09,3.42799e-09,-3.96607,1.74572e-08,6.46922e-09,-0.432606,-6.18733e-09,-3.07436e-10,-6.46485e-08,-9.6654e-09,-9.6654e-09,-1.00857e-07,-7.45632e-09,-7.45632e-09,-0.706954,-0.353845,-0.315104,-3.96607,0.233487,0.230461,-7.82868e-08,0.00320727,0.00320727,-6.46485e-08,0.00372634,0.00372634,-1.00857e-07,-0.0199058,-0.0199058,-0.706954,6.77768e-09,8.0083e-09,-3.96607,-1.16036e-08,-1.23004e-09,-7.82868e-08,-1.40257e-09,-1.40257e-09,-0.432606,8.64905e-11,2.83589e-09,-1.00857e-07,-2.96684e-09,-2.96684e-09,-0.706954,-4.69278e-09,6.57305e-09,-3.96607,2.00555e-08,8.16468e-09,-7.82868e-08,-4.93105e-09,-4.93105e-09,-0.432606,-2.35131e-09,-1.7017e-09,-6.46485e-08,-1.06092e-08,-1.06092e-08
-3.89877,0.0857304,-0.0388447,-7.64723e-08,0.0307928,0.0307928,-0.42223,-0.427419,-0.324462,-6.32942e-08,0.0797462,0.0797462,-9.85305e-08,0.0348684,0.0348684,-0.696,0.0696995,-0.129522,-7.64723e-08,0.154578,0.154578,-0.42223,0.679623,0.781883,-6.32942e-08,-0.158163,-0.158163,-9.85305e-08,0.139052,0.139052,-0.696,8.10452e-09,3.33443e-09,-3.89877,1.71723e-08,6.31509e-09,-0.42223,-6.57939e-09,-3.62695e-10,-6.32942e-08,-9.52051e-09,-9.52051e-09,-9.85305e-08,-7.34328e-09,-7.34328e-09,-0.696,-0.350444,-0.310336,-3.89877,0.231761,0.226354,-7.64723e-08,0.00288855,0.00288855,-6.32942e-08,0.00344461,0.00344461,-9.85305e-08,-0.0196794,-0.0196794,-0.696,6.27519e-09,7.91105e-09,-3.89877,-1.06593e-08,-1.17853e-09,-7.64723e-08,-1.32615e-09,-1.32615e-09,-0.42223,-4.7647e-10,2.81013e-09,-9.85305e-08,-2.85714e-09,-2.85714e-09,-0.696,-9.42755e-10,6.46957e-09,-3.89877,1.81264e-08,8.02447e-09,-7.64723e-08,-4.81402e-09,-4.81402e-09,-0.42223,-3.59e-09,-1.66106e-09,-6.32942e-08,-1.03939e-08,-1.03939e-08
-3.83147,0.0859848,-0.0382769,-7.46578e-08,0.0298858,0.0298858,-0.411854,-0.41403,-0.316448,-6.19399e-08,0.0779586,0.0779586,-9.62042e-08,0.0338994,0.0338994,-0.685046,0.0438978,-0.127853,-7.46578e-08,0.150185,0.150185,-0.411854,0.673816,0.761584,-6.19399e-08,-0.155379,-0.155379,-9.62042e-08,0.135191,0.135191,-0.685046,9.45528e-09,3.24087e-09,-3.83147,1.68873e-08,6.16096e-09,-0.411854,-6.21453e-09,-4.17954e-10,-6.19399e-08,-9.37561e-09,-9.37561e-09,-9.62042e-08,-7.23024e-09,-7.23024e-09,-0.685046,-0.346348,-0.305569,-3.83147,0.230035,0.222246,-7.46578e-08,0.00256984,0.00256984,-6.19399e-08,0.00316287,0.00316287,-9.62042e-08,-0.0194529,-0.0194529,-0.685046,5.86684e-09,7.8138e-09,-3.83147,-9.71499e-09,-1.12702e-09,-7.46578e-08,-1.24973e-09,-1.24973e-09,-0.411854,-5.74058e-10,2.78437e-09,-9.62042e-08,-2.74745e-09,-2.74745e-09,-0.685046,2.39908e-09,6.36609e-09,-3.83147,1.61974e-08,7.88426e-09,-7.46578e-08,-4.697e-09,-4.697e-09,-0.411854,-4.19526e-09,-1.62042e-09,-6.19399e-08,-1.01786e-08,-1.01786e-08
-3.76417,0.0862391,-0.037709,-7.28433e-08,0.0289788,0.0289788,-0.401478,-0.40064,-0.308435,-6.05856e-08,0.0761711,0.0761711,-9.38779e-08,0.0329303,0.0329303,-0.674092,0.0155179,-0.126183,-7.28433e-08,0.145792,0.145792,-0.401478,0.668009,0.741285,-6.05856e-08,-0.152595,-0.152595,-9.38779e-08,0.131331,0.131331,-0.674092,1.05905e-08,3.14731e-09,-3.76417,1.66024e-08,6.00684e-09,-0.401478,-5.84967e-09,-4.73213e-10,-6.05856e-08,-9.23072e-09,-9.23072e-09,-9.38779e-08,-7.11719e-09,-7.11719e-09,-0.674092,-0.341822,-0.300801,-3.76417,0.228308,0.218139,-7.28433e-08,0.00225113,0.00225113,-6.05856e-08,0.00288114,0.00288114,-9.38779e-08,-0.0192265,-0.0192265,-0.674092,5.51729e-09,7.71656e-09,-3.76417,-8.77068e-09,-1.0755e-09,-7.28433e-08,-1.17331e-09,-1.17331e-09,-0.401478,-6.71645e-10,2.7586e-09,-9.38779e-08,-2.63775e-09,-2.63775e-09,-0.674092,5.48083e-09,6.26261e-09,-3.76417,1.42683e-08,7.74405e-09,-7.28433e-08,-4.57997e-09,-4.57997e-09,-0.401478,-4.80052e-09,-1.57978e-09,-6.05856e-08,-9.96329e-09,-9.96329e-09
-3.69686,0.0864934,-0.0371412,-7.10288e-08,0.0280717,0.0280717,-0.391101,-0.387251,-0.300421,-5.92313e-08,0.0743835,0.0743835,-9.15516e-08,0.0319613,0.0319613,-0.663137,-0.0163895,-0.124514,-7.10288e-08,0.141399,0.141399,-0.391101,0.662202,0.720986,-5.92313e-08,-0.149811,-0.149811,-9.15516e-08,0.12747,0.12747,-0.663137,1.06469e-08,3.05375e-09,-3.69686,1.63175e-08,5.85271e-09,-0.391101,-5.48481e-09,-5.28472e-10,-5.92313e-08,-9.08583e-09,-9.08583e-09,-9.15516e-08,-7.00415e-09,-7.00415e-09,-0.663137,-0.335315,-0.296034,-3.69686,0.226582,0.214031,-7.10288e-08,0.00193242,0.00193242,-5.92313e-08,0.0025994,0.0025994,-9.15516e-08,-0.0190001,-0.0190001,-0.663137,5.46612e-09,7.61931e-09,-3.69686,-7.82637e-09,-1.02399e-09,-7.10288e-08,-1.09689e-09,-1.09689e-09,-0.391101,-7.69232e-10,2.73284e-09,-9.15516e-08,-2.52806e-09,-2.52806e-09,-0.663137,6.89887e-09,6.15914e-09,-3.69686,1.23393e-08,7.60385e-09,-7.10288e-08,-4.46294e-09,-4.46294e-09,-0.391101,-5.40579e-09,-1.53914e-09,-5.92313e-08,-9.74798e-09,-9.74798e-09
