standEta_fi_abscissa,standEta_fi_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.96042,0.0170304,-2.84045,0.152529,-2.34487,0.058635,-3.39952,0.0283294,-3.16007,0.0297057,All
-2.50605,0.136244,-2.48533,0.0653697,-1.94896,0.136815,-2.85323,0.0283294,-2.63909,0,All
-2.05168,0.0170304,-2.13021,0.0217899,-1.55305,0.214995,-2.30693,0.0708235,-2.1181,0.0742643,All
-1.59731,0,-1.77508,0.0435798,-1.15714,0.27363,-1.76064,0.0424941,-1.59712,0.133676,All
-1.14295,0.119213,-1.41996,0.152529,-0.761226,0.31272,-1.21435,0.127482,-1.07614,0.297057,All
-0.688577,0.459822,-1.06484,0,-0.365314,0.46908,-0.668052,0.283294,-0.555152,0.326763,All
-0.234209,0.459822,-0.709714,0.0653697,0.0305971,0.35181,-0.121758,0.439106,-0.0341685,0.445586,All
0.22016,0.238426,-0.354591,0.348639,0.426509,0.449535,0.424537,0.566588,0.486815,0.356469,All
0.674528,0.425761,0.000531419,0.697277,0.82242,0.19545,0.970831,0.21247,1.0078,0.163381,All
1.1289,0.306548,0.355654,0.501168,1.21833,0.136815,1.51713,0.127482,1.52878,0.178234,All
1.58327,0.170304,0.710777,0.631907,1.61424,0.058635,2.06342,0.0424941,2.04977,0.0445586,All
2.03763,0.0340609,1.0659,0.370428,2.01015,0.0781801,2.60971,0.0141647,2.57075,0.0297057,All
