standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.1876,0.00714286,-3.01801,0.00714286,-2.54283,0.00714286,-3.67267,0.00714286,-3.42056,0.00714286,All
-2.70861,0.0142857,-3.01767,0.0142857,-2.22846,0.0142857,-3.23332,0.0142857,-3.06805,0.0142857,All
-2.68821,0.0214286,-2.89281,0.0214286,-2.1632,0.0214286,-2.71409,0.0214286,-2.18017,0.0214286,All
-2.54075,0.0285714,-2.82616,0.0285714,-2.13765,0.0285714,-2.61086,0.0285714,-2.03043,0.0285714,All
-2.45194,0.0357143,-2.82527,0.0357143,-2.09217,0.0357143,-2.57429,0.0357143,-1.98749,0.0357143,All
-2.44399,0.0428571,-2.80677,0.0428571,-2.06227,0.0428571,-2.42342,0.0428571,-1.94646,0.0428571,All
-2.41635,0.05,-2.71963,0.05,-2.04453,0.05,-2.41937,0.05,-1.91638,0.05,All
-2.39188,0.0571429,-2.6555,0.0571429,-1.85806,0.0571429,-2.41558,0.0571429,-1.70824,0.0571429,All
-2.36104,0.0642857,-2.65511,0.0642857,-1.85027,0.0642857,-2.39801,0.0642857,-1.59433,0.0642857,All
-2.23709,0.0714286,-2.38367,0.0714286,-1.81659,0.0714286,-1.81564,0.0714286,-1.50889,0.0714286,All
-1.28843,0.0785714,-2.02641,0.0785714,-1.7125,0.0785714,-1.62186,0.0785714,-1.50797,0.0785714,All
-1.25875,0.0857143,-1.69879,0.0857143,-1.70899,0.0857143,-1.54618,0.0857143,-1.48097,0.0857143,All
-1.21079,0.0928571,-1.66519,0.0928571,-1.57157,0.0928571,-1.47217,0.0928571,-1.44072,0.0928571,All
-1.18827,0.1,-1.488,0.1,-1.56732,0.1,-1.34843,0.1,-1.41466,0.1,All
-1.18662,0.107143,-1.485,0.107143,-1.56443,0.107143,-1.31811,0.107143,-1.39119,0.107143,All
-1.05665,0.114286,-1.47834,0.114286,-1.50747,0.114286,-1.20291,0.114286,-1.34988,0.114286,All
-0.96896,0.121429,-1.44242,0.121429,-1.49117,0.121429,-1.1808,0.121429,-1.31361,0.121429,All
-0.912705,0.128571,-1.39968,0.128571,-1.47203,0.128571,-1.11008,0.128571,-1.28787,0.128571,All
-0.882186,0.135714,-1.37377,0.135714,-1.44134,0.135714,-1.02611,0.135714,-1.26653,0.135714,All
-0.881753,0.142857,-1.26666,0.142857,-1.406,0.142857,-1.00401,0.142857,-1.25975,0.142857,All
-0.880787,0.15,-0.616604,0.15,-1.37271,0.15,-0.941261,0.15,-1.17867,0.15,All
-0.869851,0.157143,-0.613173,0.157143,-1.33704,0.157143,-0.846542,0.157143,-1.11593,0.157143,All
-0.851651,0.164286,-0.564157,0.164286,-1.31799,0.164286,-0.826099,0.164286,-1.06334,0.164286,All
-0.849005,0.171429,-0.460476,0.171429,-1.29062,0.171429,-0.802364,0.171429,-1.04484,0.171429,All
-0.790669,0.178571,-0.433031,0.178571,-1.28511,0.178571,-0.72276,0.178571,-1.01069,0.178571,All
-0.755165,0.185714,-0.373879,0.185714,-1.26094,0.185714,-0.682936,0.185714,-1.00932,0.185714,All
-0.726634,0.192857,-0.368223,0.192857,-1.25848,0.192857,-0.68027,0.192857,-1.00475,0.192857,All
