iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.25205,0.0389608,21.6462,0.142843,5.96624,0.32729
2,5.2515,0.0333511,21.7277,0.119882,6.00403,0.283688
3,5.25001,0.0309647,21.6665,0.110986,6.00842,0.255687
4,5.24963,0.0302413,21.6489,0.106965,6.03685,0.25241
5,5.24663,0.0299953,21.5911,0.10483,6.00745,0.249945
6,5.24938,0.0303079,21.5656,0.102037,6.00256,0.245005
7,5.24726,0.0295692,21.538,0.100199,5.99662,0.244854
8,5.24919,0.0298121,21.5203,0.0981354,6.00062,0.244709
9,5.25162,0.0302396,21.5612,0.0968826,5.96251,0.249451
10,5.25468,0.0307769,21.5886,0.0958555,5.92422,0.249844
11,5.25575,0.0314321,21.5987,0.0957594,5.87247,0.251462
12,5.25616,0.0315811,21.6216,0.0951838,5.86335,0.250418
13,5.25837,0.0317491,21.6467,0.0953651,5.85273,0.252014
14,5.25799,0.0314466,21.6593,0.0949017,5.83994,0.25296
15,5.25719,0.0311598,21.642,0.0958397,5.85421,0.253658
16,5.25741,0.0309052,21.6392,0.0963899,5.87727,0.253672
17,5.2574,0.0307845,21.642,0.0968554,5.88413,0.254901
18,5.25764,0.0308592,21.6585,0.0974376,5.86502,0.25487
19,5.25837,0.0309045,21.6673,0.097815,5.85223,0.255915
20,5.2581,0.0309423,21.6652,0.0980342,5.84315,0.257401
21,5.25661,0.0308036,21.703,0.0982606,5.82665,0.257191
22,5.25558,0.0306825,21.7044,0.0989228,5.81023,0.256582
23,5.25416,0.0306154,21.7007,0.0988574,5.7903,0.256352
24,5.25324,0.0306228,21.7142,0.0989817,5.77506,0.257504
25,5.2538,0.030734,21.7238,0.0984087,5.76522,0.258606
26,5.25534,0.0307462,21.7379,0.0984351,5.77312,0.259948
27,5.25666,0.0307724,21.7492,0.0980637,5.7829,0.260243
28,5.25797,0.0307128,21.7588,0.0976613,5.79831,0.260282
29,5.25893,0.0305005,21.7535,0.0976068,5.80379,0.259305
30,5.25914,0.0303162,21.7501,0.0977808,5.80975,0.25869
31,5.25873,0.0302474,21.7385,0.0977114,5.815,0.259186
32,5.25836,0.0302146,21.7158,0.0977332,5.82365,0.259939
33,5.25804,0.0301938,21.7056,0.0980074,5.83578,0.260557
34,5.25775,0.0302413,21.7031,0.0978429,5.84545,0.259972
35,5.25713,0.0302368,21.6921,0.098019,5.84704,0.259833
36,5.25608,0.0302892,21.6759,0.0983388,5.85988,0.259444
37,5.25574,0.0303379,21.6585,0.0988393,5.87082,0.259908
38,5.256,0.0305377,21.6587,0.0990317,5.87527,0.260391
39,5.2564,0.0306182,21.6692,0.0990891,5.87783,0.260925
40,5.25669,0.0306789,21.6754,0.0989105,5.883,0.261259
41,5.2574,0.0307537,21.6833,0.0989206,5.89895,0.26198
42,5.2577,0.0308203,21.6864,0.0990193,5.90138,0.261926
43,5.25736,0.0308432,21.7035,0.0988771,5.89583,0.262539
44,5.25719,0.0307972,21.7112,0.0990296,5.89826,0.263608
45,5.25686,0.0309365,21.7173,0.0991151,5.9002,0.263956
46,5.25647,0.0312321,21.7184,0.0991847,5.8997,0.265508
47,5.25624,0.0314387,21.7161,0.0992009,5.8954,0.266582
48,5.25624,0.0314884,21.713,0.099052,5.89137,0.266525
49,5.25593,0.0315347,21.7035,0.0988941,5.89317,0.266189
50,5.2554,0.0315031,21.7022,0.0987739,5.88982,0.265573
51,5.25478,0.031486,21.6963,0.0989052,5.88379,0.265961
52,5.25462,0.0314713,21.6929,0.0990391,5.88424,0.26643
53,5.25383,0.0314521,21.6916,0.0992881,5.88946,0.266193
54,5.25303,0.0313605,21.6901,0.0993989,5.89368,0.267076
