standEta_fi_abscissa,standEta_fi_cdf,standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,-4,0,All
-3.24127,0.00714286,-2.73279,0.00714286,-2.75217,0.00714286,All
-2.87848,0.0142857,-2.69571,0.0142857,-2.59683,0.0142857,All
-2.77657,0.0214286,-2.58288,0.0214286,-2.54835,0.0214286,All
-2.76466,0.0285714,-2.17723,0.0285714,-2.49099,0.0285714,All
-2.42285,0.0357143,-2.17048,0.0357143,-2.32793,0.0357143,All
-2.41846,0.0428571,-2.09442,0.0428571,-2.18245,0.0428571,All
-2.35664,0.05,-2.02567,0.05,-2.16224,0.05,All
-2.30888,0.0571429,-1.80982,0.0571429,-2.14626,0.0571429,All
-2.2017,0.0642857,-1.52141,0.0642857,-2.14192,0.0642857,All
-1.97997,0.0714286,-1.51275,0.0714286,-2.1194,0.0714286,All
-1.82956,0.0785714,-1.48702,0.0785714,-2.11145,0.0785714,All
-1.67992,0.0857143,-1.44549,0.0857143,-2.07558,0.0857143,All
-1.51245,0.0928571,-1.20976,0.0928571,-1.96032,0.0928571,All
-1.14456,0.1,-1.17689,0.1,-1.93841,0.1,All
-1.01311,0.107143,-1.09271,0.107143,-1.81589,0.107143,All
-0.88122,0.114286,-1.05233,0.114286,-1.76004,0.114286,All
-0.86944,0.121429,-1.02308,0.121429,-1.68613,0.121429,All
-0.790494,0.128571,-1.02122,0.128571,-1.65413,0.128571,All
-0.775855,0.135714,-0.926388,0.135714,-1.56593,0.135714,All
-0.756456,0.142857,-0.92573,0.142857,-1.49952,0.142857,All
-0.750438,0.15,-0.894501,0.15,-0.793821,0.15,All
-0.750265,0.157143,-0.889314,0.157143,-0.629548,0.157143,All
-0.716205,0.164286,-0.868048,0.164286,-0.58656,0.164286,All
-0.689779,0.171429,-0.863045,0.171429,-0.581274,0.171429,All
-0.628835,0.178571,-0.741222,0.178571,-0.528092,0.178571,All
-0.582016,0.185714,-0.740815,0.185714,-0.476139,0.185714,All
-0.569964,0.192857,-0.699616,0.192857,-0.475212,0.192857,All
-0.567549,0.2,-0.698529,0.2,-0.422587,0.2,All
-0.557383,0.207143,-0.60521,0.207143,-0.413589,0.207143,All
-0.542617,0.214286,-0.596675,0.214286,-0.409289,0.214286,All
-0.515302,0.221429,-0.587102,0.221429,-0.356714,0.221429,All
-0.505665,0.228571,-0.553922,0.228571,-0.341749,0.228571,All
-0.486697,0.235714,-0.535381,0.235714,-0.337653,0.235714,All
-0.471327,0.242857,-0.403943,0.242857,-0.337414,0.242857,All
-0.422229,0.25,-0.360213,0.25,-0.319605,0.25,All
-0.412713,0.257143,-0.33225,0.257143,-0.2967,0.257143,All
-0.381758,0.264286,-0.320122,0.264286,-0.263434,0.264286,All
-0.380777,0.271429,-0.316488,0.271429,-0.21969,0.271429,All
-0.378378,0.278571,-0.290254,0.278571,-0.205084,0.278571,All
-0.348243,0.285714,-0.285151,0.285714,-0.204872,0.285714,All
-0.296256,0.292857,-0.27888,0.292857,-0.185694,0.292857,All
-0.287617,0.3,-0.272339,0.3,-0.182311,0.3,All
-0.270009,0.307143,-0.252423,0.307143,-0.179641,0.307143,All
-0.256408,0.314286,-0.241977,0.314286,-0.174927,0.314286,All
-0.229606,0.321429,-0.239842,0.321429,-0.167525,0.321429,All
-0.228076,0.328571,-0.234972,0.328571,-0.159619,0.328571,All
-0.221514,0.335714,-0.230942,0.335714,-0.154179,0.335714,All
-0.210429,0.342857,-0.225205,0.342857,-0.147706,0.342857,All
-0.197793,0.35,-0.206162,0.35,-0.126686,0.35,All
-0.194271,0.357143,-0.196624,0.357143,-0.107524,0.357143,All
-0.188627,0.364286,-0.163246,0.364286,-0.098358,0.364286,All
-0.165106,0.371429,-0.161678,0.371429,-0.0961462,0.371429,All
-0.14215,0.378571,-0.143581,0.378571,-0.0941316,0.378571,All
-0.123151,0.385714,-0.132282,0.385714,-0.0739161,0.385714,All
-0.11946,0.392857,-0.119826,0.392857,-0.062561,0.392857,All
-0.111739,0.4,-0.108575,0.4,-0.0599668,0.4,All
-0.104127,0.407143,-0.105798,0.407143,-0.053208,0.407143,All
-0.100616,0.414286,-0.100914,0.414286,-0.0397879,0.414286,All
-0.0760163,0.421429,-0.0789634,0.421429,-0.020025,0.421429,All
-0.070885,0.428571,-0.0677004,0.428571,-5.07841e-05,0.428571,All
-0.0642734,0.435714,-0.0439157,0.435714,0.00438312,0.435714,All
-0.00955623,0.442857,-0.0315072,0.442857,0.00479012,0.442857,All
0.00281525,0.45,-0.0305647,0.45,0.0328223,0.45,All
0.0234739,0.457143,-0.0147819,0.457143,0.034497,0.457143,All
0.0268654,0.464286,-0.00823855,0.464286,0.0519113,0.464286,All
0.0295707,0.471429,0.00247929,0.471429,0.074108,0.471429,All
0.0455999,0.478571,0.0157851,0.478571,0.0822986,0.478571,All
0.0493566,0.485714,0.0353872,0.485714,0.0900314,0.485714,All
0.063258,0.492857,0.0807168,0.492857,0.105497,0.492857,All
0.0696859,0.5,0.0842886,0.5,0.112853,0.5,All
0.0697763,0.507143,0.0855372,0.507143,0.176397,0.507143,All
0.074371,0.514286,0.090198,0.514286,0.18256,0.514286,All
0.0782047,0.521429,0.0930302,0.521429,0.207261,0.521429,All
0.110691,0.528571,0.124145,0.528571,0.282417,0.528571,All
0.133392,0.535714,0.131145,0.535714,0.318424,0.535714,All
0.145933,0.542857,0.141289,0.542857,0.336883,0.542857,All
0.151908,0.55,0.159483,0.55,0.365703,0.55,All
0.168028,0.557143,0.180127,0.557143,0.409039,0.557143,All
0.191257,0.564286,0.188286,0.564286,0.426839,0.564286,All
0.204191,0.571429,0.195349,0.571429,0.437278,0.571429,All
0.238974,0.578571,0.211072,0.578571,0.448669,0.578571,All
0.25195,0.585714,0.230934,0.585714,0.46669,0.585714,All
0.268676,0.592857,0.253163,0.592857,0.466739,0.592857,All
0.296441,0.6,0.348999,0.6,0.521043,0.6,All
0.349787,0.607143,0.372715,0.607143,0.527501,0.607143,All
0.354188,0.614286,0.394679,0.614286,0.54485,0.614286,All
0.361778,0.621429,0.401451,0.621429,0.564482,0.621429,All
0.363278,0.628571,0.418406,0.628571,0.566345,0.628571,All
0.36876,0.635714,0.450304,0.635714,0.570534,0.635714,All
0.374444,0.642857,0.50273,0.642857,0.580705,0.642857,All
0.385452,0.65,0.518486,0.65,0.582666,0.65,All
0.400765,0.657143,0.518715,0.657143,0.598795,0.657143,All
