standEta_fi_abscissa,standEta_fi_pdf,standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-3.03357,0.0372558,-2.52088,0.0547725,-2.57759,0.088649,All
-2.61816,0.0745116,-2.09705,0.0730301,-2.22844,0.177298,All
-2.20276,0.0558837,-1.67321,0.0730301,-1.87928,0.088649,All
-1.78736,0.0558837,-1.24938,0.0912876,-1.53012,0.088649,All
-1.37195,0.0186279,-0.825553,0.21909,-1.18097,0,All
-0.956549,0.167651,-0.401723,0.401665,-0.83181,0.0221623,All
-0.541145,0.335302,0.0221081,0.58424,-0.482654,0.310272,All
-0.125741,0.614721,0.445939,0.29212,-0.133498,0.642706,All
0.289662,0.465698,0.86977,0.43818,0.215659,0.288109,All
0.705066,0.316674,1.2936,0.200833,0.564815,0.620543,All
1.12047,0.316674,1.71743,0.0912876,0.913971,0.531894,All
1.53587,0.149023,2.14126,0.036515,1.26313,0.243785,All
