rep,ID,standEta_fi_simulated,standEta_V_simulated,standEta_Cl_simulated,filter
0,1,-1.82956,-2.73279,-2.18245,0
1,1,-2.42285,-2.69571,-2.16224,0
2,1,-3.24127,-2.17723,-2.59683,0
3,1,-2.35664,-1.44549,-2.14626,0
4,1,-2.41846,-2.58288,-1.96032,0
5,1,-1.97997,-2.09442,-2.11145,0
6,1,-2.76466,-2.02567,-2.49099,0
7,1,-2.2017,-1.51275,-2.32793,0
8,1,-2.87848,-1.48702,-2.75217,0
9,1,-2.77657,-2.17048,-2.54835,0
0,2,-0.221514,-0.206162,0.643141,0
1,2,0.074371,1.0125,0.88088,0
2,2,0.977798,0.75715,1.37092,0
3,2,0.063258,-0.230942,1.34305,0
4,2,-0.287617,-0.403943,1.04792,0
5,2,0.25195,1.40842,0.582666,0
6,2,-0.689779,-0.132282,1.10647,0
7,2,-0.123151,0.159483,0.984677,0
8,2,1.24759,0.7112,1.26396,0
9,2,-0.348243,0.230934,0.644835,0
0,3,-0.165106,0.372715,0.852745,0
1,3,0.110691,0.401451,0.683143,0
2,3,-0.229606,-1.17689,0.685608,0
3,3,0.40391,0.777279,1.01447,0
4,3,0.168028,0.99535,0.970619,0
5,3,0.204191,-0.119826,0.941024,0
6,3,0.385452,-0.0147819,0.955208,0
7,3,-0.00955623,-0.00823855,0.54485,0
8,3,0.0455999,0.418406,0.570534,0
9,3,0.354188,0.699463,0.624472,0
0,4,0.880481,-0.699616,-0.21969,0
1,4,1.14795,-0.587102,0.0900314,0
2,4,0.618993,-0.92573,0.034497,0
3,4,0.363278,-0.596675,-0.126686,0
4,4,1.29346,-1.80982,-0.356714,0
5,4,1.42978,-0.225205,0.448669,0
6,4,0.689999,-0.108575,-0.053208,0
7,4,0.998545,-0.285151,0.00438312,0
8,4,0.83216,0.131145,-0.337653,0
9,4,0.584987,-0.863045,-0.182311,0
0,5,-0.412713,-0.196624,-0.58656,0
1,5,-0.0642734,-0.161678,-0.319605,0
2,5,-0.14215,-0.535381,-0.0941316,0
3,5,-0.296256,0.900856,-0.179641,0
4,5,-0.228076,0.090198,-0.159619,0
5,5,-0.210429,0.518486,-0.422587,0
6,5,-0.381758,0.195349,-0.413589,0
7,5,-0.505665,-0.60521,-0.2967,0
8,5,-0.756456,0.0855372,-0.205084,0
9,5,-0.88122,-0.163246,-0.476139,0
0,6,-0.104127,1.07198,0.654625,0
1,6,-0.197793,0.782421,0.466739,0
2,6,-0.557383,2.35318,0.318424,0
3,6,0.0697763,1.69404,0.700213,0
4,6,-1.67992,0.871077,-0.147706,0
5,6,0.133392,1.86437,1.0489,0
6,6,-0.567549,0.752511,0.627689,0
7,6,-0.515302,1.36001,0.897473,0
8,6,-0.750438,1.22083,0.074108,0
9,6,0.349787,2.17494,0.949853,0
0,7,-0.569964,-0.252423,0.105497,0
1,7,0.268676,0.776302,0.723379,0
2,7,0.0295707,0.188286,0.580705,0
3,7,0.538902,1.15185,0.838377,0
4,7,-1.51245,-0.0677004,-0.0397879,0
5,7,-0.256408,-0.143581,0.426839,0
6,7,-0.471327,1.06049,0.527501,0
7,7,0.145933,0.141289,0.954122,0
8,7,0.191257,1.23104,0.616583,0
9,7,0.0782047,0.518715,0.564482,0
0,8,-0.628835,-1.09271,0.9175,0
1,8,0.0234739,-0.100914,1.37284,0
2,8,-1.01311,0.646837,0.365703,0
3,8,-0.542617,-0.741222,1.27014,0
4,8,-0.100616,-1.05233,1.19686,0
5,8,-0.86944,-0.360213,1.25088,0
