Parameters,Run_1,Run_2,Run_3
Cl_pop,5.6539,5.66426,5.71588
beta_Cl_logtWTKG,0.75906,0.756204,0.753044
beta_Cl_tCLCRMLMIN,0.613005,0.608997,0.601809
V1_pop,40.2667,41.5654,40.6716
Q_pop,12.5459,11.3712,12.0863
V2_pop,50.0095,53.5946,47.7053
omega_Cl,0.185011,0.182907,0.184326
omega_V1,0.286058,0.24429,0.307583
omega_Q,0.702013,0.686203,0.651951
omega_V2,0.232728,0.198115,0.255191
corr_V2_V1,0.999,0.998913,0.998973
a1,0.304563,0.302917,0.3051
a2,0.0625244,0.0642866,0.0617159
-2LL,932.354,933.233,930.468
