Cl_pop,V1_pop,Q_pop,V2_pop
10.217105,44.171785,9.913672,51.292068
5.108553,44.171785,9.913672,51.292068
15.32566,44.171785,9.913672,51.292068
10.217105,22.085893,9.913672,51.292068
5.108553,22.085893,9.913672,51.292068
15.32566,22.085893,9.913672,51.292068
10.217105,66.25768,9.913672,51.292068
5.108553,66.25768,9.913672,51.292068
15.32566,66.25768,9.913672,51.292068
10.217105,44.171785,4.956836,51.292068
5.108553,44.171785,4.956836,51.292068
15.32566,44.171785,4.956836,51.292068
10.217105,22.085893,4.956836,51.292068
5.108553,22.085893,4.956836,51.292068
15.32566,22.085893,4.956836,51.292068
10.217105,66.25768,4.956836,51.292068
5.108553,66.25768,4.956836,51.292068
15.32566,66.25768,4.956836,51.292068
10.217105,44.171785,14.87051,51.292068
5.108553,44.171785,14.87051,51.292068
15.32566,44.171785,14.87051,51.292068
10.217105,22.085893,14.87051,51.292068
5.108553,22.085893,14.87051,51.292068
15.32566,22.085893,14.87051,51.292068
10.217105,66.25768,14.87051,51.292068
5.108553,66.25768,14.87051,51.292068
15.32566,66.25768,14.87051,51.292068
10.217105,44.171785,9.913672,25.646034
5.108553,44.171785,9.913672,25.646034
15.32566,44.171785,9.913672,25.646034
10.217105,22.085893,9.913672,25.646034
5.108553,22.085893,9.913672,25.646034
15.32566,22.085893,9.913672,25.646034
10.217105,66.25768,9.913672,25.646034
5.108553,66.25768,9.913672,25.646034
15.32566,66.25768,9.913672,25.646034
10.217105,44.171785,4.956836,25.646034
5.108553,44.171785,4.956836,25.646034
15.32566,44.171785,4.956836,25.646034
10.217105,22.085893,4.956836,25.646034
5.108553,22.085893,4.956836,25.646034
15.32566,22.085893,4.956836,25.646034
10.217105,66.25768,4.956836,25.646034
5.108553,66.25768,4.956836,25.646034
15.32566,66.25768,4.956836,25.646034
10.217105,44.171785,14.87051,25.646034
5.108553,44.171785,14.87051,25.646034
15.32566,44.171785,14.87051,25.646034
10.217105,22.085893,14.87051,25.646034
5.108553,22.085893,14.87051,25.646034
15.32566,22.085893,14.87051,25.646034
10.217105,66.25768,14.87051,25.646034
5.108553,66.25768,14.87051,25.646034
15.32566,66.25768,14.87051,25.646034
10.217105,44.171785,9.913672,76.9381
5.108553,44.171785,9.913672,76.9381
15.32566,44.171785,9.913672,76.9381
10.217105,22.085893,9.913672,76.9381
5.108553,22.085893,9.913672,76.9381
15.32566,22.085893,9.913672,76.9381
10.217105,66.25768,9.913672,76.9381
5.108553,66.25768,9.913672,76.9381
15.32566,66.25768,9.913672,76.9381
10.217105,44.171785,4.956836,76.9381
5.108553,44.171785,4.956836,76.9381
15.32566,44.171785,4.956836,76.9381
10.217105,22.085893,4.956836,76.9381
5.108553,22.085893,4.956836,76.9381
15.32566,22.085893,4.956836,76.9381
10.217105,66.25768,4.956836,76.9381
5.108553,66.25768,4.956836,76.9381
15.32566,66.25768,4.956836,76.9381
10.217105,44.171785,14.87051,76.9381
5.108553,44.171785,14.87051,76.9381
15.32566,44.171785,14.87051,76.9381
10.217105,22.085893,14.87051,76.9381
5.108553,22.085893,14.87051,76.9381
15.32566,22.085893,14.87051,76.9381
10.217105,66.25768,14.87051,76.9381
5.108553,66.25768,14.87051,76.9381
15.32566,66.25768,14.87051,76.9381
