parameter,value,se_sa,rse_sa
f_pop,0.910641206260433,0.0542631282914694,5.95878244015578
Cl_pop,9.93963659164279,0.790804318698071,7.95606872954466
V1_pop,46.3600448067685,3.18891234589341,6.87857908503968
Q_pop,14.1368634434778,8.0207523151267e-6,5.67364348336204e-5
V2_pop,42.5944890260283,17.3729741438784,40.7869058677105
omega_f,0.209703121019602,0.0431568404080537,20.5799704831382
omega_Cl,0.268184502883576,0.0589981011145032,21.999071713743
omega_V1,0.215616821263262,0.0613038661037622,28.4318569138499
omega_Q,5.49407224783608e-8,5.37097286116744e-8,97.7594144904607
omega_V2,1.05189919185471,0.387668520807654,36.854151406288
a1,1.97142429101127,0.203708929207273,10.3330840619184
a2,2.4816481980836,0.221964422424284,8.94423402139316
