fi_abscissa,fi_pdf,Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
0.486561,0.840063,4.94271,0.0983266,29.0524,0.0132535,14.1369,148241,25.5788,0.0116037,All
0.55104,0.360027,5.72969,0,33.1394,0.0170402,14.1369,105887,72.9262,0.0065373,All
0.615519,0,6.51667,0.108159,37.2264,0.0265069,14.1369,487079,120.274,0.00163432,All
0.679999,0,7.30365,0.00983266,41.3134,0.0416537,14.1369,465902,167.621,0.00147089,All
0.744478,0.600045,8.09063,0.0393307,45.4004,0.0454404,14.1369,465902,214.968,0.000326865,All
0.808957,2.52019,8.87761,0.0983266,49.4874,0.0454404,14.1369,487079,262.316,0.00065373,All
0.873436,2.6402,9.66458,0.265482,53.5743,0.0284003,14.1369,360015,309.663,0.000326865,All
0.937916,3.12023,10.4516,0.157323,57.6613,0.0227202,14.1369,317660,357.01,0.000163432,All
1.0024,2.40018,11.2385,0.117992,61.7483,0.00946675,14.1369,42354.7,404.358,0,All
1.06687,0.960072,12.0255,0.235984,65.8353,0.00189335,14.1369,42354.7,451.705,0,All
1.13135,2.04015,12.8125,0.176988,69.9223,0.0037867,14.1369,21177.3,499.053,0,All
1.19583,1.3201,13.5995,0.0688286,74.0093,0.00946675,14.1369,21177.3,546.4,0.000163432,All
