fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
0.371154,0.00053942,9.34389e-06,3.60216,0.000320265,7.69476e-05,18.6592,1.34156e-05,1.21655e-05,14.1304,2.22045e-16,2.22045e-16,1.90514,0.00253706,0.00156911,All
0.389973,0.00137023,2.62565e-05,3.84281,0.000726374,0.000197387,19.6342,3.36048e-05,3.37839e-05,14.1305,2.22045e-16,2.22045e-16,7.64422,0.0130774,0.0512321,All
0.408793,0.00316296,6.68877e-05,4.08347,0.00148663,0.000454852,20.6092,7.6447e-05,8.49847e-05,14.1306,2.22045e-16,2.22045e-16,13.3833,0.0154646,0.135536,All
0.427612,0.00670752,0.000156214,4.32412,0.00278628,0.000956104,21.5842,0.000159725,0.000195908,14.1308,2.22045e-16,2.22045e-16,19.1224,0.0148431,0.223223,All
0.446432,0.0131897,0.000337687,4.56478,0.00484004,0.00185639,22.5592,0.000309447,0.000417948,14.1309,2.22045e-16,2.22045e-16,24.8614,0.013382,0.304381,All
0.465252,0.0242426,0.000681244,4.80543,0.00787006,0.00336403,23.5342,0.000560471,0.000832169,14.131,2.22045e-16,2.22045e-16,30.6005,0.0117962,0.376612,All
0.484071,0.0419363,0.00129175,5.04609,0.0120781,0.00573896,24.5092,0.00095571,0.00155768,14.1312,2.22045e-16,2.22045e-16,36.3396,0.0103182,0.439995,All
0.502891,0.0686862,0.00231647,5.28674,0.0176167,0.00928427,25.4842,0.00154366,0.00275843,14.1313,2.22045e-16,2.22045e-16,42.0787,0.00901249,0.495379,All
0.521711,0.107076,0.00395008,5.5274,0.0245644,0.0143313,26.4592,0.00237429,0.00464675,14.1314,2.22045e-16,2.22045e-16,47.8178,0.00788353,0.543781,All
0.54053,0.159606,0.00643551,5.76805,0.0329097,0.0212197,27.4342,0.0034937,0.00748228,14.1316,2.22045e-16,2.22045e-16,53.5568,0.00691557,0.586176,All
0.55935,0.228402,0.0100597,6.00871,0.0425446,0.0302748,28.4092,0.00493832,0.0115654,14.1317,2.22045e-16,2.22045e-16,59.2959,0.00608743,0.623427,All
0.57817,0.31492,0.0151438,6.24936,0.0532701,0.0417846,29.3842,0.00672943,0.0172249,14.1318,2.22045e-16,2.22045e-16,65.035,0.00537825,0.656276,All
0.596989,0.419692,0.0220278,6.49002,0.06481,0.0559797,30.3593,0.00886887,0.0248013,14.1319,2.22045e-16,2.22045e-16,70.7741,0.0047694,0.685351,All
0.615809,0.542155,0.0310519,6.73067,0.0768322,0.073017,31.3343,0.0113366,0.0346263,14.1321,2.22045e-16,2.22045e-16,76.5131,0.00424492,0.711181,All
0.634628,0.680582,0.0425345,6.97133,0.0889734,0.0929693,32.3093,0.0140902,0.0470009,14.1322,2.22045e-16,2.22045e-16,82.2522,0.00379143,0.73421,All
0.653448,0.832128,0.056751,7.21198,0.100864,0.115821,33.2843,0.0170672,0.0621751,14.1323,2.22045e-16,2.22045e-16,87.9913,0.0033978,0.754814,All
0.672268,0.992985,0.0739138,7.45264,0.112153,0.141468,34.2593,0.0201883,0.0803291,14.1325,2.22045e-16,2.22045e-16,93.7304,0.00305478,0.773308,All
0.691087,1.15862,0.0941563,7.69329,0.122523,0.169727,35.2343,0.0233629,0.10156,14.1326,2.22045e-16,2.22045e-16,99.4694,0.00275475,0.789959,All
0.709907,1.32407,0.117522,7.93395,0.131712,0.200345,36.2093,0.0264951,0.125873,14.1327,2.22045e-16,2.22045e-16,105.209,0.00249132,0.804997,All
0.728727,1.48427,0.14396,8.1746,0.139514,0.23301,37.1843,0.0294895,0.153181,14.1329,2.22045e-16,2.22045e-16,110.948,0.00225922,0.818615,All
0.747546,1.63435,0.173325,8.41526,0.14579,0.267372,38.1593,0.032257,0.183305,14.133,2.22045e-16,2.22045e-16,116.687,0.00205403,0.83098,All
0.766366,1.76992,0.205385,8.65591,0.150462,0.303051,39.1343,0.0347196,0.215984,14.1331,2.22045e-16,2.22045e-16,122.426,0.00187202,0.842236,All
0.785186,1.88729,0.239829,8.89657,0.153513,0.33966,40.1093,0.0368138,0.250888,14.1333,2.22045e-16,2.22045e-16,128.165,0.00171009,0.852506,All
0.804005,1.9836,0.276289,9.13722,0.154978,0.376811,41.0843,0.0384928,0.287636,14.1334,2.22045e-16,2.22045e-16,133.904,0.00156559,0.861898,All
0.822825,2.05694,0.314346,9.37788,0.154936,0.414132,42.0593,0.0397278,0.325805,14.1335,2.22045e-16,2.22045e-16,139.643,0.00143628,0.870505,All
0.841644,2.10631,0.35356,9.61853,0.153501,0.451272,43.0343,0.040507,0.364957,14.1337,2.22045e-16,2.22045e-16,145.382,0.00132026,0.878409,All
0.860464,2.13162,0.393475,9.85919,0.150812,0.487913,44.0094,0.0408353,0.404648,14.1338,2.22045e-16,2.22045e-16,151.121,0.00121589,0.885681,All
0.879284,2.1336,0.433646,10.0998,0.147025,0.523771,44.9844,0.0407312,0.444446,14.1339,2.22045e-16,2.22045e-16,156.86,0.00112178,0.892385,All
0.898103,2.11363,0.473644,10.3405,0.142303,0.558602,45.9594,0.0402255,0.483944,14.134,2.22045e-16,2.22045e-16,162.599,0.00103672,0.898575,All
0.916923,2.07367,0.513076,10.5812,0.136815,0.592202,46.9344,0.0393576,0.522769,14.1342,2.22045e-16,2.22045e-16,168.338,0.000959676,0.9043,All
0.935743,2.01603,0.551585,10.8218,0.130721,0.624404,47.9094,0.0381733,0.560589,14.1343,2.22045e-16,2.22045e-16,174.077,0.000889738,0.909604,All
0.954562,1.94332,0.588863,11.0625,0.124177,0.655083,48.8844,0.0367221,0.59712,14.1344,2.22045e-16,2.22045e-16,179.817,0.000826125,0.914524,All
0.973382,1.85824,0.624653,11.3031,0.117324,0.684147,49.8594,0.0350548,0.632127,14.1346,2.22045e-16,2.22045e-16,185.556,0.000768154,0.919097,All
0.992202,1.76349,0.658745,11.5438,0.110292,0.711538,50.8344,0.0332215,0.665424,14.1347,2.22045e-16,2.22045e-16,191.295,0.000715225,0.923351,All
1.01102,1.6617,0.690985,11.7844,0.103195,0.737226,51.8094,0.0312702,0.696871,14.1348,2.22045e-16,2.22045e-16,197.034,0.000666816,0.927315,All
1.02984,1.55531,0.721262,12.0251,0.096131,0.761209,52.7844,0.0292452,0.726377,14.135,2.22045e-16,2.22045e-16,202.773,0.000622465,0.931013,All
1.04866,1.44655,0.749511,12.2657,0.0891832,0.783505,53.7594,0.0271864,0.753889,14.1351,2.22045e-16,2.22045e-16,208.512,0.000581765,0.934467,All
1.06748,1.33738,0.775706,12.5064,0.0824203,0.804149,54.7344,0.0251289,0.779391,14.1352,2.22045e-16,2.22045e-16,214.251,0.000544358,0.937697,All
1.0863,1.22951,0.799857,12.747,0.0758966,0.823194,55.7094,0.0231026,0.802901,14.1354,2.22045e-16,2.22045e-16,219.99,0.000509926,0.94072,All
1.10512,1.12433,0.822001,12.9877,0.0696544,0.840701,56.6845,0.0211321,0.82446,14.1355,2.22045e-16,2.22045e-16,225.729,0.000478185,0.943555,All
1.12394,1.023,0.8422,13.2284,0.0637242,0.856744,57.6595,0.0192374,0.844133,14.1356,2.22045e-16,2.22045e-16,231.468,0.000448885,0.946214,All
1.14276,0.926379,0.860535,13.469,0.0581268,0.871399,58.6345,0.0174335,0.862003,14.1357,2.22045e-16,2.22045e-16,237.207,0.000421802,0.948711,All
1.16158,0.835122,0.877102,13.7097,0.0528743,0.884749,59.6095,0.0157313,0.878162,14.1359,2.22045e-16,2.22045e-16,242.946,0.000396736,0.951059,All
1.1804,0.749658,0.892005,13.9503,0.0479716,0.896876,60.5845,0.0141381,0.892715,14.136,2.22045e-16,2.22045e-16,248.685,0.000373507,0.953269,All
1.19922,0.670236,0.905357,14.191,0.0434174,0.907866,61.5595,0.0126578,0.905768,14.1361,2.22045e-16,2.22045e-16,254.425,0.000351955,0.95535,All
1.21804,0.596947,0.917271,14.4316,0.0392059,0.917801,62.5345,0.0112915,0.917434,14.1363,2.22045e-16,2.22045e-16,260.164,0.000331936,0.957311,All
1.23686,0.529755,0.927864,14.6723,0.0353269,0.926763,63.5095,0.0100383,0.927824,14.1364,2.22045e-16,2.22045e-16,265.903,0.000313319,0.959162,All
1.25568,0.46852,0.937248,14.9129,0.0317676,0.93483,64.4845,0.00889538,0.937045,14.1365,2.22045e-16,2.22045e-16,271.642,0.000295988,0.96091,All
1.2745,0.413022,0.945534,15.1536,0.0285129,0.942077,65.4595,0.00785842,0.945204,14.1367,2.22045e-16,2.22045e-16,277.381,0.000279837,0.962562,All
1.29332,0.36298,0.952828,15.3943,0.0255462,0.948576,66.4345,0.0069222,0.952402,14.1368,2.22045e-16,2.22045e-16,283.12,0.00026477,0.964124,All
1.31214,0.318072,0.959229,15.6349,0.0228501,0.954395,67.4095,0.00608077,0.958734,14.1369,2.22045e-16,1,288.859,0.0002507,0.965603,All
1.33096,0.277952,0.96483,15.8756,0.0204066,0.959595,68.3845,0.00532771,0.964288,14.1371,2.22045e-16,1,294.598,0.000237549,0.967004,All
1.34977,0.242255,0.969718,16.1162,0.0181976,0.964235,69.3595,0.0046564,0.969149,14.1372,2.22045e-16,1,300.337,0.000225245,0.968331,All
1.36859,0.210619,0.973974,16.3569,0.0162053,0.968371,70.3346,0.00406016,0.973393,14.1373,2.22045e-16,1,306.076,0.000213725,0.96959,All
1.38741,0.182683,0.977669,16.5975,0.0144125,0.972051,71.3096,0.00353242,0.977089,14.1375,2.22045e-16,1,311.815,0.000202927,0.970786,All
1.40623,0.158097,0.980871,16.8382,0.0128025,0.975322,72.2846,0.00306681,0.980301,14.1376,2.22045e-16,1,317.554,0.000192798,0.971921,All
1.42505,0.13653,0.983639,17.0788,0.0113594,0.978226,73.2596,0.00265728,0.983087,14.1377,2.22045e-16,1,323.293,0.00018329,0.973,All
1.44387,0.117668,0.986027,17.3195,0.0100682,0.980802,74.2346,0.00229808,0.985499,14.1378,2.22045e-16,1,329.032,0.000174356,0.974026,All
1.46269,0.101218,0.988083,17.5601,0.0089148,0.983083,75.2096,0.00198389,0.987583,14.138,2.22045e-16,1,334.772,0.000165956,0.975002,All
1.48151,0.0869092,0.98985,17.8008,0.00788617,0.985103,76.1846,0.00170974,0.989381,14.1381,2.22045e-16,1,340.511,0.000158052,0.975932,All
1.50033,0.074495,0.991366,18.0415,0.0069701,0.986888,77.1596,0.00147111,0.990929,14.1382,2.22045e-16,1,346.25,0.000150608,0.976817,All
1.51915,0.0637498,0.992664,18.2821,0.00615538,0.988465,78.1346,0.00126385,0.99226,14.1384,2.22045e-16,1,351.989,0.000143594,0.977661,All
1.53797,0.05447,0.993775,18.5228,0.00543172,0.989858,79.1096,0.00108423,0.993402,14.1385,2.22045e-16,1,357.728,0.000136979,0.978466,All
1.55679,0.0464725,0.994723,18.7634,0.0047897,0.991086,80.0846,0.000928857,0.994382,14.1386,2.22045e-16,1,363.467,0.000130737,0.979234,All
1.57561,0.039594,0.995531,19.0041,0.00422074,0.992169,81.0596,0.00079472,0.995221,14.1388,2.22045e-16,1,369.206,0.000124843,0.979967,All
1.59443,0.033689,0.996219,19.2447,0.00371704,0.993123,82.0346,0.000679119,0.995938,14.1389,2.22045e-16,1,374.945,0.000119274,0.980668,All
1.61325,0.0286287,0.996804,19.4854,0.00327155,0.993963,83.0097,0.000579659,0.99655,14.139,2.22045e-16,1,380.684,0.000114008,0.981337,All
1.63207,0.0242996,0.997301,19.726,0.0028779,0.994702,83.9847,0.000494221,0.997073,14.1392,2.22045e-16,1,386.423,0.000109025,0.981977,All
1.65089,0.0206019,0.997723,19.9667,0.00253034,0.995352,84.9597,0.000420937,0.997518,14.1393,2.22045e-16,1,392.162,0.000104309,0.982589,All
1.66971,0.0174482,0.99808,20.2073,0.00222372,0.995923,85.9347,0.000358166,0.997897,14.1394,2.22045e-16,1,397.901,9.98418e-05,0.983175,All
1.68853,0.0147624,0.998382,20.448,0.00195341,0.996425,86.9097,0.000304473,0.998219,14.1396,2.22045e-16,1,403.64,9.56078e-05,0.983735,All
1.70735,0.0124781,0.998638,20.6887,0.00171528,0.996866,87.8847,0.0002586,0.998493,14.1397,2.22045e-16,1,409.38,9.15929e-05,0.984273,All
1.72617,0.0105377,0.998854,20.9293,0.00150562,0.997253,88.8597,0.000219457,0.998726,14.1398,2.22045e-16,1,415.119,8.77834e-05,0.984787,All
1.74499,0.0088914,0.999037,21.17,0.00132115,0.997592,89.8347,0.000186092,0.998923,14.1399,2.22045e-16,1,420.858,8.41671e-05,0.98528,All
1.76381,0.00749625,0.99919,21.4106,0.00115892,0.99789,90.8097,0.000157684,0.99909,14.1401,2.22045e-16,1,426.597,8.07322e-05,0.985754,All
1.78263,0.00631519,0.99932,21.6513,0.00101632,0.998152,91.7847,0.000133519,0.999232,14.1402,2.22045e-16,1,432.336,7.74681e-05,0.986207,All
1.80145,0.00531638,0.999429,21.8919,0.000891039,0.998381,92.7597,0.000112983,0.999352,14.1403,2.22045e-16,1,438.075,7.43646e-05,0.986643,All
1.82027,0.0044725,0.999521,22.1326,0.00078102,0.998582,93.7347,9.55461e-05,0.999453,14.1405,2.22045e-16,1,443.814,7.14125e-05,0.987061,All
1.83909,0.00376016,0.999599,22.3732,0.000684441,0.998758,94.7097,8.07537e-05,0.999539,14.1406,2.22045e-16,1,449.553,6.86029e-05,0.987463,All
1.8579,0.00315937,0.999663,22.6139,0.000599693,0.998912,95.6847,6.82142e-05,0.999611,14.1407,2.22045e-16,1,455.292,6.59278e-05,0.987849,All
1.87672,0.00265307,0.999718,22.8546,0.00052535,0.999047,96.6598,5.75924e-05,0.999672,14.1409,2.22045e-16,1,461.031,6.33796e-05,0.98822,All
1.89554,0.00222672,0.999764,23.0952,0.000460156,0.999166,97.6348,4.86013e-05,0.999724,14.141,2.22045e-16,1,466.77,6.09511e-05,0.988577,All
1.91436,0.00186795,0.999802,23.3359,0.000403,0.99927,98.6098,4.09955e-05,0.999768,14.1411,2.22045e-16,1,472.509,5.86356e-05,0.98892,All
1.93318,0.00156625,0.999834,23.5765,0.000352905,0.99936,99.5848,3.45655e-05,0.999804,14.1413,2.22045e-16,1,478.248,5.6427e-05,0.98925,All
1.952,0.00131271,0.999862,23.8172,0.000309008,0.99944,100.56,2.91326e-05,0.999835,14.1414,2.22045e-16,1,483.988,5.43195e-05,0.989568,All
1.97082,0.00109975,0.999884,24.0578,0.000270551,0.99951,101.535,2.45448e-05,0.999861,14.1415,2.22045e-16,1,489.727,5.23075e-05,0.989874,All
1.98964,0.000920997,0.999903,24.2985,0.000236865,0.999571,102.51,2.06725e-05,0.999883,14.1417,2.22045e-16,1,495.466,5.0386e-05,0.990168,All
2.00846,0.000771021,0.999919,24.5391,0.000207363,0.999624,103.485,1.74057e-05,0.999902,14.1418,2.22045e-16,1,501.205,4.85502e-05,0.990452,All
2.02728,0.000645255,0.999932,24.7798,0.00018153,0.999671,104.46,1.46509e-05,0.999918,14.1419,2.22045e-16,1,506.944,4.67955e-05,0.990726,All
2.0461,0.000539839,0.999943,25.0204,0.000158912,0.999712,105.435,1.23289e-05,0.999931,14.142,2.22045e-16,1,512.683,4.51177e-05,0.990989,All
2.06492,0.000451517,0.999953,25.2611,0.000139112,0.999747,106.41,1.03723e-05,0.999942,14.1422,2.22045e-16,1,518.422,4.35129e-05,0.991244,All
2.08374,0.000377548,0.99996,25.5018,0.000121779,0.999779,107.385,8.72437e-06,0.999951,14.1423,2.22045e-16,1,524.161,4.19772e-05,0.991489,All
2.10256,0.000315621,0.999967,25.7424,0.000106608,0.999806,108.36,7.33675e-06,0.999959,14.1424,2.22045e-16,1,529.9,4.05073e-05,0.991726,All
2.12138,0.000263794,0.999972,25.9831,9.33293e-05,0.99983,109.335,6.16871e-06,0.999965,14.1426,2.22045e-16,1,535.639,3.90996e-05,0.991954,All
2.1402,0.000220435,0.999977,26.2237,8.17079e-05,0.999851,110.31,5.18578e-06,0.999971,14.1427,2.22045e-16,1,541.378,3.77513e-05,0.992175,All
2.15902,0.000184169,0.999981,26.4644,7.15371e-05,0.99987,111.285,4.35883e-06,0.999976,14.1428,2.22045e-16,1,547.117,3.64592e-05,0.992387,All
2.17784,0.000153845,0.999984,26.705,6.2636e-05,0.999886,112.26,3.66329e-06,0.999979,14.143,2.22045e-16,1,552.856,3.52207e-05,0.992593,All
