iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,b1,a2,b2
1,2198.25,1,5,25,5,25,1.5,1.5,1.5,1.5,3,1,3,1
2,2154.63,1,13.8904,38.9335,6.72355,45.083,1.46202,1.95703,1.72462,1.46202,2.85,0.95,2.85,0.95
3,2141.87,1,18.4735,79.2949,9.36132,70.541,1.425,2.02923,1.7693,1.57751,2.7075,0.9025,2.7075,0.9025
4,2115.35,1,17.2316,165.462,16.2743,116.554,1.38892,1.97785,1.7245,1.53757,2.57212,0.857375,2.57212,0.857375
5,2106.16,1,16.4996,403.175,16.8613,142.991,1.35375,1.92777,1.74134,1.54227,2.44352,0.814506,2.44352,0.814506
6,2083.79,1,17.665,366.179,16.7787,159.661,1.31947,1.87896,1.80727,1.50322,2.32134,0.773781,2.32134,0.773781
7,2067.02,1,11.4153,560.391,18.256,217.821,1.28606,1.83138,1.76151,1.46516,2.20528,0.735092,2.20528,0.735092
8,2042.71,1,10.4261,549.685,18.7357,236.917,1.2535,1.78501,1.71691,1.42806,2.09501,0.698337,2.09501,0.698337
9,2031.79,1,10.2007,458.304,14.7529,260.455,1.22176,1.73981,1.86833,1.43225,1.99026,0.66342,1.99026,0.66342
10,2021.41,1,7.25805,317.591,18.4152,347.512,1.19082,1.69576,1.92735,1.39599,1.89075,0.630249,1.89075,0.630249
11,2000.51,1,7.53464,374.697,12.8589,341.55,1.16067,1.65282,1.87854,1.39085,1.79621,0.598737,1.79621,0.598737
12,1986.18,1,7.24858,280.456,13.9873,340.495,1.13128,1.61097,1.91367,1.35563,1.7064,0.5688,1.7064,0.5688
13,1967.4,1,8.04219,190.763,23.5399,499.773,1.10264,1.57018,1.89528,1.32131,1.62108,0.54036,1.62108,0.54036
14,1948.35,1,6.64084,194.828,15.1844,497.899,1.07472,1.53042,2.0485,1.28785,1.54003,0.513342,1.54003,0.513342
15,1929.18,1,5.67882,146.986,14.1841,492.737,1.04751,1.49167,1.99663,1.25524,1.46302,0.487675,1.46302,0.487675
16,1918.93,1,4.5197,127.424,22.3179,364.605,1.02098,1.4539,1.94607,1.28442,1.38987,0.463291,1.38987,0.463291
17,1892.61,1,4.63293,101.013,20.8608,399.769,0.995131,1.41709,1.8968,1.25189,1.32038,0.440127,1.32038,0.440127
18,1877.05,1,4.72032,101.787,20.7938,338.583,0.969933,1.38121,1.84877,1.2345,1.25436,0.41812,1.25436,0.41812
19,1847.24,1,5.21875,90.4838,19.9782,372.883,0.945374,1.34623,1.80196,1.20324,1.19164,0.397214,1.19164,0.397214
20,1828.18,1,5.47949,73.9518,20.0596,331.342,0.921437,1.31215,1.75633,1.17278,1.13206,0.377354,1.13206,0.377354
21,1827.37,1,4.78348,79.2031,28.0537,284.496,0.898105,1.27892,1.7731,1.14308,1.07546,0.358486,1.07546,0.358486
22,1795.11,1,4.78915,64.4385,24.84,305.845,0.875365,1.24654,1.72821,1.11414,1.02168,0.340562,1.02168,0.340562
23,1780.92,1,4.43533,57.7578,21.6839,368.396,0.8532,1.21498,1.78861,1.08593,0.970601,0.323534,0.970601,0.323534
24,1759.15,1,4.19881,72.5828,20.3018,409.006,0.831597,1.18421,1.83414,1.05843,0.922071,0.307357,0.922071,0.307357
25,1738.32,1,4.51162,60.8387,15.3933,351.286,0.81054,1.15423,1.7877,1.03163,0.875967,0.291989,0.875967,0.291989
26,1709.14,1,5.30816,64.8807,13.0285,348.516,0.790017,1.125,1.74243,1.00551,0.832169,0.27739,0.832169,0.27739
27,1704.2,1,5.30508,63.0504,11.7448,253.345,0.770013,1.09652,1.76656,0.980048,0.79056,0.26352,0.79056,0.26352
28,1681.65,1,4.62484,73.7647,9.74739,238.597,0.750516,1.06875,1.72183,0.958113,0.751032,0.250344,0.751032,0.250344
29,1660.21,1,4.7207,51.3712,7.98626,226.367,0.731512,1.04169,1.67824,1.08742,0.713481,0.237827,0.713481,0.237827
30,1641.78,1,5.09723,47.9595,8.21498,208.412,0.71299,1.01531,1.63574,1.05988,0.677807,0.225936,0.677807,0.225936
