simulations,OFV
500,943.61
1000,944.309
1500,943.094
2000,940.688
2500,940.797
3000,940.768
3500,940.213
4000,940.459
4500,940.834
5000,940.714
5500,940.768
6000,941.219
6500,940.628
7000,940.699
7500,940.527
8000,940.788
8500,941.014
9000,940.769
9500,940.442
10000,940.257
10500,940.067
11000,940.039
11500,939.797
12000,939.538
12500,939.678
13000,939.416
13500,939.256
14000,939.225
14500,939.289
15000,939.288
15500,939.098
16000,939.222
16500,939.1
17000,939.265
17500,939.345
18000,939.022
18500,939.194
19000,939.069
19500,938.984
20000,938.831
20500,938.778
21000,938.688
21500,938.788
22000,938.888
22500,938.876
23000,938.515
23500,938.468
24000,938.418
24500,938.32
25000,938.34
25500,938.332
26000,938.226
26500,938.268
27000,938.206
27500,938.259
28000,938.391
28500,938.387
29000,938.316
29500,938.387
30000,938.479
