trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_WTKG_abscissa,trans_bias_vs_WTKG_spline,trans_bias_vs_WTKG_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
97.5,1.3252,1.46837,52,1.5193,1.55241,-0.389961,1.28257,1.43209,97.5,1.97287,1.80971,52,1.75501,1.74256,-0.389961,2.05774,1.82248,97.5,2.93397,3.0371,52,2.99293,2.98874,-0.389961,2.93334,3.02508,97.5,3.09389,3.16445,52,3.07079,3.09645,-0.389961,3.09574,3.15788,97.5,0.268,0.268,52,0.268,0.268,-0.389961,0.268,0.268,All
98.5172,1.3453,1.47258,52.3232,1.52979,1.55586,-0.382795,1.30331,1.43659,98.5172,1.94638,1.80859,52.3232,1.74047,1.74307,-0.382795,2.0225,1.82122,98.5172,2.94263,3.03691,52.3232,2.9926,2.99001,-0.382795,2.93924,3.02515,98.5172,3.09788,3.1637,52.3232,3.0729,3.09754,-0.382795,3.09771,3.15734,98.5172,0.268,0.268,52.3232,0.268,0.268,-0.382795,0.268,0.268,All
99.5343,1.3654,1.47678,52.6465,1.54029,1.55932,-0.375629,1.32404,1.4411,99.5343,1.91989,1.80747,52.6465,1.72593,1.74359,-0.375629,1.98726,1.81996,99.5343,2.9513,3.03672,52.6465,2.99227,2.99129,-0.375629,2.94513,3.02521,99.5343,3.10187,3.16295,52.6465,3.07502,3.09862,-0.375629,3.09969,3.15679,99.5343,0.268,0.268,52.6465,0.268,0.268,-0.375629,0.268,0.268,All
100.552,1.3855,1.48098,52.9697,1.55078,1.56277,-0.368463,1.34477,1.4456,100.552,1.8934,1.80635,52.9697,1.71139,1.7441,-0.368463,1.95203,1.8187,100.552,2.95996,3.03653,52.9697,2.99194,2.99256,-0.368463,2.95103,3.02528,100.552,3.10586,3.1622,52.9697,3.07713,3.0997,-0.368463,3.10166,3.15624,100.552,0.268,0.268,52.9697,0.268,0.268,-0.368463,0.268,0.268,All
101.569,1.40242,1.48518,53.2929,1.55922,1.56623,-0.361297,1.36551,1.4501,101.569,1.87321,1.80523,53.2929,1.70279,1.74462,-0.361297,1.91679,1.81743,101.569,2.9673,3.03634,53.2929,2.99216,2.99383,-0.361297,2.95692,3.02535,101.569,3.10943,3.16144,53.2929,3.07949,3.10078,-0.361297,3.10363,3.15569,101.569,0.268,0.268,53.2929,0.268,0.268,-0.361297,0.268,0.268,All
102.586,1.4188,1.48938,53.6162,1.56745,1.56969,-0.354131,1.38369,1.4546,102.586,1.85411,1.80411,53.6162,1.6948,1.74513,-0.354131,1.88783,1.81617,102.586,2.97441,3.03615,53.6162,2.99245,2.9951,-0.354131,2.96237,3.02541,102.586,3.11293,3.16069,53.6162,3.08188,3.10186,-0.354131,3.10569,3.15514,102.586,0.268,0.268,53.6162,0.268,0.268,-0.354131,0.268,0.268,All
103.603,1.43518,1.49358,53.9394,1.57568,1.57314,-0.346966,1.39926,1.45911,103.603,1.835,1.80299,53.9394,1.68681,1.74565,-0.346966,1.86532,1.81491,103.603,2.98152,3.03596,53.9394,2.99273,2.99638,-0.346966,2.96735,3.02548,103.603,3.11642,3.15994,53.9394,3.08427,3.10294,-0.346966,3.10782,3.1546,103.603,0.268,0.268,53.9394,0.268,0.268,-0.346966,0.268,0.268,All
104.62,1.45155,1.49778,54.2626,1.5839,1.5766,-0.3398,1.41484,1.46361,104.62,1.81589,1.80187,54.2626,1.67882,1.74616,-0.3398,1.84281,1.81365,104.62,2.98863,3.03576,54.2626,2.99301,2.99765,-0.3398,2.97233,3.02554,104.62,3.11992,3.15919,54.2626,3.08666,3.10402,-0.3398,3.10996,3.15405,104.62,0.268,0.268,54.2626,0.268,0.268,-0.3398,0.268,0.268,All
105.637,1.46793,1.50199,54.5859,1.59213,1.58005,-0.332634,1.43041,1.46811,105.637,1.79678,1.80075,54.5859,1.67083,1.74668,-0.332634,1.82031,1.81239,105.637,2.99574,3.03557,54.5859,2.9933,2.99892,-0.332634,2.97732,3.02561,105.637,3.12342,3.15844,54.5859,3.08904,3.10511,-0.332634,3.1121,3.1535,105.637,0.268,0.268,54.5859,0.268,0.268,-0.332634,0.268,0.268,All
106.655,1.48431,1.50619,54.9091,1.60036,1.58351,-0.325468,1.44598,1.47261,106.655,1.77767,1.79963,54.9091,1.66284,1.74719,-0.325468,1.7978,1.81113,106.655,3.00285,3.03538,54.9091,2.99358,3.0002,-0.325468,2.9823,3.02567,106.655,3.12691,3.15769,54.9091,3.09143,3.10619,-0.325468,3.11423,3.15295,106.655,0.268,0.268,54.9091,0.268,0.268,-0.325468,0.268,0.268,All
107.672,1.50069,1.51039,55.2323,1.60668,1.58697,-0.318302,1.46155,1.47712,107.672,1.75857,1.79851,55.2323,1.66025,1.74771,-0.318302,1.77529,1.80987,107.672,3.00996,3.03519,55.2323,2.99437,3.00147,-0.318302,2.98728,3.02574,107.672,3.13041,3.15693,55.2323,3.09402,3.10727,-0.318302,3.11637,3.15241,107.672,0.268,0.268,55.2323,0.268,0.268,-0.318302,0.268,0.268,All
108.689,1.51255,1.51459,55.5556,1.61226,1.59042,-0.311136,1.47712,1.48162,108.689,1.74819,1.79739,55.5556,1.65977,1.74822,-0.311136,1.75278,1.8086,108.689,3.01509,3.035,55.5556,2.99536,3.00274,-0.311136,2.99227,3.0258,108.689,3.13321,3.15618,55.5556,3.09668,3.10835,-0.311136,3.1185,3.15186,108.689,0.268,0.268,55.5556,0.268,0.268,-0.311136,0.268,0.268,All
109.706,1.5231,1.51879,55.8788,1.61785,1.59388,-0.30397,1.49269,1.48612,109.706,1.74034,1.79627,55.8788,1.65929,1.74874,-0.30397,1.73027,1.80734,109.706,3.01966,3.03481,55.8788,2.99636,3.00401,-0.30397,2.99725,3.02587,109.706,3.1358,3.15543,55.8788,3.09934,3.10943,-0.30397,3.12064,3.15131,109.706,0.268,0.268,55.8788,0.268,0.268,-0.30397,0.268,0.268,All
110.723,1.53365,1.52299,56.202,1.62343,1.59734,-0.296804,1.50827,1.49063,110.723,1.73249,1.79515,56.202,1.65881,1.74925,-0.296804,1.70776,1.80608,110.723,3.02422,3.03462,56.202,2.99735,3.00529,-0.296804,3.00223,3.02593,110.723,3.13839,3.15468,56.202,3.102,3.11051,-0.296804,3.12278,3.15076,110.723,0.268,0.268,56.202,0.268,0.268,-0.296804,0.268,0.268,All
111.74,1.54419,1.5272,56.5253,1.62901,1.60079,-0.289638,1.52384,1.49513,111.74,1.72464,1.79403,56.5253,1.65834,1.74977,-0.289638,1.68525,1.80482,111.74,3.02878,3.03443,56.5253,2.99834,3.00656,-0.289638,3.00722,3.026,111.74,3.14098,3.15393,56.5253,3.10466,3.11159,-0.289638,3.12491,3.15022,111.74,0.268,0.268,56.5253,0.268,0.268,-0.289638,0.268,0.268,All
112.758,1.55474,1.5314,56.8485,1.63459,1.60425,-0.282472,1.53332,1.49963,112.758,1.71678,1.79291,56.8485,1.65786,1.75028,-0.282472,1.67731,1.80356,112.758,3.03334,3.03424,56.8485,2.99933,3.00783,-0.282472,3.0109,3.02607,112.758,3.14357,3.15318,56.8485,3.10732,3.11268,-0.282472,3.12701,3.14967,112.758,0.268,0.268,56.8485,0.268,0.268,-0.282472,0.268,0.268,All
