pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-3.03225,0.0213759,-3.8986,0.0179938,-2.59954,0.0229277,All
-2.49621,0,-3.80465,0.0112461,-2.09979,0,All
-1.96016,0.0641276,-3.7107,0.0314892,-1.60003,0.137566,All
-1.42412,0.128255,-3.61676,0.0337384,-1.10027,0.229277,All
-0.888082,0.342014,-3.52281,0.0134954,-0.600508,0.481482,All
-0.352042,0.427517,-3.42886,0.00224923,-0.100749,0.596121,All
0.183999,0.684027,-3.33491,0.00224923,0.39901,0.435627,All
0.72004,0.277886,-3.24096,0,0.898769,0.206349,All
1.25608,0.0641276,-3.14702,0,1.39853,0.0687832,All
1.79212,0.0427517,-3.05307,0.0269907,1.89829,0.0229277,All
,,-2.95912,0.0427353,,,All
,,-2.86517,0.0607291,,,All
,,-2.77123,0.0832214,,,All
,,-2.67728,0.0674768,,,All
,,-2.58333,0.0382368,,,All
,,-2.48938,0.0134954,,,All
,,-2.39544,0.00449845,,,All
,,-2.30149,0,,,All
,,-2.20754,0.020243,,,All
,,-2.11359,0.0562306,,,All
,,-2.01964,0.0877198,,,All
,,-1.9257,0.119209,,,All
,,-1.83175,0.0292399,,,All
,,-1.7378,0.0179938,,,All
,,-1.64385,0.00674768,,,All
,,-1.54991,0,,,All
,,-1.45596,0,,,All
,,-1.36201,0.0157446,,,All
,,-1.26806,0.0314892,,,All
,,-1.17412,0.0877198,,,All
,,-1.08017,0.148449,,,All
,,-0.986221,0.276655,,,All
,,-0.892273,0.31939,,,All
,,-0.798325,0.416107,,,All
,,-0.704378,0.425104,,,All
,,-0.61043,0.427353,,,All
,,-0.516482,0.476836,,,All
,,-0.422535,0.526319,,,All
,,-0.328587,0.634282,,,All
,,-0.234639,0.602793,,,All
,,-0.140692,0.55106,,,All
,,-0.046744,0.573553,,,All
,,0.0472036,0.488082,,,All
,,0.141151,0.341882,,,All
,,0.235099,0.317141,,,All
,,0.329047,0.398113,,,All
,,0.422994,0.461091,,,All
,,0.516942,0.395864,,,All
,,0.61089,0.269907,,,All
,,0.704837,0.321639,,,All
,,0.798785,0.256412,,,All
,,0.892733,0.152947,,,All
,,0.98668,0.119209,,,All
,,1.08063,0.0922183,,,All
,,1.17458,0.0629783,,,All
,,1.26852,0.0877198,,,All
,,1.36247,0.0967167,,,All
,,1.45642,0.137203,,,All
,,1.55037,0.148449,,,All
,,1.64431,0.0877198,,,All
,,1.73826,0.0719752,,,All
,,1.83221,0.0427353,,,All
,,1.92616,0.0157446,,,All
,,2.0201,0.020243,,,All
,,2.11405,0.0089969,,,All
,,2.208,0.0224923,,,All
,,2.30195,0.0269907,,,All
,,2.3959,0.0269907,,,All
,,2.48984,0.0134954,,,All
,,2.58379,0.0112461,,,All
