iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.19152,0.0365673,21.9827,0.133842,5.22673,0.339815
2,5.19672,0.0326185,22.1372,0.120839,5.28858,0.296103
3,5.19588,0.0305343,22.1252,0.116163,5.30172,0.286392
4,5.20016,0.0291546,22.1286,0.112323,5.33705,0.287448
5,5.20673,0.0287606,22.1082,0.111803,5.35287,0.285397
6,5.21253,0.0291666,22.0944,0.108792,5.38144,0.282856
7,5.21428,0.0289391,22.0456,0.108191,5.38551,0.281645
8,5.21443,0.0290488,22.0009,0.107084,5.40651,0.279656
9,5.21951,0.0295902,21.9982,0.107134,5.40391,0.282143
10,5.22426,0.0299033,22.0043,0.107068,5.39078,0.283058
11,5.2263,0.0299777,21.9796,0.108325,5.38156,0.284655
12,5.22805,0.0301556,21.9761,0.108585,5.39084,0.285973
13,5.23065,0.030625,21.9886,0.108615,5.40109,0.289041
14,5.23073,0.0305788,21.992,0.109204,5.40008,0.294579
15,5.23205,0.0306617,21.9804,0.109957,5.43404,0.299235
16,5.23315,0.0308002,21.9649,0.110524,5.45882,0.303819
17,5.23333,0.0309394,21.9509,0.11072,5.46573,0.304801
18,5.23372,0.031075,21.9472,0.10988,5.45134,0.306054
19,5.23325,0.0311553,21.953,0.108701,5.42844,0.306387
20,5.23292,0.0311532,21.9608,0.108329,5.41255,0.306545
21,5.23276,0.031035,21.9971,0.108633,5.39563,0.30677
22,5.23256,0.0309838,22.0057,0.108576,5.38743,0.305686
23,5.23256,0.0309557,22.0092,0.108525,5.37481,0.304562
24,5.23373,0.0308897,22.0313,0.108139,5.36706,0.305113
25,5.23529,0.0309224,22.0316,0.107693,5.36601,0.304772
26,5.23565,0.0308702,22.0399,0.107068,5.36841,0.304203
27,5.23725,0.0309098,22.0498,0.106843,5.38212,0.304539
28,5.23833,0.0308835,22.0538,0.106672,5.40291,0.30411
29,5.23874,0.0307943,22.0223,0.107767,5.42235,0.30425
30,5.23913,0.0308318,22.0023,0.108243,5.44074,0.304835
31,5.23987,0.0309258,21.9876,0.108183,5.46199,0.305504
32,5.24022,0.0308945,21.9496,0.108888,5.48887,0.306504
33,5.24054,0.0309475,21.9265,0.10909,5.50637,0.306499
34,5.24038,0.0310076,21.9203,0.108789,5.51711,0.306042
35,5.24098,0.0310495,21.9029,0.108535,5.52903,0.305818
36,5.24062,0.0310353,21.8845,0.108304,5.53728,0.30448
37,5.24129,0.0312506,21.8758,0.108706,5.54435,0.303947
38,5.24269,0.0314676,21.8738,0.109114,5.55001,0.304091
39,5.24412,0.0316299,21.889,0.109141,5.55563,0.304505
40,5.24509,0.031701,21.8953,0.10877,5.55929,0.304278
41,5.24593,0.0317839,21.9023,0.108285,5.57023,0.305333
42,5.2467,0.0317793,21.9023,0.10832,5.57373,0.305739
43,5.24709,0.0318562,21.9183,0.10816,5.57614,0.306147
44,5.24789,0.0318357,21.9284,0.108135,5.57939,0.307162
45,5.24892,0.0318617,21.9383,0.108444,5.58106,0.307364
46,5.24902,0.0319915,21.9415,0.10885,5.57679,0.307979
47,5.24914,0.0321538,21.9387,0.108891,5.56828,0.307663
48,5.24916,0.0322816,21.9371,0.109049,5.5604,0.307578
49,5.2494,0.0323589,21.9301,0.109507,5.55644,0.30702
50,5.24914,0.0323728,21.9312,0.109467,5.55457,0.306661
51,5.24921,0.0323561,21.9336,0.109377,5.5494,0.306537
52,5.24964,0.0323637,21.9358,0.109504,5.54723,0.306561
53,5.24938,0.0324097,21.9395,0.109634,5.55167,0.30683
54,5.24913,0.0323618,21.9388,0.109586,5.55365,0.306721
55,5.24869,0.0323399,21.9377,0.109359,5.55156,0.306404
56,5.24859,0.0323091,21.9377,0.109011,5.55566,0.305607
57,5.24891,0.0323328,21.9363,0.10913,5.55955,0.304863
58,5.24923,0.0323417,21.9332,0.109026,5.56358,0.304104
59,5.24986,0.0323207,21.931,0.108745,5.56919,0.303014
60,5.25042,0.0323077,21.9296,0.108527,5.57296,0.302245
61,5.25062,0.0323252,21.9329,0.108182,5.57054,0.301286
62,5.25161,0.0323727,21.9388,0.108224,5.57524,0.301008
63,5.25203,0.0324449,21.9447,0.108278,5.57147,0.299918
64,5.25225,0.0324255,21.9481,0.108341,5.57183,0.299035
65,5.252,0.0324471,21.9415,0.108329,5.57289,0.298314
66,5.25202,0.0324582,21.9409,0.108234,5.57416,0.297726
67,5.25226,0.0324776,21.937,0.108324,5.57466,0.29789
68,5.25254,0.0325141,21.9339,0.108445,5.57672,0.298014
69,5.25278,0.0325385,21.9269,0.108495,5.58024,0.298096
70,5.2532,0.0325397,21.9252,0.108494,5.58309,0.298718
71,5.25345,0.0325092,21.9263,0.108331,5.5796,0.29884
72,5.25384,0.0324734,21.9271,0.10837,5.58295,0.298873
73,5.25367,0.032469,21.9238,0.108611,5.58553,0.299089
74,5.25365,0.0324564,21.921,0.10903,5.59197,0.299516
75,5.25387,0.0325036,21.9115,0.109547,5.59908,0.30067
76,5.2539,0.0325624,21.9054,0.11009,5.60311,0.302262
77,5.25383,0.0326125,21.9063,0.110375,5.60344,0.30295
78,5.25395,0.0327472,21.9058,0.110501,5.60914,0.303626
79,5.25425,0.03279,21.9033,0.110462,5.61423,0.303798
80,5.25468,0.032752,21.9047,0.110357,5.61828,0.30367
81,5.25515,0.0328017,21.9088,0.110613,5.62077,0.303416
82,5.25518,0.0328545,21.9012,0.11086,5.62504,0.303073
83,5.25546,0.0328549,21.8961,0.110914,5.63082,0.30301
84,5.256,0.032837,21.8931,0.110877,5.63651,0.302915
85,5.25628,0.0328346,21.8977,0.110755,5.64267,0.302999
86,5.25651,0.0328215,21.8978,0.110655,5.642,0.302589
87,5.25679,0.032816,21.9001,0.110514,5.64313,0.302109
88,5.2572,0.0327767,21.9036,0.110337,5.64628,0.301587
89,5.25804,0.0327753,21.9044,0.110365,5.65198,0.301809
90,5.25868,0.0328934,21.9045,0.110451,5.65558,0.302122
91,5.2589,0.0329155,21.9123,0.11066,5.65526,0.301932
92,5.25933,0.0328664,21.9177,0.110837,5.65486,0.301915
93,5.2595,0.0328903,21.9124,0.110918,5.65391,0.302101
94,5.25995,0.0329521,21.9098,0.11094,5.65671,0.301849
95,5.26034,0.0330155,21.9046,0.110973,5.65977,0.301708
96,5.26046,0.0330522,21.8988,0.110977,5.66315,0.301364
97,5.2607,0.0330741,21.8997,0.111025,5.66374,0.301662
98,5.26103,0.0331501,21.9014,0.111084,5.66202,0.301959
99,5.26103,0.0331893,21.9009,0.1111,5.65468,0.301602
100,5.26121,0.0331688,21.9043,0.111148,5.65001,0.301634
101,5.2616,0.0331435,21.9062,0.111081,5.64668,0.301388
102,5.2617,0.033092,21.9083,0.110957,5.6409,0.301293
103,5.26162,0.0330598,21.9113,0.110801,5.63795,0.301139
