iteration,E_fi,sd_fi,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,0.921367,0.0783063,10.3363,0.0572346,45.967,0.139881,16.7213,0.338384,55.6587,0.612783
2,0.924205,0.0663898,10.367,0.0497686,45.6281,0.124112,16.5245,0.304696,56.0635,0.55983
3,0.926125,0.0628682,10.3939,0.0487925,45.5705,0.118641,16.2327,0.294238,54.893,0.540384
4,0.926776,0.0616788,10.4105,0.0463452,45.6765,0.117785,16.1838,0.291734,53.9115,0.542937
5,0.927909,0.0626688,10.4074,0.0463958,45.62,0.114622,16.315,0.296068,53.5305,0.527316
6,0.927439,0.0623785,10.4158,0.0483395,45.6251,0.11117,16.3874,0.288654,53.0226,0.523569
7,0.929017,0.062829,10.4102,0.0479585,45.6759,0.110805,16.5273,0.285007,53.6503,0.525953
8,0.929064,0.0623082,10.4073,0.0476049,45.7328,0.111641,16.5644,0.28651,53.3647,0.520296
9,0.927928,0.0623066,10.4082,0.0477555,45.6537,0.112543,16.6529,0.286464,53.0181,0.509628
10,0.928636,0.0630125,10.4145,0.0480797,45.5586,0.114116,16.6784,0.291186,52.5393,0.505979
11,0.930218,0.0636346,10.4201,0.0479978,45.5991,0.113247,16.6804,0.287563,52.0934,0.496315
12,0.929875,0.0632912,10.4213,0.048489,45.5231,0.112718,16.6786,0.285198,52.7538,0.504194
13,0.929403,0.0627121,10.4227,0.048574,45.4282,0.112188,16.6826,0.284628,52.4368,0.501696
14,0.929405,0.0628362,10.4199,0.0487423,45.35,0.112055,16.7157,0.283984,52.4294,0.502572
15,0.929533,0.0628184,10.4198,0.0488757,45.3379,0.111357,16.7636,0.284251,52.5063,0.501543
16,0.92932,0.062709,10.4144,0.0486429,45.3459,0.111429,16.7657,0.282629,52.0657,0.499958
17,0.929499,0.062736,10.4132,0.0487113,45.3236,0.111422,16.761,0.280829,51.8185,0.498904
18,0.929538,0.0624591,10.4195,0.0486646,45.3128,0.111599,16.7536,0.280021,51.5541,0.496131
19,0.929676,0.0624514,10.4203,0.0486191,45.3242,0.111178,16.683,0.279033,51.3645,0.495058
20,0.929295,0.0619974,10.4191,0.0483642,45.3061,0.110322,16.6734,0.278573,51.1039,0.493205
21,0.92887,0.0617247,10.4159,0.0484463,45.2711,0.109919,16.6535,0.276643,50.9128,0.491034
22,0.928547,0.0615107,10.4181,0.0483759,45.2473,0.110189,16.6832,0.275666,50.7713,0.489655
23,0.928028,0.0615182,10.4192,0.0481909,45.2429,0.109109,16.7029,0.273669,50.8705,0.488959
24,0.927488,0.0614794,10.418,0.0478224,45.2271,0.108642,16.6807,0.272329,50.9073,0.489152
25,0.927686,0.0610183,10.4205,0.0475238,45.21,0.108238,16.6964,0.272796,50.8484,0.488139
26,0.927603,0.0608634,10.4201,0.0474418,45.1937,0.107494,16.6999,0.270844,50.8398,0.487705
27,0.927419,0.0609059,10.4168,0.047427,45.1625,0.106905,16.6912,0.270449,50.9292,0.48691
28,0.927275,0.0609286,10.4172,0.0473242,45.1751,0.106431,16.6747,0.270623,50.9237,0.486262
29,0.927223,0.0613573,10.4185,0.0471582,45.1863,0.106184,16.6669,0.27076,50.8431,0.487588
30,0.927364,0.061656,10.4222,0.0468868,45.2281,0.10604,16.644,0.272709,50.6238,0.486539
31,0.927418,0.0614007,10.4236,0.0467595,45.3011,0.105917,16.598,0.272856,50.4016,0.48646
32,0.927618,0.0614534,10.4193,0.0468895,45.3427,0.105465,16.5587,0.273694,50.6234,0.487399
33,0.927719,0.0612091,10.4145,0.0473167,45.3797,0.105333,16.522,0.274131,50.8337,0.491625
34,0.927703,0.0610719,10.4122,0.0475105,45.4109,0.105143,16.5022,0.274605,50.9562,0.495024
35,0.927747,0.0611244,10.4101,0.048147,45.4235,0.105241,16.5073,0.275273,51.2962,0.500357
36,0.927883,0.0608132,10.4105,0.0486383,45.4364,0.105033,16.5069,0.275869,51.5218,0.503422
37,0.928207,0.0606,10.409,0.0488486,45.4605,0.105309,16.4896,0.276075,51.8789,0.506612
38,0.92834,0.060327,10.4073,0.0490493,45.4922,0.105452,16.469,0.275948,52.1902,0.511265
39,0.928225,0.0603893,10.4041,0.0491002,45.5352,0.106045,16.447,0.276148,52.3439,0.514455
40,0.928249,0.0602582,10.4032,0.0493095,45.5603,0.106327,16.4318,0.277637,52.5347,0.51755
41,0.928292,0.0600313,10.4022,0.0495548,45.5818,0.106299,16.4064,0.277864,52.8321,0.521291
42,0.928332,0.0599361,10.3986,0.0495021,45.6059,0.106061,16.3905,0.277358,53.0224,0.523652
43,0.928465,0.0597706,10.3958,0.0501476,45.611,0.105706,16.3918,0.276672,53.2398,0.526456
44,0.928477,0.059931,10.3939,0.0504314,45.6186,0.105369,16.3682,0.277088,53.3309,0.528113
45,0.928476,0.059829,10.3928,0.0506922,45.6452,0.105328,16.3457,0.278047,53.3788,0.529145
46,0.92839,0.0597502,10.3931,0.0507531,45.6581,0.1056,16.3407,0.279112,53.373,0.530073
47,0.928315,0.0600518,10.3926,0.0507601,45.7107,0.105605,16.3459,0.279418,53.4134,0.53179
48,0.92834,0.0598726,10.3918,0.0507915,45.7296,0.105517,16.3408,0.278861,53.7891,0.5329
49,0.928138,0.0598522,10.3898,0.0508509,45.7437,0.105245,16.3221,0.278713,53.93,0.532809
50,0.927936,0.0597647,10.3895,0.0510722,45.7537,0.105007,16.3186,0.279165,54.0106,0.53249
51,0.928198,0.0598836,10.3911,0.051161,45.7685,0.104886,16.3087,0.278846,54.0018,0.532573
52,0.92833,0.059902,10.3921,0.0510929,45.7991,0.104844,16.3041,0.278586,53.935,0.532494
53,0.928462,0.0598813,10.3928,0.0512037,45.8083,0.104803,16.3036,0.27809,53.8919,0.532298
54,0.928544,0.0600861,10.3947,0.0512021,45.8145,0.104732,16.3005,0.277275,53.7671,0.530025
55,0.928706,0.0603643,10.3972,0.0511779,45.8138,0.104829,16.3282,0.276813,53.5723,0.52747
56,0.928822,0.0602313,10.3988,0.0512044,45.8078,0.104905,16.341,0.276617,53.4141,0.526034
57,0.928798,0.060185,10.3981,0.051052,45.7969,0.104845,16.3611,0.276554,53.3758,0.52539
58,0.928773,0.0602024,10.399,0.051043,45.7805,0.10502,16.3857,0.276585,53.3576,0.524947
59,0.92895,0.0602749,10.402,0.0510619,45.7781,0.104909,16.373,0.275904,53.2441,0.525313
60,0.929041,0.0603477,10.4005,0.0511905,45.7838,0.104784,16.3682,0.276291,53.213,0.526443
61,0.929079,0.0601935,10.4023,0.0511638,45.7823,0.104745,16.3635,0.276357,53.0829,0.526115
62,0.929071,0.0601331,10.4026,0.0510927,45.7822,0.104685,16.3631,0.276589,53.0777,0.525274
63,0.928961,0.0601177,10.4017,0.0509607,45.7765,0.104521,16.3712,0.276989,53.0202,0.524074
64,0.928915,0.0601879,10.4007,0.0509566,45.7764,0.104301,16.368,0.276245,52.9858,0.524275
65,0.928937,0.0600941,10.4009,0.0508016,45.7832,0.104398,16.3594,0.276846,52.9594,0.524134
66,0.929078,0.0600544,10.4004,0.050583,45.7843,0.104255,16.3433,0.276783,52.9587,0.522888
67,0.929199,0.0598733,10.4028,0.0505097,45.7921,0.104278,16.3368,0.277412,52.8928,0.522559
68,0.929369,0.059882,10.4041,0.0505115,45.7928,0.104174,16.3287,0.27812,52.8689,0.522463
69,0.929544,0.0598901,10.4048,0.0504994,45.7916,0.10411,16.3296,0.277778,52.8714,0.521737
70,0.92951,0.0598555,10.4056,0.050478,45.7962,0.10422,16.3114,0.277246,52.8179,0.521046
71,0.929406,0.0597838,10.4042,0.0505858,45.8168,0.104207,16.2971,0.276811,52.7844,0.521413
72,0.92932,0.0597826,10.4029,0.0509955,45.8166,0.10425,16.2942,0.277182,52.8403,0.521601
73,0.929267,0.0599561,10.4016,0.05144,45.8037,0.104117,16.2936,0.27678,52.9787,0.522593
74,0.929344,0.0599775,10.4009,0.0517841,45.803,0.104063,16.2861,0.276847,53.0675,0.52363
75,0.929524,0.0599203,10.3994,0.0520967,45.8064,0.104312,16.2938,0.277122,53.2173,0.525871
76,0.929683,0.0599485,10.3997,0.0521903,45.8083,0.104323,16.292,0.27771,53.258,0.526855
77,0.929609,0.0599062,10.3987,0.0521671,45.8104,0.104274,16.2948,0.27786,53.2478,0.5269
78,0.929709,0.0597943,10.3989,0.0521471,45.8106,0.104133,16.299,0.277771,53.2075,0.526239
79,0.929748,0.0596666,10.4008,0.0520542,45.794,0.104129,16.3017,0.278114,53.1313,0.525413
80,0.929703,0.0597178,10.4023,0.0518955,45.7789,0.104036,16.3052,0.278011,53.0001,0.523592
81,0.929852,0.0596742,10.4026,0.0517666,45.7675,0.103837,16.3062,0.277684,52.8725,0.522313
82,0.929898,0.0596848,10.4036,0.0516976,45.7525,0.103745,16.3009,0.277244,52.7456,0.521967
83,0.929892,0.0596906,10.4045,0.0516034,45.7484,0.103701,16.305,0.277612,52.6297,0.52181
84,0.929845,0.0596174,10.4037,0.0518479,45.7412,0.103684,16.3037,0.277641,52.7099,0.522254
85,0.929893,0.0596117,10.4039,0.0517934,45.7318,0.103656,16.3017,0.277767,52.6892,0.521323
86,0.929996,0.0595218,10.4036,0.0520318,45.7287,0.103553,16.2956,0.278289,52.846,0.522399
87,0.929957,0.0594401,10.4032,0.0520113,45.7351,0.103535,16.2923,0.278512,52.9309,0.523024
88,0.929918,0.0593701,10.4029,0.0519139,45.7322,0.103413,16.2796,0.27803,52.9435,0.523237
89,0.929892,0.0593066,10.4028,0.0519215,45.7303,0.103279,16.2793,0.277815,52.9404,0.523292
90,0.929898,0.0594446,10.4034,0.0518558,45.7269,0.1033,16.2906,0.277879,52.8969,0.522716
91,0.92976,0.0593955,10.4024,0.0518088,45.7269,0.103231,16.2958,0.277789,52.8118,0.522767
92,0.929713,0.0593959,10.4018,0.0517703,45.7283,0.103393,16.3027,0.278029,52.7643,0.522563
93,0.929754,0.0593217,10.4022,0.051726,45.7228,0.103354,16.3134,0.277958,52.7298,0.52233
94,0.929883,0.0593527,10.4032,0.0516792,45.7209,0.103282,16.317,0.27796,52.6818,0.521361
95,0.929936,0.0593927,10.4038,0.0516448,45.7211,0.103143,16.3142,0.277859,52.642,0.520827
96,0.92993,0.0593488,10.4055,0.051573,45.7285,0.103016,16.3071,0.277566,52.5434,0.519789
97,0.929965,0.0594276,10.4061,0.0515305,45.7347,0.102987,16.301,0.277626,52.4774,0.518696
98,0.930015,0.0594253,10.4067,0.0515102,45.7365,0.10286,16.296,0.277817,52.4566,0.517927
99,0.930039,0.0594609,10.406,0.0514773,45.7332,0.102873,16.3039,0.278277,52.4499,0.518413
100,0.929938,0.0595699,10.4063,0.0514101,45.7287,0.102898,16.3029,0.278143,52.3838,0.518283
101,0.929806,0.0596051,10.4065,0.0513051,45.7276,0.102837,16.3022,0.278024,52.3025,0.517269
102,0.929768,0.0596114,10.4063,0.0512276,45.7309,0.102721,16.2938,0.277713,52.3298,0.516866
103,0.929836,0.0596647,10.4073,0.0511394,45.7372,0.102705,16.2908,0.277887,52.3061,0.516319
104,0.930013,0.0597047,10.4089,0.0510975,45.7407,0.102732,16.2812,0.278037,52.2813,0.516686
