iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
33,752.794,1,5.29445,0.613952,20.6031,6.28981,22.5296,0.207416,0.27014,0.619763,0.219117,0.998743,0.299309,0.0668675
34,756.312,1,5.27187,0.621896,20.5263,6.41102,22.4743,0.210349,0.267626,0.622561,0.217491,0.998743,0.301577,0.0659795
35,758.625,1,5.26629,0.604005,20.7089,6.36048,22.6021,0.206728,0.261816,0.622099,0.211984,0.998743,0.297814,0.0668407
36,761.897,1,5.27752,0.604196,20.7357,6.19325,22.63,0.207519,0.258794,0.639748,0.208882,0.998743,0.294997,0.0701282
37,762.21,1,5.24382,0.621235,20.7157,5.95687,22.6157,0.210965,0.259659,0.6385,0.209663,0.998743,0.298783,0.0684247
38,758.217,1,5.26059,0.617849,20.7717,6.05814,22.6962,0.209232,0.26102,0.650916,0.209968,0.998743,0.302415,0.0671019
39,754.076,1,5.27796,0.622667,20.8213,6.07649,22.7182,0.212927,0.257564,0.675702,0.20839,0.998743,0.304765,0.0654029
40,755.207,1,5.28972,0.613109,20.6231,6.08492,22.5876,0.213419,0.253674,0.693444,0.205407,0.998743,0.305228,0.0639987
41,749.958,1,5.22036,0.6186,20.2987,6.46124,22.3048,0.214525,0.261984,0.675885,0.215083,0.998743,0.307167,0.0630022
42,743.34,1,5.27819,0.627629,20.2469,6.74829,22.3013,0.216747,0.266031,0.670688,0.216289,0.998743,0.305017,0.0614069
43,752.021,1,5.27079,0.617979,20.2657,6.32363,22.308,0.211259,0.265271,0.673521,0.216802,0.998743,0.305622,0.0602539
44,742.613,1,5.28428,0.6346,20.3356,6.35585,22.3859,0.208565,0.274154,0.693422,0.225118,0.998743,0.300805,0.0608966
45,753.266,1,5.28844,0.643552,20.4408,6.22537,22.4388,0.208219,0.273176,0.675864,0.22462,0.998743,0.306624,0.0607641
46,745.916,1,5.29792,0.601525,20.3985,6.66593,22.3947,0.208263,0.274833,0.658751,0.228105,0.998743,0.301433,0.0617467
47,752.647,1,5.31239,0.592698,20.2098,6.7246,22.2493,0.20986,0.270918,0.642071,0.225894,0.998743,0.303385,0.0633329
48,753.014,1,5.28547,0.622847,20.2326,6.61356,22.2854,0.211939,0.271539,0.662589,0.225152,0.998743,0.306426,0.0628039
49,754.458,1,5.27568,0.62313,20.2607,6.34249,22.257,0.206572,0.275954,0.650049,0.229615,0.998743,0.303115,0.0644421
50,762.607,1,5.28792,0.632961,19.8079,6.69748,21.8719,0.211346,0.279713,0.680949,0.231036,0.998743,0.305854,0.0661231
51,763.877,1,5.27424,0.618615,19.7656,6.81086,21.8459,0.206732,0.278183,0.674541,0.226843,0.998743,0.30172,0.0679297
52,760.686,1,5.27925,0.611169,19.7451,6.8213,21.8231,0.201532,0.276773,0.657461,0.225601,0.998743,0.300355,0.0672821
53,756.621,1,5.2624,0.639103,19.6726,7.04955,21.8085,0.207523,0.275646,0.698743,0.224427,0.998743,0.302789,0.0660794
54,756.844,1,5.27368,0.615708,19.6506,6.8346,21.8328,0.206969,0.277113,0.681051,0.22393,0.998743,0.3022,0.0656188
55,765.166,1,5.24528,0.642757,19.6282,6.99363,21.8146,0.211096,0.275645,0.675471,0.22232,0.998743,0.30756,0.0651965
56,758.644,1,5.29694,0.622958,19.8555,6.9016,22.0392,0.210092,0.274933,0.658993,0.220115,0.998743,0.310136,0.0638489
57,762.467,1,5.26682,0.594882,19.8028,6.98858,21.9908,0.204805,0.273756,0.672,0.221955,0.998743,0.303369,0.0661755
58,756.501,1,5.26443,0.618718,19.8264,7.04231,22.0075,0.20704,0.272291,0.675794,0.221702,0.998743,0.305246,0.0663298
59,766.059,1,5.27967,0.598142,19.8972,6.83408,22.0365,0.203288,0.275102,0.682143,0.225324,0.998743,0.297517,0.0692789
60,767.381,1,5.26117,0.610275,19.8135,7.05827,21.9251,0.209762,0.273203,0.664871,0.223411,0.998743,0.300613,0.068775
61,762.273,1,5.27892,0.617886,19.8494,6.88931,21.9545,0.2101,0.283745,0.709878,0.233278,0.998743,0.303865,0.0670336
62,767.949,1,5.25468,0.627026,19.9462,6.50529,22.0288,0.216291,0.279733,0.722408,0.23097,0.998743,0.303968,0.0661889
63,765.226,1,5.24978,0.610787,19.9142,6.57573,21.9714,0.213646,0.277028,0.704116,0.229749,0.998743,0.302893,0.067064
64,766.109,1,5.24959,0.620851,19.8641,6.91948,21.9299,0.214695,0.276493,0.688698,0.227765,0.998743,0.300208,0.0680184
65,763.129,1,5.25615,0.620287,19.7321,7.02394,21.9066,0.214878,0.281462,0.722998,0.231513,0.998743,0.300563,0.0662964
66,761.56,1,5.26107,0.608941,19.6898,6.87216,21.8839,0.211778,0.283362,0.704692,0.232625,0.998743,0.302501,0.0654307
67,756.03,1,5.27614,0.590952,19.7164,6.78014,21.9594,0.209762,0.281356,0.686849,0.230712,0.998743,0.301068,0.0652008
68,765.177,1,5.27494,0.610628,19.809,6.63036,21.9856,0.208877,0.281968,0.678627,0.233175,0.998743,0.300471,0.06491
69,756.47,1,5.2656,0.633057,19.8305,6.53235,21.9212,0.210566,0.284044,0.703133,0.232714,0.998743,0.30616,0.0632665
70,757.423,1,5.27856,0.635355,19.7975,6.73431,21.8891,0.211077,0.281785,0.685558,0.230959,0.998743,0.298408,0.0658831
71,755.767,1,5.25704,0.636907,19.769,6.7762,21.838,0.207537,0.28323,0.71502,0.23234,0.998743,0.301771,0.0642149
72,753.834,1,5.22246,0.633694,19.7275,6.80646,21.7056,0.213105,0.283204,0.7172,0.232504,0.998743,0.304886,0.0628297
73,750.519,1,5.25551,0.631021,19.712,6.82266,21.6771,0.210552,0.279587,0.699041,0.228501,0.998743,0.303996,0.0631578
74,752.364,1,5.24992,0.631212,19.9002,6.89443,21.8524,0.208642,0.279784,0.68134,0.22976,0.998743,0.307735,0.0615586
75,753.898,1,5.26202,0.624738,19.8903,6.55547,21.888,0.209567,0.280784,0.664089,0.233149,0.998743,0.304439,0.0617878
76,753.326,1,5.27374,0.613525,19.9252,6.73252,21.9012,0.209468,0.284264,0.671124,0.236555,0.998743,0.300746,0.0620301
77,752.904,1,5.25498,0.616269,19.8444,6.73972,21.889,0.209011,0.28216,0.654131,0.235835,0.998743,0.302649,0.0632454
78,762.905,1,5.2734,0.610082,19.8948,6.90336,21.9114,0.208879,0.282998,0.637568,0.234904,0.998743,0.301166,0.0646911
79,756.722,1,5.2737,0.612864,20.0069,6.71695,21.9971,0.208965,0.277947,0.636545,0.232004,0.998743,0.304535,0.0630531
80,757.025,1,5.30263,0.622263,19.9712,6.67574,21.9736,0.210718,0.282884,0.639962,0.239244,0.998743,0.301148,0.0654321
81,755.002,1,5.29096,0.625554,19.9831,6.93005,21.973,0.212531,0.28585,0.662065,0.242979,0.998743,0.303306,0.0637753
82,755.341,1,5.26909,0.614358,19.9891,6.79086,22.0681,0.211274,0.28338,0.646768,0.244034,0.998743,0.302192,0.0641606
83,761.59,1,5.28397,0.623154,20.1115,6.87783,22.2579,0.20764,0.276205,0.690981,0.237855,0.998743,0.297166,0.0662847
84,755.706,1,5.24557,0.627294,20.0601,6.95819,22.2665,0.213413,0.273021,0.727212,0.235159,0.998743,0.300532,0.0646064
85,762.563,1,5.2605,0.633911,19.8397,6.82391,22.0437,0.210937,0.273655,0.708798,0.238001,0.998743,0.304628,0.0633001
86,761.353,1,5.25346,0.612695,20.0024,6.44551,22.2174,0.205596,0.27546,0.728722,0.239947,0.998743,0.298038,0.0643468
87,756.904,1,5.24555,0.621869,19.9021,6.35067,22.1562,0.204789,0.276799,0.723804,0.24063,0.998743,0.304419,0.0638839
88,752.818,1,5.2544,0.633232,20.0178,6.48717,22.1883,0.205825,0.272635,0.705477,0.236529,0.998743,0.304142,0.0624449
89,754.74,1,5.25109,0.64813,19.9391,6.68552,22.1194,0.208188,0.27352,0.706804,0.236338,0.998743,0.305606,0.0619386
90,757.599,1,5.26636,0.644387,20.0383,6.54393,22.1707,0.2112,0.276894,0.696618,0.238087,0.998743,0.303062,0.0632075
91,751.893,1,5.27345,0.643425,20.2478,6.32404,22.3895,0.212273,0.276629,0.678979,0.238614,0.998743,0.302536,0.0634521
92,757.18,1,5.25932,0.61847,20.3116,6.22685,22.443,0.214726,0.278709,0.661787,0.239239,0.998743,0.305605,0.0628848
93,757.19,1,5.27567,0.602746,20.3672,6.39114,22.4929,0.210069,0.27511,0.64503,0.23738,0.998743,0.299616,0.0655849
94,761.155,1,5.28254,0.636794,20.3863,6.30586,22.5441,0.208589,0.275927,0.681469,0.236377,0.998743,0.301825,0.0661642
95,761.997,1,5.27038,0.594636,20.402,6.07155,22.5945,0.209007,0.279933,0.726405,0.23934,0.998743,0.30022,0.0651603
96,761.512,1,5.26098,0.629307,20.3347,6.32338,22.5304,0.213113,0.279155,0.708012,0.241209,0.998743,0.305556,0.0635104
97,762.488,1,5.24363,0.624094,20.4696,5.82812,22.646,0.209425,0.275211,0.690085,0.240288,0.998743,0.302308,0.0657763
98,762.215,1,5.25847,0.631037,20.5047,5.82642,22.6752,0.20653,0.278624,0.672612,0.246478,0.998743,0.301631,0.0664007
99,752.031,1,5.23464,0.629963,20.4091,5.9055,22.5736,0.210368,0.278438,0.655581,0.250034,0.998743,0.302765,0.0647194
100,765.549,1,5.23198,0.597241,20.4106,6.13275,22.6299,0.205626,0.27788,0.69473,0.250851,0.998743,0.300465,0.0660948
101,758.199,1,5.28612,0.592222,20.3901,6.4418,22.6176,0.20497,0.277133,0.689052,0.249893,0.998743,0.293048,0.0662466
102,755.699,1,5.29992,0.60483,20.4349,6.42486,22.6651,0.19978,0.276204,0.671604,0.248376,0.998743,0.294311,0.0666714
103,752.857,1,5.27996,0.603418,20.3423,6.69487,22.526,0.203642,0.269967,0.687252,0.244937,0.998743,0.297875,0.0649832
104,764.296,1,5.30286,0.627487,20.2895,6.79582,22.5805,0.211065,0.272857,0.710355,0.246661,0.998743,0.304568,0.0642572
105,762.041,1,5.33256,0.632078,20.112,6.65067,22.3795,0.20698,0.276636,0.692369,0.251759,0.998743,0.301604,0.0667914
106,762.44,1,5.30189,0.636101,20.094,7.01525,22.3895,0.206908,0.274744,0.674837,0.249803,0.998743,0.299557,0.0677213
107,759.582,1,5.29423,0.64126,20.102,6.72446,22.4164,0.207543,0.271722,0.65775,0.25047,0.998743,0.303574,0.0660065
108,766.663,1,5.287,0.629658,20.2636,6.67071,22.6328,0.202585,0.276452,0.658707,0.254336,0.998743,0.300401,0.0663094
109,760.574,1,5.26675,0.632319,20.1938,6.21642,22.5624,0.202406,0.273807,0.665638,0.252299,0.998743,0.301315,0.0659908
110,760.7,1,5.27896,0.623193,20.029,6.34294,22.3823,0.20484,0.26975,0.657543,0.250678,0.998743,0.298201,0.0670607
