time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
1.284,0.0103093,0,0,0.011236,All
1.69113,0.0206186,0,0,0.021978,All
2.09826,0.0206186,0,0,0.0322581,All
2.50539,0.0206186,0.0108696,0,0.0434783,All
2.91253,0.0309278,0.0113636,0,0.0543478,All
3.31966,0.0309278,0.0224719,0,0.0659341,All
3.72679,0.0412371,0.0337079,0,0.0869565,All
4.13392,0.0412371,0.0451992,0.00526316,0.107527,All
4.54105,0.0618557,0.0652174,0.0110501,0.12847,All
4.94818,0.0721649,0.0769231,0.021978,0.146086,All
5.35531,0.0824742,0.0933454,0.032967,0.166687,All
5.76244,0.0927835,0.108696,0.0437172,0.187851,All
6.16958,0.103093,0.125,0.0561798,0.211939,All
6.57671,0.113402,0.149181,0.0769231,0.235955,All
6.98384,0.123711,0.164835,0.0888889,0.25681,All
7.39097,0.154639,0.186813,0.102861,0.278674,All
7.7981,0.185567,0.206522,0.120879,0.298352,All
8.20523,0.185567,0.224719,0.141304,0.314912,All
8.61236,0.195876,0.244315,0.158197,0.333333,All
9.01949,0.237113,0.266667,0.167603,0.355556,All
9.42663,0.237113,0.284091,0.186813,0.381229,All
9.83376,0.247423,0.303371,0.206897,0.403215,All
10.2409,0.298969,0.326087,0.221576,0.417582,All
10.648,0.329897,0.344444,0.241569,0.44086,All
11.0552,0.329897,0.365591,0.258427,0.456984,All
11.4623,0.340206,0.38335,0.272233,0.475731,All
11.8694,0.360825,0.402174,0.296703,0.494379,All
12.2765,0.391753,0.420754,0.312859,0.505683,All
12.6837,0.402062,0.437186,0.333333,0.51949,All
13.0908,0.43299,0.450549,0.351961,0.538048,All
13.4979,0.43299,0.467391,0.366129,0.553191,All
13.9051,0.443299,0.483516,0.386364,0.56983,All
14.3122,0.453608,0.5,0.397849,0.585657,All
14.7193,0.474227,0.513709,0.409091,0.602212,All
15.1265,0.484536,0.532609,0.430108,0.611111,All
15.5336,0.505155,0.544444,0.449413,0.630435,All
15.9407,0.515464,0.56044,0.465909,0.641304,All
16.3479,0.525773,0.571429,0.483694,0.655556,All
16.755,0.57732,0.586957,0.505435,0.666667,All
17.1621,0.597938,0.6,0.511364,0.679548,All
17.5693,0.628866,0.615385,0.527177,0.68572,All
17.9764,0.628866,0.626374,0.546032,0.695652,All
18.3835,0.639175,0.640449,0.55864,0.70949,All
18.7906,0.670103,0.651685,0.571429,0.721576,All
19.1978,0.690722,0.662982,0.586582,0.733688,All
19.6049,0.71134,0.677419,0.601075,0.744444,All
20.012,0.721649,0.685393,0.615385,0.757028,All
20.4192,0.721649,0.696141,0.622222,0.763441,All
20.8263,0.721649,0.706522,0.633871,0.774004,All
21.2334,0.721649,0.72043,0.647727,0.786875,All
21.6406,0.731959,0.728261,0.655364,0.793478,All
22.0477,0.742268,0.73913,0.663101,0.806452,All
22.4548,0.742268,0.747253,0.681319,0.81357,All
22.862,0.762887,0.755556,0.684497,0.822222,All
23.2691,0.773196,0.766312,0.696141,0.833333,All
23.6762,0.783505,0.774194,0.704904,0.837959,All
24.0834,0.783505,0.784091,0.714286,0.844444,All
24.4905,0.783505,0.793478,0.721326,0.857143,All
24.8976,0.793814,0.804348,0.729299,0.865152,All
25.3047,0.804124,0.811111,0.73913,0.869565,All
25.7119,0.804124,0.817204,0.75,0.879121,All
26.119,0.814433,0.824176,0.756725,0.884634,All
26.5261,0.824742,0.833333,0.769231,0.891304,All
26.9333,0.824742,0.842697,0.774737,0.897727,All
27.3404,0.845361,0.847826,0.78335,0.901636,All
27.7475,0.85567,0.855556,0.790341,0.9111,All
28.1547,0.865979,0.863636,0.797727,0.918605,All
28.5618,0.876289,0.869565,0.804348,0.923077,All
28.9689,0.876289,0.876404,0.815217,0.923913,All
29.3761,0.876289,0.880435,0.822222,0.933333,All
29.7832,0.886598,0.888889,0.827772,0.942529,All
30.1903,0.917526,0.892473,0.83871,0.944132,All
30.5975,0.917526,0.900549,0.842697,0.945055,All
31.0046,0.917526,0.908046,0.851668,0.946237,All
31.4117,0.938144,0.911111,0.856349,0.956044,All
31.8188,0.938144,0.913978,0.865169,0.956989,All
32.226,0.938144,0.922222,0.869565,0.965909,All
32.6331,0.938144,0.923913,0.875702,0.967033,All
33.0402,0.948454,0.932959,0.877091,0.967567,All
33.4474,0.948454,0.934424,0.88764,0.977273,All
33.8545,0.958763,0.93617,0.891889,0.977778,All
34.2616,0.958763,0.945055,0.898876,0.978141,All
34.6688,0.958763,0.946237,0.902174,0.978495,All
35.0759,0.969072,0.955056,0.910112,0.988636,All
35.483,0.969072,0.956044,0.913511,0.989011,All
35.8902,0.969072,0.957447,0.921785,0.989071,All
36.2973,0.969072,0.966479,0.923077,0.989247,All
36.7044,0.969072,0.967033,0.933333,0.989418,All
37.1116,0.969072,0.967742,0.934066,1,All
37.5187,0.969072,0.977273,0.934783,1,All
37.9258,0.979381,0.977778,0.944444,1,All
38.3329,0.979381,0.978261,0.946237,1,All
38.7401,0.979381,0.978495,0.955556,1,All
39.1472,0.979381,0.988636,0.957218,1,All
39.5543,0.979381,0.988889,0.966292,1,All
39.9615,0.979381,0.98913,0.967391,1,All
40.3686,0.989691,0.989362,0.977528,1,All
40.7757,0.989691,1,0.978022,1,All
41.1829,0.989691,1,0.988764,1,All
41.59,1,1,1,1,All
