popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
5.34709,5.69753,5.34709,4.99763,5.72099,4.20852,4.2989,4.20852,3.97162,4.45954,All
5.56951,5.98324,5.56951,5.19697,5.96876,4.43508,4.51416,4.43508,4.17659,4.70957,All
5.80118,6.25766,5.80118,5.40425,6.22726,4.67384,4.74178,4.67384,4.39214,4.97361,All
6.04248,6.51945,6.04248,5.6198,6.49695,4.92546,4.98518,4.92546,4.61882,5.25245,All
6.0607,6.53863,6.0607,5.63607,6.51733,5.19062,5.24379,5.19062,4.85719,5.54693,All
6.29382,6.77727,6.29382,5.84395,6.77832,5.28254,5.33412,5.28254,4.93972,5.64916,All
6.55562,7.01914,6.55562,6.07704,7.07188,5.47005,5.51865,5.47005,5.10787,5.85792,All
6.77431,7.21187,6.77431,6.27147,7.31747,5.76453,5.811,5.76453,5.37148,6.18634,All
6.8283,7.25663,6.8283,6.31943,7.37815,6.07486,6.12082,6.07486,5.6487,6.53317,All
7.11233,7.48819,7.11233,6.57149,7.69769,6.35657,6.40404,6.35657,5.89985,6.84864,All
7.40817,7.71831,7.40817,6.8336,8.03106,6.4019,6.44974,6.4019,5.94023,6.89945,All
7.48792,7.77902,7.48792,6.90418,8.12102,6.74654,6.79718,6.74654,6.2468,7.28627,All
7.71632,7.95236,7.71632,7.10616,8.37887,7.10974,7.16366,7.10974,6.56919,7.69477,All
8.03729,8.19637,8.03729,7.38959,8.74175,7.43059,7.48777,7.43059,6.85344,8.05635,All
8.20153,8.32413,8.20153,7.53446,8.92767,7.49249,7.55027,7.49249,6.90822,8.12617,All
8.3716,8.45643,8.3716,7.68433,9.12034,7.89585,7.9566,7.89585,7.26475,8.58177,All
8.71982,8.74037,8.71982,7.99083,9.51533,8.32091,8.38223,8.32091,7.63968,9.0629,All
8.91514,8.91115,8.91514,8.16252,9.73715,8.50462,8.56597,8.50462,7.80147,9.27114,All
9.08253,9.06441,9.08253,8.30955,9.92742,8.76887,8.82912,8.76887,8.03396,9.57101,All
9.46032,9.4384,9.46032,8.64098,10.3574,9.24094,9.29728,9.24094,8.44858,10.1076,All
9.62875,9.61645,9.62875,8.78856,10.5493,9.57864,9.63108,9.57864,8.74467,10.4922,All
9.85383,9.86076,9.85383,8.98563,10.8059,9.73842,9.789,9.73842,8.88461,10.6743,All
10.2637,10.3287,10.2637,9.34403,11.2739,10.2627,10.3059,10.2627,9.34313,11.2727,All
10.3424,10.4204,10.3424,9.41274,11.3638,10.6527,10.6901,10.6527,9.68361,11.7187,All
10.6906,10.8328,10.6906,9.71673,11.7622,10.8152,10.8502,10.8152,9.82533,11.9047,All
11.056,11.2701,11.056,10.0352,12.1806,11.3974,11.4245,11.3974,10.3324,12.5722,All
11.1353,11.3647,11.1353,10.1043,12.2716,11.7267,11.7498,11.7267,10.6187,12.9503,All
11.5985,11.9149,11.5985,10.5073,12.803,12.011,12.0314,12.011,10.8657,13.277,All
11.7696,12.1123,11.7696,10.656,12.9995,12.6576,12.6741,12.6576,11.4264,14.0214,All
12.0809,12.465,12.0809,10.9264,13.3575,12.8007,12.8166,12.8007,11.5504,14.1864,All
12.4832,12.9,12.4832,11.2753,13.8205,13.339,13.3538,13.339,12.0161,14.8075,All
12.5835,13.0064,12.5835,11.3622,13.936,13.8747,13.8906,13.8747,12.4789,15.4267,All
13.1069,13.5564,13.1069,11.8154,14.5395,14.0571,14.0735,14.0571,12.6363,15.6377,All
13.1968,13.6472,13.1968,11.8932,14.6433,14.8139,14.8332,14.8139,13.2884,16.5144,All
13.6521,14.1029,13.6521,12.2867,15.1692,14.9488,14.9689,14.9488,13.4045,16.6709,All
13.9104,14.3527,13.9104,12.5097,15.4679,15.6114,15.6361,15.6114,13.9742,17.4403,All
14.2199,14.6478,14.2199,12.7767,15.8262,16.0228,16.0506,16.0228,14.3275,17.9187,All
14.624,15.033,14.624,13.125,16.2943,16.4518,16.4829,16.4518,14.6954,18.4181,All
14.8114,15.2078,14.8114,13.2863,16.5116,17.0968,17.1329,17.0968,15.2479,19.1699,All
15.3376,15.694,15.3376,13.739,17.1223,17.3375,17.3754,17.3375,15.4538,19.4507,All
15.4275,15.7765,15.4275,13.8163,17.2267,18.1708,18.2139,18.1708,16.1661,20.4242,All
16.0512,16.3486,16.0512,14.3519,17.9518,18.2708,18.3143,18.2708,16.2514,20.5412,All
16.0692,16.3652,16.0692,14.3673,17.9727,19.2449,19.2926,19.2449,17.082,21.6816,All
16.7376,16.9816,16.7376,14.9404,18.7511,19.2544,19.3021,19.2544,17.0901,21.6928,All
16.7648,17.0069,16.7648,14.9637,18.7828,20.291,20.3379,20.291,17.9721,22.909,All
17.4339,17.6413,17.4339,15.5363,19.5632,20.3189,20.3658,20.3189,17.9959,22.9418,All
17.4784,17.6847,17.4784,15.5744,19.6152,21.3833,21.425,21.3833,18.8997,24.1934,All
18.159,18.3475,18.159,16.156,20.4104,21.3929,21.4345,21.3929,18.9078,24.2047,All
18.1921,18.3796,18.1921,16.1842,20.449,22.4669,22.4986,22.4669,19.8179,25.4701,All
18.9057,19.0811,18.9057,16.793,21.2842,22.5345,22.5653,22.5345,19.8751,25.5498,All
18.9144,19.0899,18.9144,16.8004,21.2944,23.541,23.5587,23.541,20.7262,26.738,All
19.6193,19.8021,19.6193,17.4008,22.1206,23.7476,23.7627,23.7476,20.9008,26.9822,All
19.7011,19.8848,19.7011,17.4705,22.2166,24.615,24.6169,24.615,21.6329,28.0082,All
20.3329,20.5285,20.3329,18.0078,22.9582,25.0261,25.0209,25.0261,21.9795,28.4949,All
20.5206,20.7212,20.5206,18.1673,23.1787,25.689,25.6714,25.689,22.538,29.2806,All
21.0465,21.2624,21.0465,18.6139,23.797,26.3733,26.3419,26.3733,23.1138,30.0925,All
21.3742,21.5995,21.3742,18.8919,24.1826,26.763,26.7233,26.763,23.4415,30.5552,All
21.7601,21.9966,21.7601,19.2191,24.637,27.7931,27.7294,27.7931,24.3067,31.7796,All
22.2632,22.5128,22.2632,19.6454,25.2299,27.8371,27.7723,27.8371,24.3436,31.8319,All
22.4737,22.7278,22.4737,19.8236,25.4781,28.9111,28.8209,28.9111,25.2443,33.1105,All
23.1873,23.4533,23.1873,20.4273,26.3202,29.2894,29.19,29.2894,25.5612,33.5613,All
23.1893,23.4553,23.1893,20.429,26.3226,29.9851,29.8678,29.9851,26.1436,34.3911,All
