time,Q1,Q2,Q3
72,2.45975,5.385,10.0205
72.83,6.5495,9.205,13.6015
73.66,8.799,11.83,16.3625
74.48,10.1995,13.7,18.7315
75.31,11.34975,15.14,20.781
76.14,11.47925,15.605,21.61075
76.97,9.019,12.73,18.25125
77.79,7.199,10.87,16.1835
78.62,5.96875,9.54,14.7915
79.45,5.02,8.53,13.67
80.28,4.28,7.74,12.8905
81.1,3.7095,7.08,12.191
81.93,3.29775,6.52,11.53125
82.76,2.95875,6.03,10.90175
83.59,2.6,5.6,10.42025
84.41,4.97975,7.505,12.12275
85.24,7.83975,10.66,15.25025
86.07,9.54975,12.9,17.79125
86.9,10.8495,14.525,19.9315
87.72,11.8375,15.835,21.791
88.55,10.099,13.96,19.801
89.38,8.09975,11.725,17.11925
90.21,6.56875,10.18,15.5555
91.03,5.468,9.02,14.2905
91.86,4.6695,8.13,13.3005
92.69,3.97975,7.445,12.62025
93.52,3.489,6.805,11.96
94.34,3.118,6.315,11.263
95.17,2.78975,5.825,10.8205
96,2.46,5.43,10.251
