time,Q1,Q2,Q3
72,5.97975,10.3,17.30175
72.83,8.1595,12.305,18.99575
73.66,9.279,13.54,20.12375
74.48,10.01975,14.37,21.13375
75.31,10.54,14.98,21.89075
76.14,10.30875,14.88,21.79125
76.97,7.9095,12.345,19.35075
77.79,6.29,10.645,17.625
78.62,7.7695,11.87,18.761
79.45,9.02,13.29,20.01225
80.28,9.85925,14.215,20.92225
81.1,10.43975,14.86,21.75025
81.93,10.869,15.385,22.41
82.76,8.38975,12.905,19.90125
83.59,6.67875,11.055,17.9165
84.41,7.29,11.42,18.34325
85.24,8.7995,13.025,19.8055
86.07,9.67,14.04,20.74325
86.9,10.3295,14.725,21.59225
87.72,10.77875,15.285,22.2705
88.55,8.968,13.485,20.45225
89.38,7.08,11.455,18.373
90.21,6.738,10.935,18.03225
91.03,8.509,12.735,19.581
91.86,9.48,13.82,20.64075
92.69,10.18,14.585,21.41325
93.52,10.679,15.18,22.111
94.34,9.52975,14.155,21.16075
95.17,7.509,11.9,18.82475
96,5.9895,10.365,17.66125
