time,Q1,Q2,Q3
72,9.8365,18.845,31.592
72.83,17.10975,25.485,38.6615
73.66,20.90975,29.71,43.9735
74.48,23.12675,32.825,47.32425
75.31,24.818,35.14,49.99425
76.14,24.88375,35.305,50.4105
76.97,19.376,29.31,43.27675
77.79,15.35975,25.28,39.10025
78.62,12.7045,22.37,35.81225
79.45,10.80575,20.14,33.43075
80.28,12.847,21.42,34.251
81.1,18.70675,27.145,40.8405
81.93,21.79275,30.955,45.5015
82.76,23.77825,33.775,48.41225
83.59,25.2485,35.87,51.011
84.41,22.79875,33.12,47.77125
85.24,17.719,27.815,41.95375
86.07,14.43975,24.38,37.948
86.9,11.97475,21.6,35.115
87.72,10.2495,19.5,32.5545
88.55,15.20875,23.72,36.5735
89.38,20.0065,28.58,42.71475
90.21,22.4595,32.085,46.61675
91.03,24.368,34.61,49.3315
91.86,25.68925,36.525,51.94225
92.69,21.01775,31.18,45.4
93.52,16.41975,26.57,40.75525
94.34,13.51725,23.385,37.2605
95.17,11.29925,20.86,34.44
96,9.83675,18.945,32.09075
