time,Q1,Q2,Q3
72,4.429,9.23,16.08025
72.83,9.73925,14.6,21.37025
73.66,12.5595,18.16,25.66025
74.48,11.279,16.72,24.07225
75.31,8.639,13.875,21.201
76.14,6.83975,11.96,19.23025
76.97,5.509,10.545,17.69125
77.79,4.60925,9.485,16.411
78.62,8.72625,13.505,20.35
79.45,11.9095,17.37,24.57075
80.28,12.14725,17.74,25.402
81.1,9.18,14.47,21.88075
81.93,7.26875,12.43,19.6805
82.76,5.7985,10.88,18.051
83.59,4.84725,9.725,16.7505
84.41,7.55825,12.25,19.23025
85.24,11.3995,16.575,23.66325
86.07,13.08925,18.905,26.701
86.9,9.73975,15.14,22.581
87.72,7.7095,12.945,20.19025
88.55,6.098,11.2,18.5205
89.38,5.076,9.99,17.103
90.21,6.18,10.85,17.9815
91.03,10.61,15.665,22.671
91.86,13.10975,18.915,26.52325
92.69,10.5495,15.92,23.4305
93.52,8.2365,13.43,20.74625
94.34,6.42975,11.6,18.97
95.17,5.2975,10.265,17.473
96,4.43,9.26,16.36175
