time,Q1,Q2,Q3
72,4.9995,8.63,13.81075
72.83,6.4895,9.88,14.8615
73.66,7.28975,10.7,15.65175
74.48,7.75975,11.29,16.39025
75.31,8.1,11.72,16.87025
76.14,7.9795,11.68,16.91125
76.97,6.349,10.045,15.273
77.79,5.21925,8.9,14.19
78.62,6.1895,9.67,14.81025
79.45,7.12975,10.56,15.60125
80.28,7.67975,11.18,16.3005
81.1,8.02,11.65,16.88075
81.93,8.32925,12.02,17.32075
82.76,6.68975,10.41,15.75025
83.59,5.47,9.185,14.57025
84.41,5.88975,9.41,14.641
85.24,6.94975,10.39,15.581
86.07,7.58975,11.06,16.21075
86.9,7.94,11.56,16.81
87.72,8.2595,11.95,17.282
88.55,7.14725,10.835,16.2005
89.38,5.739,9.475,14.95025
90.21,5.51825,9.07,14.441
91.03,6.73,10.19,15.47075
91.86,7.44975,10.93,16.19175
92.69,7.8595,11.47,16.71025
93.52,8.1895,11.875,17.26025
94.34,7.559,11.28,16.66075
95.17,6.0495,9.76,15.31
96,5.0195,8.7,14.16025
