time,Q1,Q2,Q3
72,4.76975,10.535,19.92125
72.83,14.2595,20.43,30.01225
73.66,19.8875,27.215,38.36175
74.48,17.929,25.155,36.252
75.31,13.418,20.54,31.43075
76.14,10.4,17.46,28.273
76.97,8.5585,15.26,25.8715
77.79,7.25925,13.6,23.86
78.62,6.119,12.28,22.0735
79.45,5.29825,11.24,20.811
80.28,8.82,14.415,23.66475
81.1,16.44,23.06,33.442
81.93,21.31,29.055,40.89475
82.76,16.12825,23.415,34.544
83.59,12.2785,19.44,30.312
84.41,9.69825,16.695,27.79075
85.24,8.117,14.685,25.28
86.07,6.84,13.13,23.37
86.9,5.7895,11.945,21.71275
87.72,5.029,10.905,20.5405
88.55,11.73875,17.73,27.012
89.38,18.3995,25.245,36.47
90.21,20.09775,27.465,38.942
91.03,14.4895,21.925,33.12
91.86,11.27875,18.38,29.59225
92.69,9.05975,16.01,26.92125
93.52,7.64875,14.1,24.66025
94.34,6.5,12.695,22.8815
95.17,5.539,11.6,21.38125
96,4.78,10.65,20.212
