time,Q1,Q2,Q3
72,3.699,9.2,17.78225
72.83,11.247,16.695,25.51
73.66,15.2995,21.755,31.58275
74.48,17.92925,25.46,36.6235
75.31,19.996,28.24,40.32225
76.14,20.09975,28.905,41.34075
76.97,15.21775,23.255,34.191
77.79,11.76925,19.685,30.04025
78.62,9.5095,17.13,26.952
79.45,7.91925,15.12,25.07075
80.28,6.6595,13.635,23.31175
81.1,5.72975,12.395,21.90125
81.93,4.99,11.29,20.50425
82.76,4.43,10.415,19.30775
83.59,3.88975,9.61,18.40425
84.41,8.17675,13.36,22.28125
85.24,13.5685,19.505,28.44
86.07,16.81,23.805,34.37025
86.9,19.0095,27.03,38.65075
87.72,20.89675,29.485,41.97175
88.55,17.479,25.97,37.5215
89.38,13.26925,21.37,31.99075
90.21,10.599,18.445,28.24525
91.03,8.639,16.14,26.21125
91.86,7.21925,14.365,24.25075
92.69,6.14975,13.015,22.67225
93.52,5.35975,11.815,21.28075
94.34,4.7,10.865,19.91875
95.17,4.189,10.02,19.0815
96,3.69925,9.27,18.001
