time,Q1,Q2,Q3
72,3.9595,8.295,14.6325
72.83,9.60975,13.945,19.79
73.66,12.799,17.845,24.043
74.48,15.077,20.72,27.3505
75.31,16.77875,22.9,30.07025
76.14,17.079,23.5,30.87025
76.97,13.32,19.235,26.2915
77.79,10.96975,16.445,23.6605
78.62,9.249,14.48,21.44225
79.45,7.89875,13.02,19.8225
80.28,6.84825,11.885,18.61075
81.1,6.01925,10.93,17.65
81.93,5.29975,10.055,16.67325
82.76,4.67975,9.33,15.941
83.59,4.16975,8.655,15.191
84.41,7.39925,11.46,17.40575
85.24,11.487,16.155,22.20025
86.07,13.9995,19.45,25.751
86.9,16.03925,21.985,28.83175
87.72,17.4695,23.915,31.29725
88.55,15.02825,21.2,28.44025
89.38,12.09825,17.77,25.023
90.21,10.05875,15.445,22.7115
91.03,8.49,13.75,20.78225
91.86,7.30925,12.485,19.4805
92.69,6.39975,11.415,18.3405
93.52,5.64,10.47,17.2805
94.34,5.039,9.72,16.45
95.17,4.42925,9.02,15.7
96,3.9695,8.385,15.01025
