time,Q1,Q2,Q3
72,10.45775,23.33,45.042
72.83,20.63825,32.13,54.26325
73.66,25.6675,37.82,60.32125
74.48,28.6695,41.9,64.617
75.31,31.0295,45.055,68.76875
76.14,30.85175,45.29,69.692
76.97,23.1275,37.07,60.19625
77.79,17.72925,31.745,55.235
78.62,14.178,27.9,50.32875
79.45,11.67,25.045,47.00375
80.28,14.49675,26.91,48.516
81.1,22.6785,34.46,56.782
81.93,26.837,39.335,62.12025
82.76,29.696,43.165,66.2465
83.59,31.66725,46.02,70.141
84.41,27.6865,42.155,65.71075
85.24,21.18925,35.225,58.6105
86.07,16.6595,30.46,53.92025
86.9,13.258,26.92,49.32225
87.72,11.01925,24.215,46.36075
88.55,17.96,29.815,51.511
89.38,24.328,36.315,58.8035
90.21,27.83775,40.9,63.65325
91.03,30.44725,44.2,67.65375
91.86,32.2445,46.94,71.3775
92.69,25.13925,39.42,62.73475
93.52,19.26775,33.64,57.0435
94.34,15.3695,29.155,52.3155
95.17,12.4575,25.95,48.36175
96,10.497,23.44,45.57275
