time,Q1,Q2,Q3
72,5.7795,11.99,21.15125
72.83,13.14,19.035,28.151
73.66,16.89875,23.665,33.62075
74.48,14.9585,21.91,31.3915
75.31,11.36925,18.02,27.63025
76.14,9.0795,15.61,24.99125
76.97,7.27925,13.75,22.93175
77.79,6.02925,12.3,21.55075
78.62,11.8295,17.62,26.68025
79.45,16.16925,22.67,32.28025
80.28,16.0885,23.27,33.03075
81.1,12.25925,18.825,28.435
81.93,9.68625,16.15,25.6805
82.76,7.6095,14.19,23.48075
83.59,6.2995,12.675,21.92075
84.41,10.14925,15.955,25.1745
85.24,15.27925,21.57,31.08025
86.07,17.53975,24.715,34.709
86.9,13.1685,19.795,29.34775
87.72,10.22675,16.725,26.47075
88.55,7.99925,14.665,24.101
89.38,6.6195,13.05,22.3215
90.21,8.1795,14.135,23.50075
91.03,14.3295,20.375,29.68175
91.86,17.56925,24.71,34.78425
92.69,13.97,20.88,30.37225
93.52,10.74975,17.355,27.28025
94.34,8.50825,15.175,24.6415
95.17,6.92975,13.385,22.83
96,5.7895,12.025,21.37075
